temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion
42.69189,1.9864808662348473e-06,2.793959065321334e-12,1.5559445880415298e-91,2.911091992760645e-29,3.3774896624308773e-07,3.8274404842658296e-11,5.2098068178101895e-114,3.7865022585119334e-34,4.615517246476731e-07,1.6127351544404497e-10,2.7267334855708335e-149,9.511451175400577e-25
43.64681,2.1929978474813916e-06,3.1743209524652453e-12,3.0797033281356324e-91,3.57997218065711e-29,3.735637482790076e-07,4.2988629140855225e-11,1.156793175681597e-113,4.730908065900328e-34,5.086337315887009e-07,1.797306791430924e-10,7.082338277692104e-149,1.1143752222186548e-24
44.60172,2.4104715174435886e-06,3.591791316403685e-12,6.098196832322046e-91,4.3930796590687495e-29,4.1155856052580955e-07,4.810101427504851e-11,2.5642755339743296e-113,5.897289597247535e-34,5.580846445393402e-07,1.9948308239996768e-10,1.8396897852627816e-148,1.30151276647139e-24
45.55664,2.639897938731952e-06,4.051008716735969e-12,1.2048111912689493e-90,5.381768186803211e-29,4.5173340298349354e-07,5.362748667867802e-11,5.68899505528059e-113,7.340131802979805e-34,6.102005767507923e-07,2.2069263015939935e-10,4.7934907362415735e-148,1.515855328170558e-24
46.51155,2.881941153086825e-06,4.556611713061412e-12,2.3831846169417215e-90,6.583662274429672e-29,4.940882756520596e-07,5.961582565206331e-11,1.2590549476252677e-112,9.124009439157885e-34,6.649815282230573e-07,2.433593224213874e-10,1.2428315228178283e-147,1.7611126824224902e-24
47.46647,3.1372652022485493e-06,5.113238864979331e-12,4.716712287485833e-90,8.044747434866012e-29,5.389346114187766e-07,6.609788406208408e-11,2.788808939360419e-112,1.132358706747701e-33,7.224274989561353e-07,2.676450641306603e-10,3.2303891118662696e-147,2.0434677877377403e-24
48.42138,3.406202107087297e-06,5.725528732089042e-12,9.33152447177083e-90,9.819370183378821e-29,5.862724102836446e-07,7.31214412090599e-11,6.185243201649832e-112,1.4047834588789691e-33,7.828346022012276e-07,2.9371176023194656e-10,8.387024670354669e-147,2.3670426164566765e-24
49.3763,3.690079951083753e-06,6.3996660605229665e-12,1.844505293633365e-89,1.1972328288170566e-28,6.364131051339324e-07,8.073427639331035e-11,1.371174152688317e-111,1.741782967070982e-33,8.464989512095357e-07,3.2155941072524614e-10,2.1804290007004097e-146,2.7380201270898518e-24
50.33121,3.989230755108088e-06,7.14028940988042e-12,3.6497966009448545e-89,1.458514152214113e-28,6.893566959696401e-07,8.896824248171512e-11,3.0367855149150452e-111,2.159500920338926e-33,9.134205459810594e-07,3.5134992055528757e-10,5.659906392107631e-146,3.162583278147819e-24
51.28613,4.304650581770817e-06,7.95512971282693e-12,7.219745649165324e-89,1.7762322414649339e-28,7.454146156780364e-07,9.788704520803361e-11,6.732105992285926e-111,2.6740810076979875e-33,9.838954997670005e-07,3.8324519466679934e-10,1.472156693663579e-145,3.648976014311316e-24
52.24104,4.63667145194211e-06,8.851917902028023e-12,1.4272571817600885e-88,2.1629286000925775e-28,8.048982971463902e-07,1.0753846387258543e-10,1.491071969587883e-110,3.311756723797844e-33,1.0579238125673586e-06,4.174071380045099e-10,3.825184569867023e-145,4.205442280261079e-24
53.19596,4.98861357432368e-06,9.838384910149225e-12,2.823310427446304e-88,2.6332349822072786e-28,8.678077403747016e-07,1.1800213064256983e-10,3.3034092919455144e-110,4.0987615632881736e-33,1.1358015976333354e-06,4.5399765551314773e-10,9.933044163416391e-145,4.844347993018213e-24
54.15087,5.357156740213816e-06,1.0923807856389168e-11,5.586392942816943e-88,3.2038733925064503e-28,9.341429453629707e-07,1.2932582481830636e-10,7.324787458496178e-110,5.0734367875800436e-33,1.2175288549649309e-06,4.931786521374414e-10,2.5828498433514136e-144,5.575998083433643e-24
55.10579,5.745621158314229e-06,1.211901004647959e-11,1.104290043115392e-87,3.897836587449032e-28,1.004526777885735e-06,1.4158917856699431e-10,1.62370309627436e-109,6.278159580338317e-33,1.3034016978133464e-06,5.351120328221192e-10,6.713164732431928e-144,6.414819454698656e-24
