,conversion,A,Ea
0,1e-05,457.50125453431986,43127.96395630213
1,0.01001,102011.57963981695,68032.52698158157
2,0.02001,141760.45578313273,69548.12001397987
3,0.03001,166323.74767306107,70284.13640847849
4,0.04001,184234.50519527635,70755.20012562118
5,0.05001,196999.29258698883,71063.7548059355
6,0.06001,205771.22670263206,71264.41163237559
7,0.07001,214438.34459090288,71454.43977964777
8,0.08001,218310.66097946174,71536.87141594563
9,0.0900099999999999,222112.7441744654,71616.3974981325
10,0.10001,224479.77810087096,71665.22277064742
11,0.11001,225654.97636580488,71689.27288557703
12,0.1200099999999999,226170.11075580123,71699.77551312938
13,0.13001,226361.7841221721,71703.67726974834
14,0.14001,225121.33442035943,71678.36760986212
15,0.15001,223533.80523963642,71645.77204919473
16,0.16001,222249.77727832616,71619.2382654288
17,0.17001,219698.0405655234,71566.04982359693
18,0.18001,216522.4207363885,71498.98763571504
19,0.19001,215028.38433009063,71467.0958705274
20,0.20001,211350.73689096083,71387.63880782269
21,0.21001,208688.68868229067,71329.25677021808
22,0.22001,204716.50244911344,71240.74223053375
23,0.23001,201863.21274281188,71176.09426451332
24,0.24001,197720.17770818388,71080.57866296115
25,0.25001,194583.03660496575,71006.91233578435
26,0.26001,190455.08155242697,70908.14906892779
27,0.27001,186980.3931829298,70823.34181773457
28,0.28001,182798.9430713927,70719.16997020316
29,0.29001,179254.1728436426,70628.9760526194
30,0.30001,175042.4002678332,70519.4629726673
31,0.31001,171308.69666927593,70420.15418768012
32,0.32001,167445.99336132407,70315.10990209346
33,0.33001,163562.85151021343,70207.03840832008
34,0.34001,159964.0671935709,70104.56507003534
35,0.35001,156009.80451454612,69989.2769410124
36,0.36001,152220.78502307963,69876.03154542163
37,0.37001,148643.90678023218,69766.50964551412
38,0.38001,144726.4860737712,69643.4948581791
39,0.39001,141311.97174529333,69533.52524052559
40,0.40001,137532.09659973474,69408.64600809914
41,0.41001,134010.57620413584,69289.1745836134
42,0.42001,130682.97428788648,69173.36127727041
43,0.43001,127087.98149929637,69044.88002088029
44,0.44001,123660.0472588278,68918.9383109347
45,0.45001,120501.66033278612,68799.77033073602
46,0.46001,117066.42683342227,68666.55751545832
47,0.47001,113950.42230523092,68542.29837737576
48,0.48001,110882.88652331746,68416.60757209752
49,0.49001,107803.60304236694,68286.88845103807
50,0.50001,104818.31674203619,68157.54213425012
51,0.51001,102047.41503863943,68034.14470427354
52,0.52001,99117.5428806676,67899.96877103647
53,0.53001,96397.81239064771,67771.81818782935
54,0.54001,93774.84488010654,67644.75494019978
55,0.55001,91099.91796907556,67511.46045782484
56,0.56001,88546.46418872733,67380.51623308618
57,0.57001,86122.64858914565,67252.67854329276
58,0.5800099999999999,83671.81070620746,67119.70390811191
59,0.5900099999999999,81305.34312442715,66987.55787976172
60,0.6000099999999999,79065.16088441112,66858.87087899042
61,0.6100099999999999,76824.8871703388,66726.47935988162
62,0.62001,74669.87663026544,66595.43188848642
63,0.63001,72583.22829008858,66464.88652600846
64,0.64001,70571.93887014258,66335.45392090718
65,0.65001,68587.8995599104,66204.10897705409
66,0.66001,66685.03950342242,66074.5187815313
67,0.67001,64848.17021213206,65945.8661588763
68,0.68001,63051.5001598525,65816.45401070944
69,0.69001,61318.491513574576,65688.0848185114
70,0.70001,59639.12699033955,65560.17990512226
71,0.7100099999999999,58023.762572195374,65433.70456279616
72,0.7200099999999999,56461.77315937154,65308.0141975505
73,0.7300099999999999,54929.06646582088,65181.2535174739
74,0.74001,53476.44050990303,65057.80780108914
75,0.75001,52070.327847278226,64935.07844743405
76,0.76001,50696.06914043328,64811.88408613686
77,0.77001,49363.92263522385,64689.234874291
78,0.78001,48127.87558204769,64572.43623917657
79,0.79001,46900.407414609,64453.44113751191
80,0.80001,45663.88778147849,64330.377166043705
81,0.81001,44614.30395157657,64223.27421886234
82,0.82001,43488.49116017633,64105.5549095495
83,0.83001,42398.88323974649,63988.68255339162
84,0.8400099999999999,41438.52928720995,63883.15641839811
85,0.8500099999999999,40503.46576153669,63778.03262875108
86,0.8600099999999999,39434.89384435503,63654.88615861369
87,0.87001,38712.96321496079,63569.78444153262
88,0.88001,37724.021763312,63450.59471034859
89,0.89001,36965.3108975055,63357.01531449663
90,0.90001,36156.31713568879,63255.09409420059
91,0.91001,35253.91755207515,63138.67904705156
92,0.92001,34716.450598121126,63067.91808592197
93,0.93001,33709.86083395023,62932.396559765846
94,0.94001,33285.36664295281,62874.02769174148
95,0.95001,32632.647600475386,62782.80897984567
96,0.96001,31889.595942687047,62676.71852263301
97,0.97001,31241.370424428558,62582.12823999143
98,0.98001,30287.87785562405,62439.3644578531
99,0.99001,29699.128489621333,62348.950645434285
