temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_3_diff_reaction_7_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_5_diff_reaction_7_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion,rate_10_diff_reaction_7_conversion
48.5743,1.3176544815304438e-05,5.89112182231131e-11,3.4807101997896903e-12,2.4894020493430125e-13,2.8322243497328633e-10,1.1752917322627369e-126,5.71339540318575e-34,8.437588910551987e-36,1.5218311657089728e-06,8.359680180291353e-11,5.684643828814718e-15,5.511658454121811e-12,7.894523029218449e-10,2.2379903025749636e-172,7.646212285894405e-37,4.417042006320168e-31,1.6565227579976915e-06,1.0312972987732372e-11,9.1965682331265e-13,9.764719609178966e-11,1.2013567654424128e-17,3.107467919799001e-126,5.836603292850661e-40,2.6064189999317625e-41
49.52921,1.4352761652376984e-05,6.70476485977423e-11,3.961001891072036e-12,2.833517283519202e-13,3.121267636670365e-10,3.0517965275423855e-126,7.26468693902111e-34,1.07261845235666e-35,1.669405964929963e-06,9.407864412468365e-11,6.563038322032965e-15,6.150750438810435e-12,8.628553208524475e-10,7.389472456027036e-172,9.718301121515956e-37,5.362755202049904e-31,1.8098632210382185e-06,1.160678680160595e-11,1.034939320371656e-12,1.0761250919398373e-10,1.367255002079641e-17,6.887985357824291e-126,7.422043756211612e-40,3.316204487016338e-41
50.48413,1.560674489190061e-05,7.620945563169465e-11,4.5022721280378745e-12,3.220323505393941e-13,3.4337314270948976e-10,7.937574256715618e-126,9.234940422490836e-34,1.363526381948105e-35,1.8278451665475905e-06,1.05736374668317e-10,7.571565332765029e-15,6.85273179433278e-12,9.41379479568906e-10,2.4390641845831643e-171,1.2349308656219636e-36,6.50711135213383e-31,1.974793370238785e-06,1.304521238540119e-11,1.1636094622504175e-12,1.1844670320175122e-10,1.554097202146154e-17,1.527212023303987e-125,9.431124181442291e-40,4.2156273179784717e-41
51.43904,1.693849453387531e-05,8.652980512488226e-11,5.112057584872807e-12,3.6562890464367074e-13,3.7724718799682944e-10,2.0638307932083974e-125,1.1731727164474026e-33,1.7326692106877898e-35,1.9989595042946284e-06,1.1875965282443667e-10,8.72974473863798e-15,7.626101084315024e-12,1.0250247790712206e-09,8.0379455325037795e-171,1.5696004769016285e-36,7.89329370751851e-31,2.151313205599392e-06,1.4645172393045092e-11,1.3064110069944761e-12,1.30139051190332e-10,1.7646391503036993e-17,3.3839724865366615e-125,1.198580152726277e-39,5.353451381243822e-41
52.39396,1.8357731378607475e-05,9.815517945720842e-11,5.797209783563743e-12,4.1478822381169783e-13,4.139202690667655e-10,5.359156287358024e-125,1.4902250011436805e-33,2.2002801021485355e-35,2.1827489781710764e-06,1.3317376651179245e-10,1.0057096417278888e-14,8.475957446932876e-12,1.1149292506451367e-09,2.6573055017629106e-170,1.9942423665701238e-36,9.568803844245164e-31,2.340314241440041e-06,1.6429743170801754e-11,1.4648314706949165e-12,1.4279682240732767e-10,2.0016366312140254e-17,7.499472482361662e-125,1.5227289114296297e-39,6.800113404538338e-41
53.34887,1.9874176226403485e-05,1.1125869416855888e-10,6.5714317680845e-12,4.70157141190423e-13,4.536208786362445e-10,1.3917848890218863e-124,1.8933343345432337e-33,2.793786233617944e-35,2.3810243219097076e-06,1.4923159491788178e-10,1.1579646872190519e-14,9.410799445812512e-12,1.2110928942906548e-09,8.75471738066276e-170,2.5333944287334946e-36,1.1598416638733637e-30,2.541796477760733e-06,1.8414308949513904e-11,1.6411021274883642e-12,1.5652728610033995e-10,2.268947743403579e-17,1.6620568984736605e-124,1.9341731774273503e-39,8.636886535238117e-41
54.30379,2.148782907726334e-05,1.2604009795880176e-10,7.441575060421988e-12,5.325118565561837e-13,4.966346326014499e-10,3.611552756608788e-124,2.404581143615982e-33,3.5491576736699184e-35,2.5937855355105218e-06,1.6705957763645341e-10,1.3323422606875634e-14,1.0439125644580112e-11,1.3140847256506476e-09,2.88237669611088e-169,3.215002598345846e-36,1.4055543617593086e-30,2.7575429432014743e-06,2.0614253960024268e-11,1.8374542515114452e-12,1.713304422693688e-10,2.569879428466458e-17,3.6815231754947653e-124,2.456662463733348e-39,1.097213496984462e-40
55.2587,2.320841073149343e-05,1.4268582294781405e-10,8.421342704550026e-12,6.028873029440962e-13,5.431900236793282e-10,9.389814473780878e-124,3.0556706568315525e-33,4.5068607494501007e-35,2.822843352706292e-06,1.8691059385500477e-10,1.5320956750712686e-14,1.157113431958709e-11,1.424473760367988e-09,9.51666760837298e-169,4.080644973753534e-36,1.703086960781129e-30,2.989336666402271e-06,2.306034666401831e-11,2.0553753588552433e-12,1.8742082940961758e-10,2.909392098793809e-17,8.16071851978802e-124,3.117797555742166e-39,1.3935895744159605e-40
56.21362,2.5045641989400133e-05,1.6146220073541987e-10,9.531289266429343e-12,6.820596801304976e-13,5.935726677660626e-10,2.4378968631197585e-123,3.882271256218277e-33,5.725346822391083e-35,3.0700085072297914e-06,2.0891108316728463e-10,1.761128905895582e-14,1.281702374718486e-11,1.5422599984426758e-09,3.137531396669319e-168,5.1848502085255445e-36,2.0632352736754667e-30,3.237177647363122e-06,2.578335552318149e-11,2.297840481701927e-12,2.0479844752108625e-10,3.291895009844428e-17,1.8114485951550814e-123,3.958658692180565e-39,1.7696133362760333e-40
57.16853,2.6999522850983456e-05,1.826355629214435e-10,1.0778266268046845e-11,7.713226544092836e-13,6.481253039370733e-10,6.339653785012199e-123,4.9296761253041955e-33,7.272059771068935e-35,3.3352809990810194e-06,2.334403643545392e-10,2.0233459286859185e-14,1.4186992203724835e-11,1.668581471160457e-09,1.035983267880436e-167,6.582146956230867e-36,2.4993861082357558e-30,3.5028489147240352e-06,2.8798664768356537e-11,2.567824652233663e-12,2.2367783509897818e-10,3.7223485740094626e-17,4.0127625464103144e-123,5.0305961714569974e-39,2.246957621864973e-40
58.12345,2.9079774116549776e-05,2.0647224110570906e-10,1.2182828275363263e-11,8.719698920743496e-13,7.069621785508336e-10,1.648879862289664e-122,6.260163391440363e-33,9.236924766918416e-35,3.6213769288591353e-06,2.6062487701051715e-10,2.32395204414283e-14,1.5694637391008903e-11,1.8040071941642042e-09,3.4135904156275465e-167,8.361144278919105e-36,3.026221769783827e-30,3.7872419828050125e-06,3.215242709207164e-11,2.867559144587078e-12,2.4405899214329324e-10,4.2079178314094555e-17,8.893936960063221e-123,6.391379079280972e-39,2.8537971222731598e-40
59.07836,3.130583738671187e-05,2.332385668880408e-10,1.3765529854339324e-11,9.85295059419591e-13,7.709401392958933e-10,4.2805634166452696e-122,7.947334477859841e-33,1.1732348274232974e-34,3.929201663430526e-06,2.9097037951021355e-10,2.6688032155544383e-14,1.735355701083895e-11,1.9491061830967906e-09,1.1275033404146221e-166,1.0617267320335991e-35,3.665333883792963e-30,4.091248365926057e-06,3.5890795186854994e-11,3.200762748989882e-12,2.6615645714923486e-10,4.754665508300254e-17,1.970908811188241e-122,8.118032863265167e-39,3.6231829174335395e-40
60.03328,3.367771266146973e-05,2.634672034680871e-10,1.5553777092922665e-11,1.1129799226270718e-12,8.400591861722525e-10,1.1134382760380086e-121,1.0087437399559717e-32,1.4897714308736485e-34,4.2605659365279645e-06,3.24603311447377e-10,3.0637554062088655e-14,1.917224962684115e-11,2.1038784379582164e-09,3.7224186683321676e-166,1.3486837714403994e-35,4.438314075736445e-30,4.416651092727175e-06,4.004453751439205e-11,3.571154255669785e-12,2.9007749936440473e-10,5.3719612725318017e-17,4.36364136690045e-122,1.0306839332925426e-38,4.598460685946696e-40
60.98819,3.6205120741129744e-05,2.9755764824558423e-10,1.7568124557074015e-11,1.2565768812494668e-12,9.148905509722778e-10,2.8984062520357227e-121,1.28050284112421e-32,1.8917369471870206e-34,4.616375115017837e-06,3.620294311970025e-10,3.5166165671569405e-14,2.117791064261928e-11,2.2700310056770995e-09,1.2274134699745164e-165,1.7126625340133952e-35,5.375390621276867e-30,4.7652331918483725e-06,4.4659806767210996e-11,3.983196212900038e-12,3.159293880364044e-10,6.066419007292292e-17,9.675507640581557e-122,1.3086174234282884e-38,5.839230735888435e-40
61.94311,3.8897782425998303e-05,3.3590939862026847e-10,1.9835978334741012e-11,1.4182851679863978e-12,9.960054654883355e-10,7.521015625773394e-121,1.625863365525513e-32,2.399814165793408e-34,4.999345299499302e-06,4.036280575403363e-10,4.0358453120370606e-14,2.338753718542569e-11,2.447563886253441e-09,4.052419812190169e-165,2.17479287301057e-35,6.506791796076824e-30,5.137886177609653e-06,4.979813986868276e-11,4.441351168953894e-12,3.439266616604372e-10,6.849061851228717e-17,2.144775181468563e-121,1.6616507249863952e-38,7.415929794984706e-40
62.89802,4.1765418516381785e-05,3.7918828359170037e-10,2.2391596035858202e-11,1.6006921154256562e-12,1.0839751615127927e-09,1.9535223156527246e-120,2.064074916159297e-32,3.0472754001236714e-34,5.41219259057152e-06,4.499049488523732e-10,4.631201579662762e-14,2.5818126382512745e-11,2.6376151109729854e-09,1.335832305713585e-164,2.7616575070468056e-35,7.880019176177535e-30,5.537284592971025e-06,5.5505689511335535e-11,4.950825430150145e-12,3.7428385873170656e-10,7.73091294298807e-17,4.748068202083447e-121,2.1096820786001378e-38,9.415249220436678e-40
63.85294,4.481774981258658e-05,4.279269663595283e-10,2.5269235270360133e-11,1.8063850561550327e-12,1.1793708708380158e-09,5.0772162736487254e-120,2.620614908760085e-32,3.870090718751714e-34,5.855822355100877e-06,5.013658635081083e-10,5.3143972966102886e-14,2.84866753611328e-11,2.8413227111214796e-09,4.403712496355018e-164,3.5046104119242695e-35,9.538256012525565e-30,5.965211466572495e-06,6.185937684938295e-11,5.517569060853129e-12,4.0710824849781397e-10,8.722995421217341e-17,1.0528910056684145e-120,2.678386633473742e-38,1.1956389628395961e-39
64.80785,4.807421791522545e-05,4.827912759233127e-10,2.8510005170168255e-11,2.037951322762318e-12,1.2827638252563712e-09,1.3189666882510134e-119,3.328320901385706e-32,4.9132227073949176e-34,6.333856060552919e-06,5.586429994762851e-10,6.095192401693176e-14,3.1427178375790564e-11,3.0592557023417958e-09,1.4540499959599424e-163,4.4520457676854386e-35,1.1546277181540755e-29,6.422558312734066e-06,6.892073880619595e-11,6.1475321254271796e-12,4.427216387015646e-10,9.84184399388702e-17,2.335395655530159e-120,3.403709598493125e-38,1.5180224474314452e-39
65.76277,5.154454362460479e-05,5.445802070825262e-10,3.216186638919094e-11,2.2992719141291985e-12,1.3947252565602256e-09,3.424313531735497e-119,4.2285229240054955e-32,6.23961898605761e-34,6.8481044406604194e-06,6.222421151318988e-10,6.993106772538497e-14,3.4656632553738394e-11,3.2925521159196803e-09,4.8031525374101745e-163,5.651676146203179e-35,1.3977494209832266e-29,6.912891188735751e-06,7.67820807668309e-11,6.848152204327719e-12,4.8123129859056e-10,1.1103993368967592e-16,5.168391001493414e-120,4.321596182544202e-38,1.927097289224464e-39
66.71768,5.523844774103097e-05,6.142259204365535e-10,3.627963110332347e-11,2.594227829137361e-12,1.515826396541946e-09,8.905080586241301e-119,5.366514160147493e-32,7.9212196918876e-34,7.401283596022536e-06,6.930482876311903e-10,8.02115366089763e-14,3.822602927673337e-11,3.542349983140878e-09,1.5834738389591662e-162,7.178478446134847e-35,1.6922591924387878e-29,7.437101608897552e-06,8.552032388550145e-11,7.62909815214679e-12,5.229590359076052e-10,1.2525978254429548e-16,1.14564921579051e-119,5.483396684035426e-38,2.4467036114489737e-39
67.6726,5.9175371865116765e-05,6.927937423846915e-10,4.09181114884611e-11,2.9267000666684916e-12,1.6466384769938985e-09,2.3093287574941083e-118,6.810234385103759e-32,1.0056942513463123e-33,7.997014994104814e-06,7.716937149429033e-10,9.198852944397652e-14,4.213536854477549e-11,3.8097873352911355e-09,5.226581565345868e-162,9.114245647833928e-35,2.0485210127479347e-29,7.998755630499482e-06,9.522777354726398e-11,8.49185748497548e-12,5.681193891479033e-10,1.412984492756687e-16,2.5430050283264404e-119,6.959717763278417e-38,3.107725210107891e-39
68.62751,6.337475759747494e-05,7.812158335263247e-10,4.614582276447294e-11,3.3005696256042766e-12,1.7883039615008166e-09,6.005127836002197e-118,8.644608317989366e-32,1.2772682690792841e-33,8.638014735506417e-06,8.591899138170279e-10,1.0545724500665633e-13,4.645263886687416e-11,4.096002203656198e-09,1.7229662811230476e-161,1.1568035058438396e-34,2.4799216897041013e-29,8.599636282181545e-06,1.0602750359886033e-10,9.458742944180046e-12,6.170341660542596e-10,1.5932128096350047e-16,5.634415490306614e-119,8.834003655186911e-38,3.9475477329942216e-39
69.58243,6.78463257384119e-05,8.809570176604862e-10,5.2038131673214987e-11,3.722304837414193e-12,1.9419653136474335e-09,1.5616493860605274e-117,1.0977207269683413e-31,1.6216816756744103e-33,9.327904287692887e-06,9.565484010035536e-10,1.2094301459080026e-13,5.119483737028177e-11,4.402701635164684e-09,5.6856448607015656e-161,1.4689800475262968e-34,3.0024390261575167e-29,9.243309621223758e-06,1.180272036561896e-10,1.0529754529760488e-11,6.700251743694789e-10,1.7965897176720054e-16,1.2477630599643534e-118,1.1215373743878867e-37,5.009516858708548e-39
70.53734,7.261923868884678e-05,9.93348952786297e-10,5.867725647853015e-11,4.1970803672738224e-12,2.1081937652261153e-09,4.056027711493231e-117,1.3938249142829008e-31,2.059167634704512e-33,1.007030511812977e-05,1.0647806932524705e-09,1.3864103697267902e-13,5.641295543675538e-11,4.731023661102341e-09,1.872413567092766e-160,1.8649943940710737e-34,3.6329144899773403e-29,9.932450190586125e-06,1.313807160276791e-10,1.1719767402627645e-11,7.274142218363661e-10,2.025871001529437e-16,2.7599700351744694e-118,1.423862256267647e-37,6.358651105151749e-39
71.49226,7.770321724908597e-05,1.1199896285027024e-09,6.614541544426134e-11,4.732658212946538e-12,2.2881317798215954e-09,1.054369977810031e-116,1.7697583375656304e-31,2.616703697600017e-33,1.0869744061149e-05,1.185151186501266e-09,1.5894170970483408e-13,6.215798444805204e-11,5.082675328397786e-09,6.180228668118446e-160,2.3680212232449893e-34,4.3972580317315093e-29,1.067062404754866e-05,1.462264987909134e-10,1.3043656723692358e-11,7.895231161977264e-10,2.2838124458690475e-16,6.119366543394411e-118,1.8077057368708247e-37,8.070805409874847e-39
