temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
330.12131,7.82761,35.84874,66.08107,0.042103289,1.676489426,0.989643149,6.42E-03,1.17E-02,0.029905632,7.85E-04,0.048776023,1.71E-01,1.48E+00,1.11E-09,2.08E-06,1.649317989,0.420720244,5.82E-01,4.52E-24,4.70E-07,1.002971318
331.07622,7.77546,34.26682,65.11932,0.066618432,1.691014203,1.013744644,5.61E-03,4.52E-03,0.048994221,9.53E-04,0.060077442,1.57E-01,1.50E+00,2.47E-09,2.57E-06,1.65934465,0.420152986,6.09E-01,1.17E-23,5.39E-07,1.02895644
332.03114,7.70038,32.61919,64.14499,0.087678008,1.728017691,1.045119329,4.91E-03,1.75E-03,0.072358884,1.16E-03,0.080166453,1.43E-01,1.53E+00,5.47E-09,3.18E-06,1.668869828,0.419156011,6.36E-01,3.05E-23,6.18E-07,1.055046252
332.98605,7.60801,30.9666,63.12332,0.104899346,1.69422952,1.073676695,4.29E-03,6.74E-04,0.095275596,1.40E-03,0.101639718,1.30E-01,1.55E+00,1.21E-08,3.93E-06,1.677980865,0.417678921,6.63E-01,7.93E-23,7.08E-07,1.081141254
333.94097,7.50004,29.3835,62.09445,0.119345734,1.705618028,1.083709054,3.75E-03,2.60E-04,0.113229864,1.70E-03,0.118938232,1.17E-01,1.57E+00,2.69E-08,4.86E-06,1.686748032,0.415665482,6.91E-01,2.06E-22,8.11E-07,1.107133209
334.89588,7.38008,27.70916,61.05362,0.133498752,1.727860729,1.21565728,3.27E-03,1.00E-04,0.12479156,2.06E-03,0.130229262,1.06E-01,1.59E+00,5.95E-08,6.00E-06,1.695219984,0.413053824,7.20E-01,5.35E-22,9.30E-07,1.132903371
335.8508,7.24508,26.08358,59.77275,0.139598803,1.723807991,1.244911346,2.86E-03,3.86E-05,0.131078518,0.002503271,0.136479149,9.50E-02,1.61E+00,1.32E-07,7.42E-06,1.703415774,0.409776634,7.49E-01,1.39E-21,1.07E-06,1.158325441
336.80571,7.11347,24.41698,58.67605,0.137766189,1.726567384,1.144871552,2.50E-03,1.49E-05,0.133866392,0.003033287,0.139411426,8.51E-02,1.63E+00,2.92E-07,9.18E-06,1.7113008,0.405762152,7.78E-01,3.61E-21,1.22E-06,1.183264647
337.76063,6.98197,22.78613,57.58624,0.130341405,1.722985895,1.144756358,2.18E-03,5.74E-06,0.134558633,0.003673333,0.140418262,7.60E-02,1.64E+00,6.47E-07,1.13E-05,1.718724583,0.400935163,8.07E-01,9.39E-21,1.40E-06,1.207581669
338.71554,6.86454,21.12637,56.48976,0.133964746,1.711199567,1.155301744,1.90E-03,2.21E-06,0.134024866,0.004445213,0.140376441,6.77E-02,1.66E+00,1.43E-06,1.40E-05,1.725253238,0.395219241,8.36E-01,2.44E-20,1.60E-06,1.231133019
