temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
400.78502,-0.27683,2.02611,7.16238,0.002403353,0.168051604,0.096862033,2.71E-07,0.00E+00,0.000110667,4.85E-10,0.000110938,1.12E-05,0,0.002830299,1.61E-01,0.163765937,1.17E-04,1.10E-08,8.90E-02,1.05E-02,0.099632996
401.73993,-0.27866,1.86608,7.06831,0.00286936,0.161595566,0.098982629,2.37E-07,0.00E+00,9.55564E-05,1.87E-10,9.57932E-05,9.79E-06,0,0.00242107,1.59E-01,0.161069975,9.97E-05,5.82E-09,8.84E-02,1.19E-02,0.10046407
402.69485,-0.28231,1.71749,6.97334,0.003586705,0.15523371,0.102914937,2.06E-07,0.00E+00,8.25079E-05,7.19E-11,8.27144E-05,8.55E-06,0,0.002070114,1.55E-01,0.157267028,8.50E-05,3.08E-09,8.78E-02,1.35E-02,0.101392566
403.64976,-0.28551,1.56961,6.87176,0.003110226,0.144374162,0.104606178,1.80E-07,0.00E+00,7.12405E-05,2.77E-11,7.14206E-05,7.46E-06,0,0.001769382,1.50E-01,0.152008718,7.25E-05,1.63E-09,8.71E-02,1.52E-02,0.102424431
404.60468,-0.28825,1.44176,6.77356,0.001193815,0.136766115,0.101878173,1.57E-07,0,6.1511E-05,1.06E-11,6.17E-05,6.51E-06,0,0.001511856,1.43E-01,0.144915262,6.18E-05,8.63E-10,8.63E-02,1.72E-02,0.103564942
405.55959,-0.28779,1.30841,6.67719,-0.005738703,0.134394188,0.10382598,1.37E-07,0,5.31099E-05,4.10E-12,5.32E-05,5.68E-06,0,0.001291464,1.34E-01,0.135649583,5.27E-05,4.57E-10,8.54E-02,1.94E-02,0.104818232
406.51451,-0.27729,1.18509,6.57527,-0.006215188,0.124618398,0.110994195,1.20E-07,0,4.58558E-05,1.58E-12,4.60E-05,4.95E-06,0,0.001102942,1.23E-01,0.124039785,4.50E-05,2.42E-10,8.44E-02,2.17E-02,0.106186942
407.46942,-0.27592,1.07041,6.46521,-0.001199061,0.119518494,0.108056776,1.04E-07,0,3.95923E-05,6.07E-13,3.97E-05,4.32E-06,0,0.000941755,1.09E-01,0.110229304,3.84E-05,1.28E-10,8.33E-02,2.44E-02,0.107671631
408.42434,-0.275,0.95683,6.3689,0.004063215,0.111868559,0.115465851,9.10E-08,0,3.41841E-05,2.34E-13,3.43E-05,3.77E-06,0,0.000803986,9.40E-02,0.094781674,3.27E-05,6.78E-11,8.20E-02,2.72E-02,0.109270389
409.37925,-0.28368,0.85676,6.24469,0.005487418,0.098678972,0.121005582,7.94E-08,0,2.95146E-05,8.99E-14,2.96E-05,3.29E-06,0,0.000686273,7.80E-02,0.078650268,2.79E-05,3.59E-11,8.06E-02,3.03E-02,0.110978225
410.33417,-0.28548,0.76837,6.1378,0.001900693,0.086416036,0.109250548,6.93E-08,0,2.54827E-05,3.46E-14,2.56E-05,2.87E-06,0,0.000585721,6.24E-02,0.062969386,2.38E-05,1.90E-11,7.91E-02,3.37E-02,0.112786771
411.28908,-0.28731,0.69172,6.03604,0.001450393,0.061550079,0.109423337,6.05E-08,0,2.20016E-05,1.33E-14,2.21E-05,2.50E-06,0,0.00049985,4.83E-02,0.048753206,2.03E-05,1.01E-11,7.74E-02,3.73E-02,0.114683822
412.244,-0.28825,0.65082,5.92882,-0.003576258,0.038788772,0.120513387,5.28E-08,0,1.89959E-05,5.10E-15,1.90E-05,2.18E-06,0,0.000426529,3.62E-02,0.036655941,1.73E-05,5.32E-12,7.55E-02,4.11E-02,0.116653336
413.19891,-0.28048,0.61764,5.80588,-0.005262264,0.028892655,0.136682281,4.60E-08,0,1.64008E-05,1.98E-15,1.64E-05,1.91E-06,0,0.000363935,2.65E-02,0.026904016,1.48E-05,2.82E-12,7.35E-02,4.51E-02,0.118675348
414.15383,-0.2782,0.59564,5.66778,-0.002628507,0.024159224,0.132461988,4.02E-08,0,1.41602E-05,7.59E-16,1.42E-05,1.66E-06,0,0.000310507,1.91E-02,0.019378931,1.26E-05,1.49E-12,7.13E-02,4.94E-02,0.120726482
415.10874,-0.27546,0.5715,5.5529,-0.00095821,0.013566714,0.111774391,3.50E-08,0,1.22257E-05,2.95E-16,1.23E-05,1.45E-06,0,0.000264907,1.35E-02,0.01376518,1.07E-05,7.89E-13,6.90E-02,5.38E-02,0.122780419
416.06366,-0.27637,0.56973,5.45431,0.005979616,0.004340714,0.119094453,3.06E-08,0,1.05554E-05,1.27E-16,1.06E-05,1.27E-06,0,0.000225993,9.45E-03,0.009681196,9.17E-06,4.18E-13,6.65E-02,5.83E-02,0.124808996
417.01857,-0.28688,0.56321,5.32545,0.004068461,0.00386947,0.144908133,2.67E-08,0,9.11336E-06,4.22E-17,9.14E-06,1.10E-06,0,0.000192788,6.57E-03,0.006763626,7.82E-06,2.21E-13,6.38E-02,6.29E-02,0.126783219
417.97349,-0.28414,0.56234,5.17756,0.001099595,0.000455536,0.133493445,2.33E-08,0,7.86828E-06,0.00E+00,7.89E-06,9.64E-07,0,0.000164456,4.54E-03,0.004705714,6.67E-06,1.17E-13,6.10E-02,6.76E-02,0.128674784
418.9284,-0.28898,0.56234,5.0705,0.003822336,0,0.128419722,2.03E-08,0,6.7933E-06,0.00E+00,6.81E-06,8.41E-07,0,0.000140283,3.13E-03,0.003266791,5.69E-06,6.20E-14,5.81E-02,7.23E-02,0.130457319
419.88332,-0.29144,0.56234,4.9323,0.003204477,0,0.146028711,1.77E-08,0,5.86518E-06,0.00E+00,5.88E-06,7.34E-07,0,0.00011966,2.15E-03,2.27E-03,4.85E-06,3.27E-14,5.51E-02,7.70E-02,0.13210789
420.83823,-0.2951,0.56234,4.79161,0.001916411,0.000455536,0.138750614,1.55E-08,0,5.06386E-06,0.00E+00,5.08E-06,6.40E-07,0,0.000102067,1.47E-03,1.57E-03,4.14E-06,1.75E-14,5.20E-02,8.16E-02,0.133607985
421.79315,-0.2951,0.56147,4.66731,0,0.001141464,0.127403995,1.35E-08,0,4.37201E-06,0.00E+00,4.39E-06,5.58E-07,0,8.70588E-05,1.01E-03,1.09E-03,3.53E-06,9.14E-15,4.88E-02,8.61E-02,0.13494447
422.74806,-0.2951,0.56016,4.54829,-0.000905835,0.001602236,0.129110945,1.18E-08,0,3.77469E-06,0.00E+00,3.79E-06,4.87E-07,0,7.42564E-05,6.88E-04,7.63E-04,3.01E-06,4.95E-15,4.57E-02,9.04E-02,0.136109885
423.70298,-0.29337,0.55841,4.42073,0.002879862,0.001591763,0.154474591,1.03E-08,0,3.25897E-06,0.00E+00,3.27E-06,4.25E-07,0,6.33357E-05,4.70E-04,5.34E-04,2.57E-06,2.67E-15,4.25E-02,9.46E-02,0.137102549
424.65789,-0.3006,0.55712,4.25327,-0.000293179,0.001837857,0.163726675,8.96E-09,0,2.81371E-06,0.00E+00,2.82E-06,3.71E-07,0,5.40205E-05,3.21E-04,3.76E-04,2.19E-06,1.52E-15,3.94E-02,9.85E-02,0.137926044
425.61281,-0.29281,0.5549,4.10804,0.005492707,-0.000157095,0.139253165,7.81E-09,0,2.42928E-06,0.00E+00,2.44E-06,3.24E-07,0,4.60748E-05,2.19E-04,2.66E-04,1.87E-06,7.62E-16,3.63E-02,1.02E-01,0.138588547
426.56772,-0.31109,0.55742,3.98732,0.011964453,-0.001377093,0.144436845,6.82E-09,0,2.09738E-06,0.00E+00,2.10E-06,2.82E-07,0,3.92976E-05,1.50E-04,1.89E-04,1.59E-06,3.81E-16,3.34E-02,1.06E-01,0.139101757
427.52264,-0.31566,0.55753,3.83219,0.002392871,-8.37769E-05,0.159249759,5.95E-09,0,1.81082E-06,0.00E+00,1.82E-06,2.46E-07,0,3.3517E-05,1.02E-04,1.36E-04,1.36E-06,3.81E-16,3.05E-02,1.09E-01,0.139479814
428.47755,-0.31566,0.55758,3.68318,0.007293805,-0.001832615,0.151997843,5.19E-09,0,1.56341E-06,0.00E+00,1.57E-06,2.15E-07,0,2.85865E-05,6.98E-05,9.86E-05,1.16E-06,0,2.78E-02,1.12E-01,0.139738091
429.43247,-0.32959,0.56103,3.5419,0.007655095,0.001597028,0.130419893,4.53E-09,0,1.34981E-06,0.00E+00,1.35E-06,1.88E-07,0,2.43812E-05,4.77E-05,7.22E-05,9.88E-07,0,2.52E-02,1.15E-01,0.139892107
430.38738,-0.33028,0.55453,3.4341,-0.003759473,0.006178564,0.125487543,3.95E-09,0,1.16539E-06,0.00E+00,1.17E-06,1.64E-07,0,2.07944E-05,3.25E-05,5.35E-05,8.43E-07,0,2.28E-02,1.17E-01,0.139956495
431.3423,-0.32241,0.54923,3.30224,-0.006450827,0.002775102,0.152018839,3.45E-09,0,1.00616E-06,0.00E+00,1.01E-06,1.43E-07,0,1.77353E-05,2.22E-05,4.01E-05,7.19E-07,0,2.05E-02,1.19E-01,0.13994413
432.29721,-0.31796,0.54923,3.14377,-0.003534352,0,0.150646996,3.01E-09,0,8.68695E-07,0.00E+00,8.72E-07,1.25E-07,0,1.51261E-05,1.52E-05,3.04E-05,6.13E-07,0,1.84E-02,1.21E-01,0.139865352
433.25213,-0.31566,0.54923,3.01453,-0.000963429,0.000685929,0.14538472,2.62E-09,0,7.50007E-07,0.00E+00,7.53E-07,1.09E-07,0,1.29007E-05,1.03E-05,2.34E-05,5.23E-07,0,1.65E-02,1.23E-01,0.139727265
434.20704,-0.31612,0.54792,2.86611,0.000958198,0.001602236,0.1530817,2.29E-09,0,6.47536E-07,0.00E+00,6.50E-07,9.48E-08,0,1.10028E-05,7.06E-06,1.82E-05,4.46E-07,0,1.47E-02,1.25E-01,0.139533055
435.16196,-0.31749,0.54617,2.72217,0.001434683,0.001602236,0.146463275,2.00E-09,0,5.59064E-07,0.00E+00,5.61E-07,8.27E-08,0,9.38398E-06,4.82E-06,1.43E-05,3.80E-07,0,1.31E-02,1.26E-01,0.139281212
436.11687,-0.31886,0.54486,2.58639,0.004544891,0.000685929,0.145374179,1.74E-09,0,4.82681E-07,0.00E+00,4.84E-07,7.22E-08,0,8.00337E-06,3.29E-06,1.14E-05,3.24E-07,0,1.16E-02,1.27E-01,0.138964607
437.07179,-0.32617,0.54486,2.44453,0.004780515,0,0.154615888,1.52E-09,0,4.16733E-07,0.00E+00,4.18E-07,6.30E-08,0,6.82585E-06,2.25E-06,9.13E-06,2.77E-07,0,1.03E-02,1.28E-01,1.39E-01
438.0267,-0.32799,0.54486,2.2911,0.001806444,0,0.14725925,1.33E-09,0,3.59795E-07,0.00E+00,3.61E-07,5.49E-08,0,5.82159E-06,1.53E-06,7.41E-06,2.36E-07,0,9.13E-03,1.29E-01,1.38E-01
438.98162,-0.32962,0.54486,2.16329,0.001434681,0,0.131608561,1.16E-09,0,3.10637E-07,0.00E+00,3.12E-07,4.79E-08,0,4.96506E-06,1.05E-06,6.06E-06,2.01E-07,0,8.06E-03,1.29E-01,1.37E-01
439.93653,-0.33073,0.54486,2.03975,0.001298544,0.00022515,0.139048975,1.01E-09,0,2.68196E-07,0.00E+00,2.69E-07,4.18E-08,0,4.23456E-06,7.14E-07,4.99E-06,1.72E-07,0,7.11E-03,1.30E-01,1.37E-01
440.89145,-0.3321,0.54443,1.89773,-0.002387667,0.000455538,0.142803255,8.81E-10,0,2.31552E-07,0.00E+00,2.32E-07,3.65E-08,0,3.61153E-06,4.87E-07,4.14E-06,1.46E-07,0,6.27E-03,1.29E-01,1.36E-01
441.84636,-0.32617,0.54399,1.76702,-0.003345863,0.000460774,0.141745575,7.69E-10,0,1.99916E-07,0.00E+00,2.01E-07,3.18E-08,0,3.08016E-06,3.33E-07,3.44E-06,1.25E-07,0,5.52E-03,1.29E-01,1.34E-01
442.80128,-0.32571,0.54355,1.62702,-0.000481718,0.000455538,0.131765577,6.71E-10,0,1.72602E-07,0.00E+00,1.73E-07,2.78E-08,0,2.62697E-06,2.27E-07,2.88E-06,1.06E-07,0,4.85E-03,1.28E-01,1.32E-01
443.75619,-0.32525,0.54312,1.51537,-0.000476482,0.000685924,0.112601668,5.85E-10,0,1.4902E-07,0.00E+00,1.50E-07,2.42E-08,0,2.24046E-06,1.55E-07,2.42E-06,9.08E-08,0,4.26E-03,1.26E-01,1.30E-01
444.71111,-0.3248,0.54224,1.41197,-0.000476482,-0.002974107,0.118130985,5.10E-10,0,1.28659E-07,0.00E+00,1.29E-07,2.11E-08,0,1.91082E-06,1.06E-07,2.04E-06,7.74E-08,0,3.74E-03,1.23E-01,1.27E-01
445.66602,-0.32434,0.5488,1.28976,-0.001596995,-0.000403211,0.135441335,4.45E-10,0,1.11081E-07,0.00E+00,1.12E-07,1.84E-08,0,1.62968E-06,7.22E-08,1.72E-06,6.60E-08,0,3.28E-03,1.20E-01,1.23E-01
446.62094,-0.32175,0.54301,1.1533,-0.001434676,0.005262244,0.11868583,3.89E-10,0,9.59039E-08,0.00E+00,9.63E-08,1.61E-08,0,1.3899E-06,4.93E-08,1.46E-06,5.63E-08,0,0.00287304,1.15E-01,1.18E-01
447.57585,-0.3216,0.53875,1.06309,0.000109956,0.004063191,0.097003385,3.39E-10,0,8.28008E-08,0.00E+00,8.31E-08,1.40E-08,0,1.1854E-06,3.36E-08,1.23E-06,4.80E-08,0,0.002516584,1.09E-01,1.11E-01
448.53077,-0.32196,0.53525,0.96804,0.006937825,0.003665248,0.104993667,2.96E-10,0,7.14878E-08,0.00E+00,7.18E-08,1.22E-08,0,1.01099E-06,2.29E-08,1.05E-06,4.10E-08,0,0.002203268,1.01E-01,1.04E-01
449.48568,-0.33485,0.53175,0.86257,0.007702287,0.002518555,0.107061903,2.58E-10,0,6.17206E-08,0.00E+00,6.20E-08,1.07E-08,0,8.6224E-07,1.57E-08,8.89E-07,3.49E-08,0,0.001928132,9.28E-02,9.47E-02
450.4406,-0.33667,0.53044,0.76357,0.001853568,-0.001853585,0.100323048,2.25E-10,0,5.32878E-08,0.00E+00,5.35E-08,9.32E-09,0,7.35375E-07,1.07E-08,7.55E-07,2.98E-08,0,0.001686714,8.30E-02,8.47E-02
451.39551,-0.33839,0.53529,0.67097,0.001884984,-0.003204484,0.097008634,1.96E-10,0,4.60072E-08,0.00E+00,4.62E-08,8.14E-09,0,6.27178E-07,7.30E-09,6.43E-07,2.54E-08,0,0.001475035,7.24E-02,7.39E-02
452.35043,-0.34027,0.53656,0.5783,0.001733137,-0.0021625,0.087227608,1.71E-10,0,3.97213E-08,0.00E+00,3.99E-08,7.10E-09,0,5.34899E-07,4.98E-09,5.47E-07,2.17E-08,0,0.001289545,6.16E-02,6.29E-02
453.30534,-0.3417,0.53942,0.50438,0.001466099,-0.002518551,0.069629275,1.50E-10,0,3.42943E-08,0.00E+00,3.44E-08,6.19E-09,0,4.56198E-07,3.40E-09,4.66E-07,1.85E-08,0,0.001127095,5.12E-02,5.23E-02
454.26026,-0.34307,0.54137,0.44532,0.000717338,-0.001251416,0.064508373,1.30E-10,0,2.96087E-08,0.00E+00,2.97E-08,5.40E-09,0,3.89076E-07,2.32E-09,3.97E-07,1.58E-08,0,0.000984888,4.15E-02,4.24E-02
455.21517,-0.34307,0.54181,0.38118,0.000235622,0.000230383,0.059507954,1.14E-10,0,2.55633E-08,0.00E+00,2.57E-08,4.71E-09,0,3.3183E-07,1.58E-09,3.38E-07,1.34E-08,0,0.000860457,3.29E-02,3.38E-02
456.17009,-0.34352,0.54093,0.33167,0.000717343,0.000680688,0.045852217,9.93E-11,0,2.20706E-08,0.00E+00,2.22E-08,4.11E-09,0,2.83006E-07,1.08E-09,2.88E-07,1.15E-08,0,0.000751617,2.56E-02,2.64E-02
457.125,-0.34444,0.54051,0.29361,0.0009582,0.000455538,0.03673627,8.67E-11,0,1.90552E-08,0.00E+00,1.91E-08,3.59E-09,0,2.41367E-07,7.37E-10,2.46E-07,9.78E-09,0,0.000656447,1.96E-02,2.03E-02
458.07992,-0.34535,0.54006,0.26151,-0.002633761,0.002529032,0.026756272,7.56E-11,0,1.64517E-08,0.00E+00,1.65E-08,3.13E-09,0,2.05854E-07,5.03E-10,2.09E-07,8.34E-09,0,0.000573252,1.49E-02,1.54E-02
459.03483,-0.33941,0.53568,0.24251,-0.003345863,0.000916331,0.014770975,6.60E-11,0,1.42039E-08,0.00E+00,1.43E-08,2.73E-09,0,1.75566E-07,3.44E-10,1.79E-07,7.12E-09,0,0.000500545,1.12E-02,1.17E-02
459.98975,-0.33896,0.53831,0.2333,0.001675553,-0.00069115,0.009246894,5.76E-11,0,1.22633E-08,0.00E+00,1.23E-08,2.38E-09,0,1.49734E-07,2.34E-10,1.52E-07,6.07E-09,0,0.000437014,8.30E-03,8.73E-03
460.94466,-0.34261,0.537,0.22485,0.003351086,-0.004115521,0.006864496,5.02E-11,0,1.05878E-08,0.00E+00,1.06E-08,2.08E-09,0,1.27703E-07,1.60E-10,1.30E-07,5.18E-09,0,0.000381515,6.14E-03,6.52E-03
461.89958,-0.34536,0.54617,0.22019,0.002633741,-0.006864471,0.004822418,4.38E-11,0,9.14116E-09,0.00E+00,9.18E-09,1.81E-09,0,1.08914E-07,1.09E-10,1.11E-07,4.41E-09,0,0.000333038,4.52E-03,4.85E-03
462.85449,-0.34764,0.55011,0.21564,0.00119383,-0.002748943,0.003262078,3.82E-11,0,7.89223E-09,0.00E+00,7.93E-09,1.58E-09,0,9.28889E-08,7.45E-11,9.45E-08,3.77E-09,0,0.000290701,3.32E-03,3.61E-03
463.80941,-0.34764,0.55142,0.21396,0,-0.001597002,0.000879655,3.33E-11,0,6.81392E-09,0.00E+00,6.85E-09,1.38E-09,0,7.92217E-08,5.09E-11,8.07E-08,3.21E-09,0,0.000253732,2.43E-03,2.68E-03
464.76432,-0.34764,0.55316,0.21396,-0.001209525,-0.001602238,-0.000439827,2.91E-11,0,5.88295E-09,0.00E+00,5.91E-09,1.20E-09,0,6.75656E-08,3.47E-11,6.88E-08,2.74E-09,0,0.000221453,1.78E-03,2.00E-03
465.71924,-0.34533,0.55448,0.2148,-0.005743984,-0.001377086,-0.002408599,2.54E-11,0,5.07917E-09,0.00E+00,5.10E-09,1.05E-09,0,5.76244E-08,2.37E-11,5.87E-08,2.34E-09,0,0.000193272,1.30E-03,1.49E-03
466.67415,-0.33667,0.55579,0.21856,-0.004293601,-0.000685929,-0.00351864,2.21E-11,0,4.38521E-09,0.00E+00,4.41E-09,9.17E-10,0,4.91459E-08,1.62E-11,5.01E-08,1.99E-09,0,0.00016867,9.46E-04,1.11E-03
467.62907,-0.33713,0.55579,0.22152,0.000717343,0,-0.003314432,1.93E-11,0,3.78607E-09,0.00E+00,3.81E-09,8.00E-10,0,4.19149E-08,1.10E-11,4.27E-08,1.70E-09,0,0.000147195,6.90E-04,8.37E-04
468.58398,-0.33804,0.55579,0.22489,0.003345835,0,-0.002623275,1.69E-11,0,3.26878E-09,0.00E+00,3.29E-09,6.98E-10,0,3.57478E-08,7.54E-12,3.65E-08,1.45E-09,0,0.000128451,5.02E-04,6.31E-04
469.5389,-0.34352,0.55579,0.22653,0.005979591,0,-0.000858711,1.47E-11,0,2.82217E-09,0.00E+00,2.84E-09,6.09E-10,0,3.04881E-08,5.14E-12,3.11E-08,1.24E-09,0,0.00011209,3.66E-04,4.78E-04
470.49381,-0.34946,0.55579,0.22653,0.004309294,0.003204457,0,1.28E-11,0,2.43659E-09,0.00E+00,2.45E-09,5.31E-10,0,2.60023E-08,3.51E-12,2.65E-08,1.05E-09,0,9.78117E-05,2.66E-04,3.64E-04
471.44873,-0.35175,0.54967,0.22653,0.001434678,0.003434845,0,1.12E-11,0,2.10368E-09,0.00E+00,2.11E-09,4.64E-10,0,2.21765E-08,2.40E-12,2.26E-08,8.99E-10,0,8.535E-05,1.94E-04,2.79E-04
472.40364,-0.3522,0.54923,0.22653,0.000235624,0.000455538,0,9.77E-12,0,1.81626E-09,0.00E+00,1.83E-09,4.05E-10,0,1.89136E-08,1.64E-12,1.93E-08,7.67E-10,0,7.44749E-05,1.41E-04,2.16E-04
473.35856,-0.3522,0.5488,0.22653,0.00024086,0.00022515,0.000219916,8.52E-12,0,1.5681E-09,0.00E+00,1.58E-09,3.53E-10,0,1.61307E-08,1.12E-12,1.65E-08,6.54E-10,0,6.49844E-05,1.03E-04,1.68E-04
474.31347,-0.35266,0.5488,0.22611,-0.002387632,0.002748921,0.00043983,7.44E-12,0,1.35386E-09,0.00E+00,1.36E-09,3.08E-10,0,1.37574E-08,7.62E-13,1.41E-08,5.58E-10,0,5.67026E-05,7.47E-05,1.31E-04
475.26839,-0.34764,0.54355,0.22569,0.001261927,0.004351167,0.00043983,6.49E-12,0,1.16888E-09,0.00E+00,1.18E-09,2.69E-10,0,1.17332E-08,5.20E-13,1.20E-08,4.76E-10,0,4.94757E-05,5.43E-05,1.04E-04
476.2233,-0.35507,0.54049,0.22527,0.000717378,0.000455552,0.000225152,5.66E-12,0,1.00918E-09,0.00E+00,1.01E-09,2.34E-10,0,1.00068E-08,3.55E-13,1.02E-08,4.06E-10,0,4.31695E-05,3.95E-05,8.27E-05
477.17822,-0.34901,0.54268,0.22526,-0.003178277,-0.001371845,-5.48328E-11,4.94E-12,0,8.71297E-10,0.00E+00,8.76E-10,2.05E-10,0,8.5345E-09,2.42E-13,8.74E-09,3.46E-10,0,3.76667E-05,2.87E-05,6.64E-05
478.13313,-0.349,0.54311,0.22527,-0.001921627,0.000230383,0.000644033,4.31E-12,0,7.52254E-10,0.00E+00,7.57E-10,1.78E-10,0,7.27879E-09,1.65E-13,7.46E-09,2.95E-10,0,3.28651E-05,2.09E-05,5.38E-05
479.08805,-0.34534,0.54224,0.22403,-0.001670294,-0.002288179,-0.000874435,3.76E-12,0,6.49474E-10,0.00E+00,6.53E-10,1.56E-10,0,6.20783E-09,1.13E-13,6.36E-09,2.52E-10,0,2.86754E-05,1.52E-05,4.39E-05
480.04296,-0.34581,0.54748,0.22694,-0.001188579,-0.0029741,-0.002403359,3.28E-12,0,5.60738E-10,0.00E+00,5.64E-10,1.36E-10,0,5.29445E-09,7.70E-14,5.43E-09,2.15E-10,0,2.50197E-05,1.11E-05,3.61E-05
480.99788,-0.34307,0.54792,0.22862,0.00356056,-0.004806733,-0.001853569,2.86E-12,0,4.84125E-10,0.00E+00,4.87E-10,1.19E-10,0,4.51546E-09,5.25E-14,4.63E-09,1.83E-10,0,2.18299E-05,8.05E-06,2.99E-05
481.95279,-0.35261,0.55666,0.23048,0.007173428,-0.005031883,-0.004382576,2.50E-12,0,4.1798E-10,0.00E+00,4.20E-10,1.03E-10,0,3.85108E-09,3.59E-14,3.95E-09,1.56E-10,0,1.90467E-05,5.85E-06,2.49E-05
482.90771,-0.35677,0.55753,0.23699,-0.000932048,-0.000916312,-0.006477014,2.18E-12,0,3.60872E-10,0.00E+00,3.63E-10,9.02E-11,0,3.28446E-09,2.45E-14,3.37E-09,1.33E-10,0,1.66183E-05,4.26E-06,2.09E-05
483.86262,-0.35083,0.55841,0.24285,0.005979526,-0.000685926,-0.003958479,1.90E-12,0,3.11567E-10,0.00E+00,3.13E-10,7.87E-11,0,2.8012E-09,1.67E-14,2.88E-09,1.14E-10,0,1.44994E-05,3.10E-06,1.76E-05
484.81754,-0.36819,0.55884,0.24455,0.003837963,0.001324735,-0.001973999,1.66E-12,0,2.68998E-10,0.00E+00,2.71E-10,6.87E-11,0,2.38905E-09,1.14E-14,2.46E-09,9.68E-11,0,1.26507E-05,2.25E-06,1.49E-05
485.77245,-0.35816,0.55588,0.24662,-0.00764991,0.003885158,-0.001743613,1.45E-12,0,2.32245E-10,0.00E+00,2.34E-10,5.99E-11,0,2.03754E-09,7.77E-15,2.10E-09,8.26E-11,0,1.10377E-05,1.64E-06,1.27E-05
486.72737,-0.35358,0.55142,0.24788,-0.003120688,0.003251591,-0.001099573,1.26E-12,0,2.00514E-10,0.00E+00,2.02E-10,5.23E-11,0,1.73775E-09,5.33E-15,1.79E-09,7.04E-11,0,9.63028E-06,1.19E-06,1.08E-05
487.68228,-0.3522,0.54967,0.24872,-0.006461282,0.001832624,-0.000848243,1.10E-12,0,1.73118E-10,0.00E+00,1.74E-10,4.56E-11,0,1.48207E-09,3.64E-15,1.53E-09,6.01E-11,0,8.40234E-06,8.67E-07,9.27E-06
488.6372,-0.34124,0.54792,0.2495,-0.00693253,0.002083956,-0.00109434,9.61E-13,0,1.49465E-10,0.00E+00,1.50E-10,3.98E-11,0,1.26401E-09,2.48E-15,1.30E-09,5.12E-11,0,7.33095E-06,6.31E-07,7.96E-06
489.59211,-0.33896,0.54569,0.25081,0.005021351,0.001602241,-0.001125756,8.38E-13,0,1.29044E-10,0.00E+00,1.30E-10,3.47E-11,0,1.07803E-09,1.69E-15,1.11E-09,4.37E-11,0,6.39617E-06,4.59E-07,6.86E-06
490.54703,-0.35083,0.54486,0.25165,0.011000972,0.000434591,-0.000659743,7.32E-13,0,1.11413E-10,0.00E+00,1.12E-10,3.03E-11,0,9.19414E-10,1.16E-15,9.50E-10,3.73E-11,0,5.58057E-06,3.34E-07,5.91E-06
491.50194,-0.35997,0.54486,0.25207,0.003351116,-0.002764629,-0.000450302,6.38E-13,0,9.61908E-11,0.00E+00,9.68E-11,2.64E-11,0,7.84138E-10,7.88E-16,8.11E-10,3.18E-11,0,4.86897E-06,2.43E-07,5.11E-06
492.45686,-0.35723,0.55014,0.25251,-0.004068431,-0.00389039,-0.00065451,5.57E-13,0,8.30483E-11,0.00E+00,8.36E-11,2.31E-11,0,6.68764E-10,5.25E-16,6.92E-10,2.71E-11,0,4.2481E-06,1.77E-07,4.42E-06
493.41177,-0.3522,0.55229,0.25332,0.001031472,0.001204278,-0.000644037,4.86E-13,0,7.17016E-11,0.00E+00,7.22E-11,2.01E-11,0,5.70367E-10,3.75E-16,5.90E-10,2.31E-11,0,3.7064E-06,1.28E-07,3.83E-06
494.36669,-0.3592,0.54784,0.25374,9.94474E-05,0.00891181,0.000748764,4.24E-13,0,6.19051E-11,0.00E+00,6.23E-11,1.76E-11,0,4.86446E-10,2.63E-16,5.04E-10,1.97E-11,0,3.23377E-06,9.34E-08,3.33E-06
495.3216,-0.35239,0.53527,0.25189,-0.003644322,0.007964087,0.001754084,3.70E-13,0,5.34471E-11,0.00E+00,5.38E-11,1.53E-11,0,4.14874E-10,1.88E-16,4.30E-10,1.68E-11,0,2.82142E-06,6.80E-08,2.89E-06
496.27652,-0.35224,0.53263,0.25039,-9.9485E-05,-0.002508104,0.000785406,3.23E-13,0,4.61447E-11,0.00E+00,4.65E-11,1.34E-11,0,3.53832E-10,1.13E-16,3.67E-10,1.43E-11,0,2.46163E-06,4.94E-08,2.51E-06
497.23143,-0.3522,0.54006,0.25039,0.00485381,-0.004345955,0,2.82E-13,0,3.98401E-11,0.00E+00,4.01E-11,1.17E-11,0,3.01771E-10,7.51E-17,3.13E-10,1.22E-11,0,2.14773E-06,3.60E-08,2.18E-06
498.18635,-0.36151,0.54093,0.25039,0.009749508,-0.000911071,0,2.46E-13,0,3.43968E-11,0.00E+00,3.46E-11,1.02E-11,0,2.5737E-10,3.75E-17,2.68E-10,1.04E-11,0,1.87386E-06,2.62E-08,1.90E-06
