temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
242.06013;88.63669;93.15934;94.94251;0.344227887;0.275619415;0.210563906;0.1911584;0.105360743;0.023440831;1.92E-02;5.44E-90;7.74E-18;3.50E-15;0.339185924;0.230168439;0.033535719;0.004552627;6.99E-03;1.97E-67;1.55E-20;5.35E-14;0.275244207;0.206133479;0.008661377;0.002804906;5.91E-04;4.18E-70;2.15E-34;3.46E-19;0.218190337
243.01505;88.29445;92.89773;94.74741;0.347754561;0.280667511;0.219966213;0.181031391;0.112940321;0.026743123;2.01E-02;3.67E-89;1.06E-17;4.44E-15;0.340860426;0.228995915;0.037991474;0.005331282;7.36E-03;6.51E-67;2.13E-20;6.47E-14;0.279682122;0.21000719;0.009504599;0.003084489;6.32E-04;1.21E-69;3.47E-34;4.40E-19;0.223228492
243.96996;87.97112;92.62339;94.52901;0.349632003;0.281606472;0.221437187;0.170723102;0.120865831;0.030490797;2.11E-02;2.48E-88;1.46E-17;5.64E-15;0.34318791;0.227155239;0.042971707;0.006241753;7.76E-03;2.15E-66;2.92E-20;7.83E-14;0.284128144;0.213560594;0.010427255;0.003391774;6.77E-04;3.49E-69;5.59E-34;5.58E-19;0.228056408
244.92488;87.63528;92.358;94.30789;0.355353821;0.2839568;0.225431461;0.160350143;0.129113899;0.034738124;2.21E-02;1.67E-87;2.01E-17;7.16E-15;0.346317811;0.22464561;0.048519439;0.007305877;8.18E-03;7.08E-66;4.02E-20;9.48E-14;0.288647371;0.216765847;0.011436309;0.003729482;7.24E-04;1.01E-68;9.00E-34;7.09E-19;0.232656132
245.87979;87.30221;92.08704;94.1009;0.351741691;0.281182615;0.231057992;0.150021637;0.137651119;0.03954407;2.32E-02;1.13E-86;2.76E-17;9.09E-15;0.35038677;0.22147354;0.054675759;0.008548878;8.62E-03;2.34E-65;5.52E-20;1.15E-13;0.293313702;0.219594838;0.012539181;0.004100575;7.76E-04;2.91E-68;1.45E-33;9.00E-19;0.237010154
246.83471;86.95373;91.81446;93.8734;0.354433247;0.281005439;0.235103687;0.139836067;0.146433242;0.04497257;2.43E-02;7.63E-86;3.80E-17;1.15E-14;0.355515034;0.217653048;0.061478561;0.009999923;9.08E-03;7.71E-65;7.59E-20;1.39E-13;0.29820936;0.222019552;0.013743844;0.004508313;8.30E-04;8.41E-68;2.34E-33;1.14E-18;0.241101932
247.78962;86.6249;91.548;93.654;0.366015015;0.282861583;0.237883936;0.129880502;0.15540293;0.051091855;2.54E-02;5.15E-85;5.22E-17;1.46E-14;0.36180268;0.213206167;0.068959951;0.011692533;9.56E-03;2.54E-64;1.04E-19;1.68E-13;0.303423181;0.22401198;0.015058744;0.004956246;8.89E-04;2.43E-67;3.77E-33;1.45E-18;0.2449157
248.74454;86.26962;91.27878;93.42461;0.37672951;0.285698834;0.241632597;0.120228774;0.164489011;0.057974397;2.66E-02;3.48E-84;7.18E-17;1.86E-14;0.36932708;0.208162668;0.077144402;0.013665243;1.01E-02;8.39E-64;1.44E-19;2.04E-13;0.3090492;0.225544516;0.016492893;0.005448276;9.51E-04;7.02E-67;6.08E-33;1.84E-18;0.248437038
249.69945;85.9143;91.00385;93.20031;0.38347957;0.292922533;0.249187851;0.110941938;0.173604392;0.065695581;2.79E-02;2.35E-83;9.87E-17;2.36E-14;0.378139857;0.202560265;0.086045416;0.015962019;1.06E-02;2.77E-63;1.97E-19;2.46E-13;0.315183891;0.226590062;0.01805576;0.005988646;1.02E-03;2.03E-66;9.80E-33;2.34E-18;0.251652849
250.65437;85.54362;90.71639;92.96798;0.395098454;0.302627294;0.252192105;0.10206764;0.18264577;0.074333113;2.92E-02;1.59E-82;1.36E-16;3.00E-14;0.388265465;0.196443783;0.095663287;0.018632991;1.12E-02;9.13E-63;2.71E-19;2.98E-13;0.32192388;0.227122504;0.019757371;0.006582015;1.09E-03;5.86E-66;1.58E-32;2.97E-18;0.254552011
