temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
410.71717;38.55521;40.60335;39.91546;0.008730745;0.011617992;0.038378581;2.56E-13;8.49209E-12;0.00E+00;4.55E-14;7.31E-06;7.18E-05;3.29E-09;7.92E-05;3.08E-11;1.14474E-11;0.00E+00;3.01E-15;4.07E-05;4.13E-05;1.06E-09;8.20E-05;1.06E-06;1.22E-08;5.12E-09;0.000386286;0.002120647;0.004502766;0.027761517;0.034772289
411.67208;38.55162;40.59308;39.90159;0.007801371;0.012448307;0.018630511;2.11E-13;7.0156E-12;0.00E+00;2.76E-14;5.93E-06;5.94E-05;1.74E-09;6.53E-05;2.63E-11;9.45729E-12;0.00E+00;1.64E-15;3.36E-05;3.25E-05;4.81E-10;6.61E-05;9.51E-07;1.04E-08;4.14E-09;0.00030441;0.00167715;0.003314031;0.01607553;0.021372086
412.627;38.54153;40.58793;39.89627;0.007408696;0.011263548;0.00492823;1.74E-13;5.79596E-12;0.00E+00;1.68E-14;4.80E-06;4.90E-05;9.22E-10;5.38E-05;2.24E-11;7.81306E-12;0.00E+00;9.58E-16;2.78E-05;2.56E-05;2.17E-10;5.34E-05;8.55E-07;8.84E-09;3.35E-09;0.000239874;0.001325261;0.002431464;0.008992654;0.01299012
413.58191;38.53411;40.57152;39.8955;0.006616267;0.012380797;-0.000416419;1.44E-13;4.78832E-12;0.00E+00;1.01E-14;3.89E-06;4.05E-05;4.88E-10;4.44E-05;1.91E-11;6.45475E-12;0.00E+00;5.48E-16;2.29E-05;2.02E-05;9.80E-11;4.31E-05;7.69E-07;7.54E-09;2.71E-09;1.89E-04;0.001046492;0.001779813;0.004926556;0.007942651
414.53683;38.52507;40.55799;39.89073;0.007230592;0.013190146;-0.00019184;1.19E-13;3.95577E-12;0.00E+00;6.18E-15;3.16E-06;3.35E-05;2.58E-10;3.66E-05;1.63E-11;5.33253E-12;0.00E+00;2.74E-16;1.90E-05;1.59E-05;4.42E-11;3.48E-05;6.91E-07;6.43E-09;2.19E-09;1.49E-04;0.000825915;0.001300589;0.002665532;0.004941662
415.49174;38.51838;40.54391;39.88293;0.007262166;0.013166871;0.005009801;9.84E-14;3.26819E-12;0.00E+00;3.65E-15;2.56E-06;2.77E-05;1.37E-10;3.02E-05;1.39E-11;4.40546E-12;0.00E+00;1.37E-16;1.57E-05;1.25E-05;2.00E-11;2.82E-05;6.22E-07;5.48E-09;1.77E-09;1.17E-04;0.000651554;0.000949217;0.001431421;0.003150159
416.44666;38.51511;40.5346;39.87219;0.007913696;0.013774897;0.006932477;8.13E-14;2.69993E-12;0.00E+00;2.22E-15;2.07E-06;2.28E-05;7.23E-11;2.49E-05;1.19E-11;3.63958E-12;0.00E+00;1.37E-16;1.29E-05;9.86E-06;9.01E-12;2.28E-05;5.59E-07;4.68E-09;1.43E-09;9.24E-05;0.000513828;0.000692138;0.000765133;0.002064112
417.40157;38.51157;40.51963;39.85971;0.008030145;0.013341666;0.008318549;6.72E-14;2.23058E-12;0.00E+00;1.43E-15;1.68E-06;1.89E-05;3.82E-11;2.06E-05;1.01E-11;3.00682E-12;0;0.00E+00;1.07E-05;7.77E-06;4.07E-12;1.85E-05;5.03E-07;3.99E-09;1.16E-09;7.28E-05;0.000405108;0.00050435;0.000407779;0.001390581
418.35649;38.49702;40.51402;39.85166;0.009920321;0.011738531;0.008792716;5.55E-14;1.84279E-12;0.00E+00;7.96E-16;1.36E-06;1.56E-05;2.02E-11;1.70E-05;8.63E-12;2.4841E-12;0;0.00E+00;8.83E-06;6.12E-06;1.84E-12;1.49E-05;4.52E-07;3.40E-09;9.37E-10;5.74E-05;0.000319324;0.000367333;0.0002169;0.000961395
419.3114;38.49205;40.4958;39.846;0.010136508;0.011705374;0.00877771;4.58E-14;1.52238E-12;0.00E+00;4.78E-16;1.10E-06;1.29E-05;1.07E-11;1.40E-05;7.36E-12;2.05224E-12;0;0.00E+00;7.29E-06;4.82E-06;8.28E-13;1.21E-05;4.07E-07;2.90E-09;7.58E-10;4.52E-05;0.000251664;0.000267445;0.000115216;0.000679941
