temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
412.643;44.82521;44.6975;46.18898;0.005350457;0.004056946;0.126366179;1.63E-08;0;0;0.00E+00;2.43E-07;3.08E-05;1.23E-10;3.11E-05;1.64E-09;0;0;0.00E+00;6.12366E-07;0.000694221;0.000283433;0.000978268;2.65E-06;0.00E+00;0.00E+00;2.49811E-10;0.000134384;0.03080488;0.094813576;0.125755491
413.59792;44.82314;44.69383;46.07183;0.005236968;0.003922626;0.125440687;1.49E-08;0;0;0.00E+00;2.01E-07;2.54E-05;5.18E-11;2.57E-05;1.46E-09;0;0;0.00E+00;4.82318E-07;0.000574596;0.000109555;0.000684635;2.45E-06;0.00E+00;0.00E+00;1.55052E-10;0.000103132;0.026891002;0.098326309;0.125322892
414.55283;44.81895;44.69139;45.96673;0.00411493;0.00492649;0.1262796;1.35E-08;0;0;0.00E+00;1.66E-07;2.10E-05;2.17E-11;2.12E-05;1.29E-09;0;0;0.00E+00;3.79889E-07;4.75E-04;4.23E-05;0.000518108;2.26E-06;0.00E+00;0.00E+00;9.62E-11;7.91382E-05;0.023155357;0.101342704;0.124579461
415.50775;44.81555;44.6866;45.82808;0.002864651;0.004878627;0.126730199;1.23E-08;0;0;0.00E+00;1.37E-07;1.74E-05;9.13E-12;1.75E-05;1.15E-09;0;0;0.00E+00;2.99212E-07;3.93E-04;1.63E-05;0.000409894;2.09E-06;0.00E+00;0.00E+00;5.97E-11;6.07201E-05;0.019683407;0.103785411;0.123531626
416.46266;44.81452;44.6826;45.68851;0.002310488;0.003616453;0.127519042;1.12E-08;0;0;0.00E+00;1.13E-07;1.43E-05;3.84E-12;1.45E-05;1.02E-09;0;0;0.00E+00;2.35668E-07;3.25E-04;6.29E-06;0.000331776;1.93E-06;0.00E+00;0.00E+00;3.71E-11;4.65851E-05;0.016535437;0.105478095;0.122062045
417.41758;44.81176;44.679;45.58876;0.002391726;0.003258208;0.129674801;1.01E-08;0;0;0.00E+00;9.36E-08;1.19E-05;1.61E-12;1.20E-05;9.03E-10;0;0;0.00E+00;1.85619E-07;2.69E-04;2.43E-06;0.000271549;1.78E-06;0.00E+00;0.00E+00;2.30E-11;3.57383E-05;0.013744478;0.106035117;0.119817114
418.37249;44.80832;44.66784;45.48561;0.002880439;0.003855525;0.126719275;9.22E-09;0;0;0.00E+00;7.73E-08;9.79E-06;6.76E-13;9.88E-06;8.02E-10;0;0;0.00E+00;1.46199E-07;2.22E-04;9.35E-07;0.000223423;1.64E-06;0.00E+00;0.00E+00;1.43E-11;2.74158E-05;0.011318864;0.104677173;0.116025097
419.32741;44.809;44.6714;45.3596;0.003124038;0.003769801;0.113677445;8.38E-09;0;0;0.00E+00;6.39E-08;8.09E-06;2.84E-13;8.16E-06;7.11E-10;0;0;0.00E+00;1.15151E-07;1.84E-04;3.60E-07;0.000184272;1.52E-06;0.00E+00;0.00E+00;8.86E-12;2.10307E-05;0.009246919;0.100021401;0.109290869
420.28232;44.80004;44.6718;45.24093;0.004141147;0.003013471;0.095080397;7.61E-09;0;0;0.00E+00;5.28E-08;6.68E-06;1.19E-13;6.74E-06;6.31E-10;0;0;0.00E+00;9.06961E-08;1.52E-04;1.39E-07;0.000152147;1.40E-06;0.00E+00;0.00E+00;5.50E-12;1.61322E-05;0.007503127;0.090183168;0.09770383
421.23724;44.7959;44.66975;45.13042;0.005559245;0.002298091;0.07675231;6.92E-09;0;0;0.00E+00;4.36E-08;5.52E-06;5.00E-14;5.57E-06;5.60E-10;0;0;0.00E+00;7.14E-08;1.26E-04;5.34E-08;1.26E-04;1.30E-06;0.00E+00;0.00E+00;3.41E-12;1.23744E-05;0.006053681;0.073995274;0.080062625
