temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_reaction_7;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_reaction_7;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_reaction_7;rate_10_diff_cumulative
396.16336;38.34067;41.32122;42.54772;0.019130737;0.130838787;0.070606248;6.37E-16;9.31E-14;0;0.00E+00;0.00E+00;2.10E-05;1.85E-04;2.00E-05;0.000225701;2.05E-10;2.19E-10;0.00E+00;0.00E+00;5.27914E-12;0.000858356;0.025596268;0.103902927;0.130357551;1.56E-11;6.95E-06;1.14E-11;2.01E-09;0.000555869;0.063762224;0.009680271;0.000561765;0.074567079
397.11827;38.31974;41.17971;42.48194;0.018094731;0.134585615;0.072804881;5.46E-16;7.68E-14;0;0.00E+00;0.00E+00;1.79E-05;1.53E-04;1.14E-05;0.00018194;1.80E-10;1.86E-10;0.00E+00;0.00E+00;2.90799E-12;0.000710896;0.022353001;0.110976405;0.134040304;1.33E-11;6.32E-06;8.32E-12;1.37E-09;0.000327267;0.064218986;0.011992368;0.0007126;0.077257539
398.07319;38.29386;41.05614;42.40986;0.015108337;0.134938805;0.07348635;4.55E-16;6.35E-14;0;0.00E+00;0.00E+00;1.53E-05;1.26E-04;6.52E-06;0.000147893;1.59E-10;1.59E-10;0.00E+00;0.00E+00;1.60179E-12;0.000588516;0.019377168;0.117515703;0.137481388;1.13E-11;5.74E-06;6.05E-12;9.35E-10;0.000192633;0.063068119;0.014770216;0.000903721;0.078940431
399.0281;38.28343;40.95121;42.34031;0.011569059;0.136537985;0.078941472;3.64E-16;5.25E-14;0;0.00E+00;0.00E+00;1.30E-05;1.04E-04;3.72E-06;0.000120942;1.40E-10;1.36E-10;0.00E+00;0.00E+00;8.82254E-13;0.000487032;0.016685958;0.123373005;0.140545995;9.68E-12;5.22E-06;4.40E-12;6.38E-10;0.000113371;0.061000376;0.018064381;0.001145752;0.080329098
399.98302;38.26268;40.80828;42.26463;0.008648568;0.13886924;0.083313041;2.73E-16;4.33E-14;0;0.00E+00;0.00E+00;1.11E-05;8.61E-05;2.12E-06;9.9327E-05;1.23E-10;1.16E-10;0.00E+00;0.00E+00;4.86E-13;0.000402928;0.014283272;0.128347274;0.143033474;8.26E-12;4.74E-06;3.20E-12;4.36E-10;6.67158E-05;0.058364715;0.021910439;0.001452048;0.081798661
400.93793;38.26268;40.66557;42.19394;0.004847708;0.141514205;0.084405994;2.73E-16;3.58E-14;0;0.00E+00;0.00E+00;9.49E-06;7.11E-05;1.21E-06;8.18229E-05;1.08E-10;9.86E-11;0.00E+00;0.00E+00;2.68E-13;0.000333267;0.012162514;0.13210701;0.144602791;7.04E-12;4.31E-06;2.33E-12;2.97E-10;3.92583E-05;0.055335733;0.026318589;0.001839332;0.083537223
401.89285;38.26268;40.53518;42.11653;0.001432687;0.143516195;0.089596252;1.82E-16;2.96E-14;0;0.00E+00;0.00E+00;8.09E-06;5.88E-05;6.90E-07;6.75482E-05;9.53E-11;8.41E-11;0.00E+00;0.00E+00;1.47E-13;0.000275593;0.010309146;0.134057916;0.144642655;6.00E-12;3.92E-06;1.69E-12;2.03E-10;2.31001E-05;0.052012043;0.031263198;0.002328488;0.085630747
402.84776;38.26268;40.40402;42.04045;-0.000717155;0.140171875;0.093418326;1.82E-16;2.44E-14;0;0.00E+00;0.00E+00;6.90E-06;4.86E-05;3.93E-07;5.58489E-05;8.39E-11;7.18E-11;0.00E+00;0.00E+00;8.12E-14;0.000227863;0.008703465;0.133153372;0.142084699;5.12E-12;3.56E-06;1.23E-12;1.39E-10;1.3592E-05;0.048465226;0.03667308;0.002945447;0.088100906
403.80268;38.26268;40.28455;41.94311;-0.000840192;0.128601327;0.097896547;1.82E-16;2.02E-14;0;0.00E+00;0.00E+00;5.88E-06;4.01E-05;2.24E-07;4.62E-05;7.39E-11;6.12E-11;0.00E+00;0.00E+00;4.47E-14;0.000188372;0.007322701;0.127751337;0.13526241;4.37E-12;3.24E-06;8.96E-13;9.45E-11;7.99728E-06;0.044761013;0.042426707;0.003722255;0.090921208
404.75759;38.26268;40.15284;41.8211;-0.001671505;0.108741251;0.103443956;9.10E-17;1.67E-14;0;0.00E+00;0.00E+00;5.02E-06;3.31E-05;1.28E-07;3.83E-05;6.50E-11;5.22E-11;0.00E+00;0.00E+00;2.46E-14;0.000155708;0.006142953;0.11590195;0.122200612;3.73E-12;2.94E-06;6.52E-13;6.45E-11;4.70539E-06;0.040967174;0.048353268;0.004698159;0.094026248
