temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
332.33914;38.23403;53.93932;61.72686;0.20303403;0.393149204;0.530063596;5.20E-05;1.17E-04;3.91834E-09;1.70E-01;4.72772E-08;1.34E-03;2.04E-05;0.171329631;0.000533693;1.72E-03;0.006206264;3.32E-01;9.48E-30;7.25E-06;1.75E-06;0.34057115;0.004551147;1.07E-02;0.457659481;3.18E-02;3.83E-28;1.61E-07;5.96E-11;0.504706003
333.29406;38.22129;53.56249;61.2298;0.123761329;0.398594446;0.510094099;4.62E-05;9.97E-05;2.30576E-09;9.60E-02;3.16386E-07;1.56E-03;2.47E-05;0.097752919;0.000474036;1.47E-03;0.004527852;3.49E-01;6.40E-29;8.77E-06;2.05E-06;0.355360692;0.004050583;8.91E-03;0.425840025;3.80E-02;1.11E-27;1.95E-07;7.57E-11;0.476775589
334.24897;38.20571;53.17975;60.74347;0.058538675;0.407142199;0.488822167;4.10E-05;8.50E-05;1.3568E-09;5.07E-02;2.11298E-06;1.83E-03;2.99E-05;0.05267537;0.000421026;1.26E-03;0.003301056;3.65E-01;4.32E-28;1.06E-05;2.40E-06;0.370244012;0.003604208;7.40E-03;0.39225289;4.53E-02;3.20E-27;2.36E-07;9.61E-11;0.448526851
335.20389;38.18578;52.7892;60.26897;0.00662096;0.41557432;0.457231156;3.64E-05;7.25E-05;7.98378E-10;2.57E-02;1.40731E-05;2.14E-03;3.62E-05;0.028018958;0.000373926;1.07E-03;0.00240539;3.81E-01;2.92E-27;1.29E-05;2.82E-06;0.384997236;0.003206317;6.14E-03;0.357698786;5.38E-02;9.24E-27;2.86E-07;1.22E-10;0.420855874
336.1588;38.18059;52.38192;59.81708;-0.010688579;0.424860192;0.423004298;3.23E-05;6.19E-05;4.69778E-10;1.28E-02;9.32316E-05;2.49E-03;4.39E-05;0.015508471;0.000332081;9.16E-04;0.001752062;3.96E-01;1.97E-26;1.56E-05;3.30E-06;0.39944099;0.00285179;5.10E-03;0.322988725;6.37E-02;2.67E-26;3.46E-07;1.55E-10;0.394677877
337.11372;38.1433;51.97673;59.41337;-0.006615335;0.431474171;0.391719015;2.87E-05;5.28E-05;2.76418E-10;0.006283516;0.000605512;2.91E-03;5.31E-05;0.009934168;0.000294905;7.82E-04;0.001275802;4.11E-01;1.33E-25;1.88E-05;3.87E-06;0.41343475;0.002536003;4.22E-03;0.288886026;7.52E-02;7.71E-26;4.19E-07;1.97E-10;0.370861051
338.06863;38.12385;51.56999;59.03201;0.015099151;0.438934548;0.360532499;2.55E-05;4.50E-05;1.62643E-10;0.003071503;0.00353598;3.39E-03;6.42E-05;0.010135376;0.000261882;6.67E-04;0.000928798;4.25E-01;8.97E-25;2.28E-05;4.54E-06;0.426870015;0.002254819;3.50E-03;0.256061815;8.84E-02;2.23E-25;5.08E-07;2.50E-10;0.350169985
339.02355;38.10662;51.16205;58.68717;0.018846726;0.448936198;0.332454774;2.26E-05;3.84E-05;9.56965E-11;0.001496878;0.013089844;3.95E-03;7.78E-05;0.01867744;0.000232548;5.70E-04;0.000676057;4.38E-01;6.06E-24;2.76E-05;5.32E-06;0.439666656;0.002004513;2.90E-03;0.225058567;1.03E-01;6.44E-25;6.14E-07;3.17E-10;0.333216255
339.97846;38.08822;50.72639;58.37732;0.021287582;0.458360662;0.312631106;2.01E-05;3.27E-05;5.63059E-11;0.000728231;0.021664244;4.60E-03;9.41E-05;0.027137056;2.06E-04;4.86E-04;0.000492028;4.51E-01;4.09E-23;3.34E-05;6.24E-06;0.451767407;0.001781755;2.40E-03;0.196275691;1.20E-01;1.86E-24;7.44E-07;4.03E-10;0.320427408
340.93338;38.05907;50.29052;58.09976;0.024103967;0.467898947;0.30169627;1.78E-05;2.79E-05;3.31286E-11;0.000353887;0.023262169;0.005341957;0.000113893;0.029117683;1.83E-04;4.15E-04;0.000358055;4.62E-01;2.76E-22;4.04E-05;7.32E-06;0.463134637;0.001583555;1.99E-03;0.169965832;1.38E-01;5.37E-24;9.00E-07;5.11E-10;0.312028389
341.88829;38.03049;49.84173;57.8207;0.027246452;0.48070461;0.300875563;1.58E-05;2.38E-05;1.94916E-11;0.000171836;0.022575752;0.00619757;0.000137837;0.029122661;1.63E-04;3.54E-04;0.000260541;4.73E-01;1.86E-21;4.89E-05;8.58E-06;0.47374471;0.001407248;1.64E-03;0.146249095;1.59E-01;1.55E-23;1.09E-06;6.49E-10;0.308040006
342.84321;38.00582;49.38886;57.53175;0.031919773;0.490622446;0.306292318;1.41E-05;2.03E-05;1.15E-11;8.33833E-05;0.021408299;0.007177955;0.000166809;0.02887083;1.45E-04;3.02E-04;0.000189572;4.83E-01;1.26E-20;5.92E-05;1.01E-05;0.483583395;0.001250442;1.36E-03;0.125131295;1.81E-01;4.49E-23;1.32E-06;8.24E-10;0.308288429
343.79812;37.99171;48.91285;57.24167;0.033411826;0.500843766;0.314684721;1.25E-05;1.73E-05;6.75E-12;4.04393E-05;0.020074071;0.008297115;0.000201861;0.028643303;1.28E-04;2.58E-04;0.000137928;4.92E-01;8.48E-20;7.16E-05;1.18E-05;0.49263752;0.001111006;1.12E-03;0.106530532;2.04E-01;1.30E-22;1.60E-06;1.05E-09;0.312426763
344.75304;37.9435;48.43254;56.93407;0.036068632;0.507010968;0.329293091;1.11E-05;1.48E-05;3.97E-12;1.9602E-05;0.018633948;0.009569278;0.000244266;0.028492961;1.14E-04;2.20E-04;0.000100348;5.00E-01;5.72E-19;8.67E-05;1.38E-05;0.500884629;0.000987034;9.30E-04;0.090300413;2.28E-01;3.74E-22;1.93E-06;1.33E-09;0.319965735
345.70795;37.9217;47.95309;56.60992;0.038448832;0.515227367;0.344077626;9.84E-06;1.26E-05;2.34E-12;9.49717E-06;0.017117827;0.011008279;0.000295561;0.028453612;1.01E-04;1.87E-04;7.30054E-05;5.08E-01;3.86006E-18;1.05E-04;1.62E-05;0.508274172;0.000876829;7.69E-04;0.076254409;2.52E-01;1.08E-21;2.34E-06;1.69E-09;0.330311697
346.66287;37.87161;47.46149;56.28109;0.035743544;0.519018781;0.356184504;8.73E-06;1.08E-05;1.37E-12;4.59923E-06;0.015556062;0.012626985;0.0003576;0.028564734;8.98E-05;1.60E-04;5.31113E-05;5.14E-01;2.60348E-17;1.27E-04;1.90E-05;0.514697562;0.000778872;6.36E-04;0.064183603;2.77E-01;3.13E-21;2.83E-06;2.14E-09;0.34281071
347.61778;37.83783;46.96065;55.9364;0.035442548;0.52372928;0.367994374;7.75E-06;9.17E-06;8.09E-13;2.22633E-06;0.013982127;0.014436297;0.00043262;0.028870197;7.97E-05;1.36E-04;3.86377E-05;5.20E-01;1.75553E-16;1.54E-04;2.23E-05;0.519934516;0.000691815;5.26E-04;0.053872796;3.02E-01;9.03E-21;3.43E-06;2.72E-09;0.356792852
348.5727;37.79891;46.47013;55.58619;0.035013966;0.525735332;0.380514046;6.88E-06;7.82E-06;4.76E-13;1.07723E-06;0.012430374;0.016444253;0.00052332;0.02941373;7.08E-05;1.16E-04;2.81077E-05;5.23E-01;1.18345E-15;1.86E-04;2.61E-05;0.523561953;0.000614451;4.35E-04;0.045110353;3.25E-01;2.61E-20;4.15E-06;3.45E-09;0.371615811
349.52761;37.76063;45.96217;55.23986;0.034970098;0.526444857;0.390270956;6.11E-06;6.67E-06;2.80E-13;5.21026E-07;0.010933303;0.018654679;0.000632948;0.030234233;6.28E-05;9.93E-05;2.04472E-05;5.24E-01;7.97515E-15;2.25E-04;3.07E-05;0.524799303;0.00054571;3.59E-04;0.037696378;3.48E-01;7.54E-20;5.02E-06;4.38E-09;0.386699534
350.48253;37.71883;45.46896;54.85163;0.036656066;0.524646055;0.4007954;5.42E-06;5.69E-06;1.65E-13;2.51905E-07;0.009518835;0.021066076;0.000765417;0.031361694;5.58E-05;8.47E-05;1.48742E-05;5.22E-01;5.37234E-14;2.72E-04;3.59E-05;0.522265029;0.000484634;2.97E-04;0.031446407;3.69E-01;2.18E-19;6.08E-06;5.56E-09;0.401553188
351.43744;37.67538;44.96852;54.47081;0.038058958;0.515853224;0.412266846;4.81E-06;4.85E-06;9.68E-14;1.21747E-07;0.008208592;0.023670138;0.000925425;0.032813945;4.95E-05;7.22E-05;1.08201E-05;5.13E-01;3.61718E-13;3.29E-04;4.21E-05;0.513642861;0.000430374;2.45E-04;0.026194272;3.89E-01;6.29E-19;7.36E-06;7.06E-09;0.415788072
352.39236;37.65015;44.48558;54.07752;0.042556722;0.507908798;0.422775091;4.27E-06;4.14E-06;5.70E-14;5.88194E-08;0.007016899;0.026450779;0.001118616;0.034594765;4.40E-05;6.16E-05;7.87089E-06;4.95E-01;2.43407E-12;3.98E-04;4.94E-05;0.49537797;0.000382173;2.03E-04;0.021792221;4.07E-01;1.82E-18;8.91E-06;8.97E-09;0.429121736
353.34727;37.59149;43.99634;53.67225;0.045529542;0.477223617;0.433558849;3.79E-06;3.53E-06;3.35E-14;2.84079E-08;0.005950977;0.029382969;0.001351742;0.03669304;3.90E-05;5.26E-05;5.7255E-06;4.62E-01;1.63676E-11;4.81E-04;5.79E-05;0.462846886;0.000339357;1.68E-04;0.018110952;4.23E-01;5.25E-18;1.08E-05;1.14E-08;0.441370363
354.30219;37.5391;43.54139;53.25803;0.048712276;0.423469415;0.443658228;3.37E-06;3.01E-06;1.98E-14;1.37155E-08;0.005011659;0.032432435;0.001632885;0.039083371;3.46E-05;4.48E-05;4.16484E-06;4.11E-01;1.09973E-10;5.82E-04;6.79E-05;0.411906967;0.000301327;1.39E-04;0.015038154;4.37E-01;1.52E-17;1.30E-05;1.45E-08;0.452436956
355.2571;37.48258;43.12144;52.8413;0.051072141;0.356589108;0.449944033;2.99E-06;2.57E-06;1.15E-14;6.61994E-09;0.004194752;0.035555387;0.001971666;0.041727369;3.07E-05;3.82E-05;3.02958E-06;3.42E-01;7.38139E-10;7.03E-04;7.96E-05;0.342461717;0.00026755;1.15E-04;0.012477358;4.49E-01;4.39E-17;1.58E-05;1.84E-08;0.462293901
356.21202;37.44138;42.74291;52.40662;0.053226474;0.281218517;0.458378584;2.65E-06;2.19E-06;6.88E-15;3.1942E-09;0.003492385;0.038699355;0.002379532;0.044576118;2.73E-05;3.26E-05;2.20375E-06;2.61E-01;4.94857E-09;8.50E-04;9.34E-05;0.261965104;0.000237552;9.46E-05;0.010346043;4.60E-01;1.27E-16;1.91E-05;2.33E-08;0.470966598
357.16693;37.39104;42.43577;51.96582;0.056322538;0.20653113;0.468217251;2.35E-06;1.87E-06;4.00E-15;1.54081E-09;0.002894437;0.04180413;0.002870009;0.047572801;2.42E-05;2.78E-05;1.60E-06;1.83E-01;3.31277E-08;0.001026404;0.000109452;0.183769085;0.000210911;7.82E-05;0.008574203;4.70E-01;3.66E-16;2.31E-05;2.96E-08;0.478516305
358.12185;37.34527;42.20337;51.5195;0.053897999;0.136041161;0.477793714;2.09E-06;1.59E-06;2.44E-15;7.43044E-10;0.002389633;0.044803788;0.003459052;0.050656156;2.15E-05;2.37E-05;1.17E-06;1.18E-01;2.21396E-07;0.001239257;0.000128318;0.119581397;0.000187253;6.46E-05;0.007102565;4.78E-01;1.06E-15;2.80E-05;3.76E-08;0.485026588
359.07676;37.28251;42.15913;51.066;0.055158321;0.079232354;0.485423582;1.86E-06;1.36E-06;1.33E-15;3.58237E-10;0.001966485;0.047628629;0.00416531;0.053763638;1.91E-05;2.02E-05;8.48E-07;7.21E-02;1.47655E-06;0.001495481;0.000150432;0.073752928;1.66E-04;5.34E-05;0.005881261;4.84E-01;3.06E-15;3.39E-05;4.77E-08;0.490590818
360.03168;37.23529;42.14322;50.60493;0.055018745;0.035917617;0.4925037;1.65E-06;1.16E-06;8.88E-16;1.72669E-10;0.001613884;0.050207897;0.005010487;0.056835074;1.69E-05;1.73E-05;6.17E-07;4.22E-02;9.82166E-06;0.001803574;0.000176354;0.044235197;1.48E-04;4.41E-05;0.004868367;4.90E-01;8.83E-15;4.10E-05;6.06E-08;0.495303056
360.98659;37.16304;42.12865;50.14043;0.054957677;0.009248466;0.497089039;1.46E-06;9.89E-07;4.44E-16;8.32065E-11;0.001321529;0.052472106;0.006019546;0.059815631;1.50E-05;1.47E-05;4.49E-07;2.41E-02;6.50337E-05;0.002173531;0.000206736;0.026581975;1.31E-04;3.64E-05;0.004028811;4.95E-01;2.55E-14;4.97E-05;7.69E-08;0.499249532
361.94151;37.10086;42.10551;49.66434;0.057096839;0.000370126;0.503461138;1.30E-06;8.43E-07;2.22E-16;4.00865E-11;0.001080116;0.054355776;0.007220963;0.062658996;1.33E-05;1.26E-05;3.26E-07;0.013561052;0.000424227;0.002617068;0.000242344;0.016870922;1.16E-04;3.01E-05;0.003333247;4.99E-01;7.37E-14;6.01E-05;9.76E-08;0.502501669
362.89642;37.0354;42.08271;49.1653;0.059939705;0.005815657;0.506756062;1.15E-06;7.19E-07;2.22E-16;1.93085E-11;0.00088145;0.055799656;0.008646675;0.065329651;1.18E-05;1.07E-05;2.37E-07;0.007562361;0.00255896;0.003147781;0.000284073;0.013575969;1.03E-04;2.49E-05;0.002757225;5.02E-01;2.13E-13;7.27E-05;1.24E-07;0.505107794
363.85134;36.98044;42.05846;48.68513;0.064024334;0.022568301;0.510615577;1.02E-06;6.13244E-07;0.00E+00;9.29846E-12;0.000718416;0.056753168;0.010331994;0.067805213;1.05E-05;9.13E-06;1.73E-07;0.004196063;0.010691116;0.003781351;0.000332972;0.019021323;9.17E-05;2.06E-05;0.002280352;5.05E-01;6.15E-13;8.80E-05;1.57E-07;0.507083187
364.80625;36.91856;42.03352;48.20892;0.069218511;0.026920587;0.511401862;9.07E-07;5.2302E-07;0.00E+00;4.47698E-12;0.000584932;0.057176507;0.01231498;0.070077848;9.33E-06;7.79E-06;1.26E-07;0.002321573;0.020216827;0.00453561;0.000390265;0.027481525;8.14E-05;1.70E-05;0.001885685;5.06E-01;1.78E-12;1.07E-04;2.00E-07;0.508395068
365.76117;36.84799;42.01027;47.72182;0.06962837;0.029485202;0.509806786;8.05E-07;4.46069E-07;0.00E+00;2.15513E-12;0.000475846;0.057042896;0.014635621;0.072155615;8.29E-06;6.64E-06;9.14E-08;0.001282328;0.022638856;0.005430617;0.000457388;0.029824209;7.22E-05;1.40E-05;0.001559127;5.07E-01;5.13E-12;1.29E-04;2.54E-07;0.508940175
366.71608;36.76461;41.98479;47.23566;0.074082497;0.031661317;0.506274956;7.15E-07;3.80441E-07;0.00E+00;1.03731E-12;0.000386837;0.056340681;0.017334168;0.074062781;7.35E-06;5.67E-06;6.65E-08;0.00070761;0.022165321;0.006488462;0.000536012;0.029910493;6.41E-05;1.16E-05;0.001288987;5.07E-01;1.48E-11;1.56E-04;3.22E-07;0.508509933
367.671;36.70026;41.95754;46.74393;0.077510173;0.03405698;0.501425775;6.34E-07;3.24467E-07;0.00E+00;4.99149E-13;0.000314299;0.055075252;0.020449149;0.075839658;6.53E-06;4.83E-06;4.84E-08;0.000390237;0.021102461;0.007733007;0.000628097;0.02986521;5.69E-05;9.58E-06;0.001065552;5.05E-01;4.28422E-11;1.89E-04;4.09E-07;0.506738164
368.62591;36.61677;41.92463;46.27021;0.080736354;0.035888549;0.500479883;5.63E-07;2.76729E-07;0.00E+00;2.40213E-13;0.000255247;0.053270576;0.024014267;0.07754093;5.79E-06;4.12E-06;3.52E-08;0.000215131;0.019875528;0.009189155;0.000735922;0.030025685;5.05E-05;7.91E-06;0.00088078;5.02E-01;1.23737E-10;2.28E-04;5.19E-07;0.503026027
369.58083;36.52692;41.88782;45.78707;0.082616416;0.038736487;0.487800824;5.00E-07;2.36014E-07;0.00E+00;1.15578E-13;0.000207212;0.050969724;0.028055105;0.079232777;5.14E-06;3.52E-06;2.56E-08;0.000118568;0.018559321;0.010881942;0.000862152;0.030430665;4.48E-05;6.54E-06;0.000727998;4.95E-01;3.57348E-10;2.76E-04;6.59E-07;0.496443552
