conversion,Friedman
1e-05,72030.74405420374
0.01001,89971.35055771188
0.02001,92057.04482397961
0.03001,93380.32922159186
0.040010000000000004,94392.57916564662
0.050010000000000006,95127.64339744268
0.06001,95737.26465711523
0.07001,96218.20874867345
0.08001,96743.70390689885
0.09000999999999999,97189.69836667099
0.10001,97488.63726151196
0.11001,97935.75026681325
0.12000999999999999,98235.77616976693
0.13001000000000001,98521.98931623055
0.14001000000000002,98820.24249593579
0.15001,99082.00399998538
0.16001,99342.21030556643
0.17001000000000002,99603.1935148006
0.18001,99814.6724213481
0.19001,100018.34736628791
0.20001000000000002,100249.62137703966
0.21001,100481.59991784822
0.22001,100669.8872462468
0.23001000000000002,100839.08473321667
0.24001,101021.62974185456
0.25001,101225.59376301541
0.26001,101411.01002340605
0.27001000000000003,101572.30742973514
0.28001000000000004,101733.89856211915
0.29001,101895.78401587336
0.30001,102072.4090141149
0.31001,102228.2753579584
0.32001,102380.8597580779
0.33001,102533.70676715334
0.34001000000000003,102686.8169082508
0.35001000000000004,102839.0808350762
0.36001,102983.47106903214
0.37001,103128.09395191011
0.38001,103272.94992914102
0.39001,103418.03944697363
0.40001000000000003,103562.6110778581
0.41001000000000004,103703.08059908042
0.42001,103841.33593656722
0.43001,103979.79996308935
0.44001,104118.47305818363
0.45001,104258.25062055887
0.46001000000000003,104401.85109678083
0.47001000000000004,104542.75230016778
0.48001,104676.52848957406
0.49001,104810.49441046614
0.50001,104948.2746624819
0.51001,105095.80734924873
0.52001,105243.54426621864
0.53001,105381.49249126585
0.54001,105512.26729691862
0.55001,105653.37753792135
0.56001,105806.23574327266
0.57001,105959.34167001102
0.5800099999999999,106110.58964585235
0.5900099999999999,106239.15406874649
0.6000099999999999,106393.36260725601
0.6100099999999999,106553.06462493796
0.62001,106713.03038601975
0.63001,106873.26036619564
0.64001,107020.34057406241
0.65001,107188.43915580155
0.66001,107356.2649059866
0.67001,107524.37253586293
0.68001,107704.26092144806
0.69001,107882.14812694646
0.70001,108058.68217079963
0.7100099999999999,108235.51571258939
0.7200099999999999,108435.69047184398
0.7300099999999999,108651.44195494309
0.74001,108836.87441961959
0.75001,109022.62014777883
0.76001,109274.34819540688
0.77001,109512.26097909678
0.78001,109705.82880886413
0.79001,109954.54076620749
0.80001,110250.14742820208
0.81001,110475.43670656494
0.82001,110751.6303378412
0.83001,111075.23027176973
0.8400099999999999,111339.58429678639
0.8500099999999999,111692.65040350311
0.8600099999999999,112045.17808869354
0.87001,112422.12648583291
0.88001,112802.41703598214
0.89001,113285.48608000387
0.90001,113690.17308393131
0.91001,114296.01348656452
0.92001,114832.22209536098
0.93001,115449.53957841021
0.94001,116299.21729284471
0.95001,117164.44949617313
0.9600099999999999,118294.92700810975
0.9700099999999999,119763.21661895583
0.9800099999999999,121776.24996710359
0.99001,125395.88793543741
