error_min,error_max,true
,,
10000.0,124000.0,54000.0
10000.0,126000.0,62000.0
10000.0,126000.0,65000.0
10000.0,124000.0,66000.0
11000.0,123000.0,67000.0
13000.0,123000.0,68000.0
15000.0,122000.0,69000.0
17000.0,121000.0,69000.0
19000.0,120000.0,69000.0
20000.0,119000.0,70000.0
21000.0,119000.0,70000.0
22000.0,118000.0,70000.0
23000.0,118000.0,71000.0
24000.0,117000.0,71000.0
25000.0,117000.0,71000.0
26000.0,116000.0,71000.0
27000.0,116000.0,71000.0
27000.0,115000.0,71000.0
28000.0,115000.0,72000.0
29000.0,115000.0,72000.0
29000.0,114000.0,72000.0
30000.0,114000.0,72000.0
30000.0,114000.0,72000.0
31000.0,113000.0,72000.0
31000.0,113000.0,72000.0
31000.0,113000.0,72000.0
32000.0,112000.0,72000.0
32000.0,112000.0,72000.0
32000.0,112000.0,72000.0
33000.0,112000.0,72000.0
33000.0,111000.0,72000.0
33000.0,111000.0,72000.0
33000.0,111000.0,72000.0
33000.0,111000.0,72000.0
34000.0,111000.0,72000.0
34000.0,111000.0,72000.0
34000.0,110000.0,72000.0
34000.0,110000.0,72000.0
34000.0,110000.0,72000.0
34000.0,110000.0,72000.0
34000.0,110000.0,72000.0
35000.0,110000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,109000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,72000.0
35000.0,108000.0,71000.0
35000.0,108000.0,71000.0
35000.0,108000.0,71000.0
35000.0,108000.0,71000.0
34000.0,108000.0,71000.0
34000.0,108000.0,71000.0
34000.0,108000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
34000.0,109000.0,71000.0
33000.0,110000.0,71000.0
33000.0,110000.0,72000.0
33000.0,110000.0,72000.0
33000.0,110000.0,72000.0
33000.0,111000.0,72000.0
33000.0,111000.0,72000.0
33000.0,111000.0,72000.0
32000.0,112000.0,72000.0
32000.0,112000.0,72000.0
32000.0,112000.0,72000.0
32000.0,113000.0,72000.0
32000.0,114000.0,73000.0
31000.0,114000.0,73000.0
31000.0,115000.0,73000.0
31000.0,116000.0,73000.0
30000.0,117000.0,74000.0
30000.0,118000.0,74000.0
29000.0,119000.0,74000.0
29000.0,121000.0,75000.0
28000.0,124000.0,76000.0
27000.0,127000.0,77000.0
25000.0,133000.0,79000.0
