temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
344.82803,46.538,51.58699,59.27904,0.445430906,0.477746474,0.326371005,1.40E-07,4.93925E-11,4.57E-01,2.21101E-09,7.79918E-05,5.52022E-05,0.456840919,3.20E-04,1.15E-09,0.479116209,6.56E-10,1.78906E-05,1.44E-04,0.479598023,0.001580721,2.13E-02,0.315950762,5.32E-23,6.55E-09,1.36E-07,0.338837176
345.78295,46.11108,51.12518,58.97511,0.448990264,0.485364339,0.333744084,1.15E-07,3.0641E-11,4.59E-01,7.28147E-09,0.000107113,7.00825E-05,0.459375322,2.91E-04,7.10E-10,0.485027053,1.70E-09,2.45932E-05,0.000174534,0.485516886,0.001422853,1.77E-02,0.32407178,1.54E-22,9.00E-09,1.73E-07,0.343211526
346.73786,45.67317,50.66037,58.65787,0.450778844,0.492313071,0.338046868,9.53E-08,1.90085E-11,4.59E-01,2.39699E-08,0.000147072,8.89723E-05,0.45924407,2.64E-04,4.41E-10,0.490660462,4.42E-09,3.38056E-05,0.000211234,0.491169825,0.001280654,1.47E-02,0.33204126,4.44E-22,1.24E-08,2.20E-07,0.34803843
347.69278,45.24403,50.20126,58.33498,0.451490125,0.496975218,0.34559127,7.88E-08,1.17919E-11,4.55E-01,7.88679E-08,0.000201875,0.000112952,0.454940614,2.40E-04,2.73E-10,0.495942177,1.14553E-08,4.64669E-05,0.000255644,0.496484623,0.001152584,1.22E-02,0.339844634,1.28E-21,1.70E-08,2.79E-07,0.353210292
348.64769,44.81515,49.72441,58.00141,0.455473983,0.503209734,0.353444117,6.51E-08,7.3152E-12,4.44E-01,2.59335E-07,0.00027699,0.00014339,0.444332134,2.19E-04,1.70E-10,0.500737043,2.96946E-08,6.3866E-05,0.00030938,0.501328821,0.001037257,1.01E-02,0.347468093,3.71E-21,2.34E-08,3.55E-07,0.35863317
349.60261,44.39947,49.2429,57.66212,0.438992674,0.505753526,0.361857486,5.38E-08,4.53818E-12,4.24E-01,8.52115E-07,0.000379868,0.000182024,0.424739399,1.99E-04,1.05E-10,0.504799977,7.69371E-08,8.77731E-05,0.000374395,0.505460882,0.000933414,8.39E-03,0.354899237,1.07E-20,3.22E-08,4.50E-07,0.364225949
350.55752,43.99669,48.75726,57.31752,0.401977509,0.507766651,0.368404777,4.45E-08,2.81521E-12,3.93E-01,2.7972E-06,0.000520627,0.000231059,0.393505,1.81E-04,6.53E-11,0.507688494,1.99219E-07,0.000120616,0.00045305,0.508442974,0.000839923,6.95E-03,0.362126386,3.10E-20,4.42E-08,5.72E-07,0.369918552
351.51244,43.59184,48.27037,56.96816,0.351134236,0.508718783,0.375317537,3.67E-08,1.74643E-12,3.48E-01,9.17164E-06,0.000712975,0.000293287,0.349306113,1.64E-04,4.05E-11,0.508614779,5.15484E-07,0.000165723,0.000548196,0.509493422,0.00075576,5.76E-03,0.369139123,8.95E-20,6.08E-08,7.26E-07,0.375651038
352.46735,43.2247,47.7877,56.61662,0.29343823,0.511356998,0.380993673,3.04E-08,1.08353E-12,2.93E-01,3.00267E-05,0.000975384,0.000372249,0.293899657,1.49E-04,2.51E-11,0.506209157,1.33266E-06,0.000227654,0.000663274,0.507250707,0.000680001,4.76E-03,0.375927557,2.59E-19,8.36E-08,9.21E-07,0.381371797
353.42227,42.88339,47.31972,56.24422,0.232818072,0.509013509,0.386563488,2.51E-08,6.72039E-13,2.31E-01,9.80961E-05,0.001332625,0.000472431,0.232901636,1.36E-04,1.56E-11,0.49819287,3.44172E-06,0.000312647,0.000802438,0.49944712,0.000611811,3.94E-03,0.382482727,7.47E-19,1.15E-07,1.17E-06,0.387036747
354.37718,42.6181,46.83902,55.86854,0.174884802,0.484915918,0.394280461,2.07E-08,4.16884E-13,1.71E-01,0.000319346,0.001817627,0.000599509,0.174175484,1.23E-04,9.67E-12,0.481071906,8.87727E-06,0.000429219,0.000970694,0.482604085,0.00055044,3.26E-03,0.388795795,2.16E-18,1.58E-07,1.49E-06,0.392607638
355.3321,42.52887,46.38574,55.49484,0.125349139,0.437916829,0.398653005,1.71E-08,2.58684E-13,1.20E-01,0.001032006,0.002473754,0.000760666,0.124637726,1.12E-04,6.00E-12,0.450272679,2.28622E-05,0.000588977,0.001174079,0.452170772,0.000495208,2.70E-03,0.394858283,6.24E-18,2.17E-07,1.89E-06,0.398051358
