temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
93.70139,100.01448,100.05038,99.98751,0.000312943,-0.001060109,-0.00121146,1.86E-05,5.81E-10,0.000203791,6.99E-155,6.32E-30,4.84E-19,0.000222434,7.35E-06,1.26E-14,0.000275124,1.04E-162,1.07E-31,5.24E-23,0.000282475,3.81E-06,5.81E-12,1.88E-05,2.62E-165,1.67E-44,8.98E-29,2.26E-05
94.65631,100.01414,100.05038,99.98955,0.000345375,-0.000329449,0.0000856,2.02E-05,6.60E-10,0.000211565,2.73E-154,8.02E-30,5.55E-19,0.000231752,7.99E-06,1.53E-14,0.000284664,4.06E-162,1.36E-31,6.15E-23,0.000292651,4.12E-06,6.66E-12,1.96E-05,9.31E-165,2.29E-44,1.09E-28,2.38E-05
95.61122,100.01859,100.05038,99.98827,-0.000172836,0.000953564,0.001115092,2.19E-05,7.49E-10,0.000219635,1.07E-153,1.02E-29,6.36E-19,0.000241494,8.68E-06,1.85E-14,0.000294534,1.59E-161,1.73E-31,7.21E-23,0.000303213,4.46E-06,7.63E-12,2.05E-05,3.31E-164,3.15E-44,1.32E-28,2.50E-05
96.56614,100.02062,100.04959,99.98704,-0.000998435,0.001599897,0.002114791,2.37E-05,8.51E-10,0.000228013,4.19E-153,1.29E-29,7.29E-19,0.000251683,9.43E-06,2.24E-14,0.000304747,6.21E-161,2.20E-31,8.45E-23,0.000314177,4.83E-06,8.75E-12,2.14E-05,1.17E-163,4.33E-44,1.59E-28,2.63E-05
97.52105,100.0209,100.04607,99.97785,-0.001686169,0.001863983,0.002717904,2.56E-05,9.67E-10,0.00023671,1.64E-152,1.64E-29,8.36E-19,0.00026234,1.02E-05,2.72E-14,0.000315313,2.43E-160,2.79E-31,9.91E-23,0.00032556,5.23E-06,1.00E-11,2.24E-05,4.17E-163,5.96E-44,1.93E-28,2.76E-05
98.47597,100.01517,100.04319,99.97701,-0.000869339,0.002049942,0.00259065,2.78E-05,1.10E-09,0.000245739,6.41E-152,2.08E-29,9.58E-19,0.000273492,1.11E-05,3.29E-14,0.000326246,9.51E-160,3.55E-31,1.16E-22,0.000337379,5.67E-06,1.15E-11,2.34E-05,1.48E-162,8.19E-44,2.33E-28,2.90E-05
99.43088,100.01931,100.04128,99.97701,0.000896874,0.002133434,0.001962509,3.01E-05,1.25E-09,0.000255112,2.51E-151,2.65E-29,1.10E-18,0.000285164,1.21E-05,3.98E-14,0.000337557,3.72E-159,4.50E-31,1.36E-22,0.000349655,6.14E-06,1.32E-11,2.44E-05,5.27E-162,1.13E-43,2.82E-28,3.05E-05
100.3858,100.02103,100.0408,99.9766,0.001028203,0.002600342,0.001371232,3.25E-05,1.42E-09,0.000264843,9.81E-151,3.36E-29,1.26E-18,0.000297384,1.31E-05,4.82E-14,0.00034926,1.46E-158,5.72E-31,1.60E-22,0.000362405,6.65E-06,1.51E-11,2.55E-05,1.87E-161,1.55E-43,3.42E-28,3.21E-05
101.34071,100.02103,100.04007,99.97533,-0.000553695,0.003066147,0.001162955,3.52E-05,1.61E-09,0.000274944,3.84E-150,4.27E-29,1.44E-18,0.000310181,1.43E-05,5.83E-14,0.000361369,5.69E-158,7.26E-31,1.87E-22,0.000375652,7.20E-06,1.73E-11,2.66E-05,6.65E-161,2.13E-43,4.14E-28,3.38E-05
102.29563,100.02207,100.036,99.97367,-0.001822828,0.002869366,0.001827713,3.82E-05,1.83E-09,0.000285431,1.50E-149,5.42E-29,1.65E-18,0.000323586,1.55E-05,7.05E-14,0.000373897,2.23E-157,9.21E-31,2.20E-22,0.000389417,7.79E-06,1.98E-11,2.78E-05,2.36E-160,2.93E-43,5.01E-28,3.56E-05
103.25054,100.01726,100.03319,99.972,-0.001902857,0.002377494,0.002511419,4.13E-05,2.08E-09,0.000296318,5.87E-149,6.88E-29,1.89E-18,0.000337632,1.69E-05,8.54E-14,0.000386859,8.71E-157,1.17E-30,2.58E-22,0.000403722,8.44E-06,2.27E-11,2.90E-05,8.39E-160,4.02E-43,6.06E-28,3.75E-05
104.20546,100.01655,100.02918,99.9696,-0.001217409,0.001794188,0.00244025,4.47E-05,2.36E-09,0.000307619,2.30E-148,8.73E-29,2.17E-18,0.000352356,1.83E-05,1.03E-13,0.00040027,3.41E-156,1.49E-30,3.02E-22,0.000418594,9.14E-06,2.61E-11,3.03E-05,2.98E-159,5.53E-43,7.34E-28,3.95E-05
105.16037,100.02843,100.02479,99.96572,-0.000882589,0.000779002,0.002264459,4.84E-05,2.68E-09,0.000319351,8.99E-148,1.11E-28,2.49E-18,0.000367793,1.99E-05,1.25E-13,0.000414146,1.33E-155,1.89E-30,3.54E-22,0.000434056,9.89E-06,2.99E-11,3.17E-05,1.06E-158,7.60E-43,8.88E-28,4.16E-05
106.11529,100.03274,100.02768,99.96197,-0.000607059,-0.000776791,0.001984922,5.25E-05,3.04E-09,0.000331531,3.52E-147,1.41E-28,2.85E-18,0.000383985,2.16E-05,1.51E-13,0.000428503,5.22E-155,2.39E-30,4.15E-22,0.000450136,1.07E-05,3.42E-11,3.31E-05,3.76E-158,1.04E-42,1.08E-27,4.38E-05
107.0702,100.02445,100.03239,99.96197,0.000240919,-0.00210755,0.001690983,5.68E-05,3.45E-09,0.000344175,1.38E-146,1.79E-28,3.27E-18,0.000400973,2.35E-05,1.83E-13,0.000443357,2.04E-154,3.04E-30,4.87E-22,0.000466863,1.16E-05,3.92E-11,3.45E-05,1.34E-157,1.44E-42,1.30E-27,4.61E-05
108.02512,100.02103,100.03279,99.9628,0.001228613,-0.002690527,0.001404402,6.15E-05,3.92E-09,0.000357301,5.39E-146,2.27E-28,3.75E-18,0.000418803,2.55E-05,2.22E-13,0.000458725,7.99E-154,3.86E-30,5.71E-22,0.000484266,1.26E-05,4.50E-11,3.61E-05,4.74E-157,1.97E-42,1.58E-27,4.86E-05
108.98003,100.02103,100.03519,99.96071,0.00232693,-0.0026136,0.001026574,6.66E-05,4.46E-09,0.000370927,2.11E-145,2.88E-28,4.29E-18,0.000437522,2.78E-05,2.69E-13,0.000474625,3.13E-153,4.90E-30,6.69E-22,0.000502378,1.36E-05,5.15E-11,3.77E-05,1.69E-156,2.72E-42,1.91E-27,5.13E-05
109.93495,100.02103,100.03799,99.95905,0.002735435,-0.001656805,0.000837283,7.21E-05,5.06E-09,0.000385073,8.24E-145,3.66E-28,4.92E-18,0.000457183,3.02E-05,3.25E-13,0.000491077,1.22E-152,6.22E-30,7.85E-22,0.000521231,1.47E-05,5.91E-11,3.93E-05,5.99E-156,3.73E-42,2.31E-27,5.40703E-05
110.88986,100.01965,100.04039,99.95817,0.001455358,-0.000515298,0.001179864,7.81E-05,5.75E-09,0.000399757,3.23E-144,4.64E-28,5.64E-18,0.000477839,3.28E-05,3.94E-13,0.000508097,4.78E-152,7.90E-30,9.20E-22,0.000540863,1.59E-05,6.77E-11,4.11E-05,2.13E-155,5.13E-42,2.79E-27,5.70353E-05
