Model,Equation,R2_score,Ea,A
3-D diffusion-Jander eqn.(D3),(1-(1 - a)**(1/3))**2,0.9857383726930611,189504.40143365233,1714360.8217953641
Ginstling–Brounshtein (D4),1-(2*a/3)-(1 - a)**(2/3),0.9847581819996174,183993.30398562664,1570337.110628894
Contracting volume (R3),1-(1 - a)**(1/3),0.984221262938451,90476.77995883748,170233.32639792227
Contracting area (R2),1-(1 - a)**(1/2),0.9835815622420749,88457.60372364508,163214.08595496023
2-D diffusion (D2),((1 - a)*np.log(1 - a)) + a,0.9833551981827998,181647.9869789532,1614145.0880727228
First-order (F1),-np.log(1 - a),0.979454806169818,94952.80633022496,261613.09567246638
1-D diffusion (D1),a**2,0.9790766222467877,175747.49018868108,1511193.7381474702
Zero-order (F0/R1),a,0.9764516692714861,83598.32433635191,137304.40237651078
Avarami-Erofe’ev (A2),(-np.log(1 - a))**(1/2),0.9753179894730482,43204.282411124026,-73719.1748528255
Avarami-Erofe’ev (A3),(-np.log(1 - a))**(1/3),0.9697585290928832,25954.77443809036,-103460.02610480053
Power law (P2),a**(1/2),0.9697305737688677,37523.741410187264,-91756.64317520485
Avarami-Erofe’ev (A4),(-np.log(1 - a))**(1/4),0.9620656921862428,17330.020451573542,-114545.05017433873
Power law (P3),a**(1/3),0.9601846806212962,22165.547101465694,-109215.49687162487
Power law (P4),a**(1/4),0.9461242926415449,14486.449947104924,-128631.105407581
Prout–Tompkins (B1),np.log(a/(1 - a)),0.9104678924693617,370977.30728965724,8567629.013885673
Second-order (F2),(1 - a)**(-1)-1,0.875845819517829,114532.35294321516,529479.9124051138
Third-order (F3),0.5*((1 - a)**(-2)-1),0.7272435653823176,138519.200507657,951395.5604865504
