,conversion,A,Ea
0,1e-05,965.5643105553609,44274.41015112648
1,0.01001,231062550.11164233,100043.43158722148
2,0.02001,639219288.528306,104625.2683265398
3,0.03001,1011931792.2574643,106693.70166933286
4,0.04001,1316943889.7259214,107879.96888498464
5,0.05001,1547249399.1844559,108605.6579431664
6,0.06001,1705214311.5504391,109043.38153330697
7,0.07001,1822332606.7782977,109342.48507240864
8,0.08001,1893474691.4379096,109514.92444486888
9,0.0900099999999999,1930181407.5619738,109601.37942325816
10,0.10001,1943949743.3595521,109633.38450314334
11,0.11001,1930721936.8221438,109602.64020594998
12,0.1200099999999999,1903038169.9038038,109537.60960680732
13,0.13001,1874015633.4730666,109468.41046673244
14,0.14001,1826284582.3368037,109352.23937168789
15,0.15001,1782924569.6461833,109244.04411982914
16,0.16001,1728966079.796577,109105.66743045468
17,0.17001,1671140807.9974735,108952.49629019009
18,0.18001,1617566458.2308195,108805.77941493534
19,0.19001,1567880712.7975006,108665.30197540062
20,0.20001,1501731424.3125017,108471.20495383524
21,0.21001,1458685178.7006698,108340.24967342796
22,0.22001,1388650023.5082877,108118.69798712803
23,0.23001,1346889422.797947,107981.20914559386
24,0.24001,1282005538.9785883,107758.89772818054
25,0.25001,1238615513.802206,107603.86078324496
26,0.26001,1183317315.003272,107398.20812261774
27,0.27001,1137853158.517301,107221.79633384332
28,0.28001,1090212574.2538102,107029.21010259591
29,0.29001,1045549935.1624731,106840.86050464177
30,0.30001,1004657433.2067895,106661.21620109162
31,0.31001,961546213.8471649,106463.72789872238
32,0.32001,921225764.812068,106270.84043793888
33,0.33001,882719940.4909232,106078.58488580944
34,0.34001,846223307.8955556,105888.45668718292
35,0.35001,809768748.2418951,105690.17905119956
36,0.36001,777241376.7969967,105505.57549935266
37,0.37001,742892894.5933111,105302.05437862583
38,0.38001,714072415.159953,105123.8909337338
39,0.39001,682912009.7515546,104922.98464433348
40,0.40001,653479084.224059,104724.6127912448
41,0.41001,627865115.4726789,104544.56869629088
42,0.42001,599350082.9441044,104335.28216592393
43,0.43001,574733904.5016077,104146.44169647964
44,0.44001,551071770.1696881,103957.13568677008
45,0.45001,527100847.71671635,103756.88317214102
46,0.46001,504652445.54082084,103560.9138586201
47,0.47001,483056047.8185866,103363.97486730572
48,0.48001,462911656.56342864,103172.172724354
49,0.49001,442508178.95668155,102969.2000014282
50,0.50001,423638246.50314873,102772.97347826704
51,0.51001,405853981.89856446,102579.86555033426
52,0.52001,387445985.08141506,102370.86038648272
53,0.53001,370816287.76100343,102173.32518637704
54,0.54001,355140347.94071966,101978.83379687287
55,0.55001,338797683.25546616,101766.70850775683
56,0.56001,323783828.94000125,101562.61124160608
57,0.57001,309520875.8837579,101359.75884733298
58,0.5800099999999999,295493520.16832006,101150.92644006122
59,0.5900099999999999,281842018.4079646,100937.94436482004
60,0.6000099999999999,268898573.83315414,100726.2580824738
61,0.6100099999999999,256702541.32358116,100517.25619180578
62,0.62001,244341623.5396894,100295.04148615657
63,0.63001,232636523.7494351,100073.99999724438
64,0.64001,221512736.6955438,99853.37694714611
65,0.65001,210703603.29129753,99628.1137639734
66,0.66001,200026853.0966143,99393.96601937868
67,0.67001,189891502.76056454,99159.82749243588
68,0.68001,180286269.23623237,98926.102560073
69,0.69001,170594989.79940194,98677.30771889184
70,0.70001,161408788.68651065,98428.070013757
71,0.7100099999999999,152541770.00951532,98173.65552740396
72,0.7200099999999999,143948640.18898967,97912.57629585538
73,0.7300099999999999,135684528.90424448,97646.35431253065
74,0.74001,127429776.95034671,97363.72833833112
75,0.75001,119675109.98883526,97081.02274354176
76,0.76001,112130576.66110374,96787.81754177572
77,0.77001,104695515.05499312,96478.89237324896
78,0.78001,97805272.82504681,96172.35360000444
79,0.79001,90654671.28535846,95830.4985399916
80,0.80001,84174496.47588228,95496.54827352408
81,0.81001,77746361.40938216,95138.8470189396
82,0.82001,71401598.0010735,94755.51927507157
83,0.83001,65668588.983912274,94378.6393420618
84,0.8400099999999999,59719659.850374445,93951.05864597423
85,0.8500099999999999,54447903.1103625,93534.92623855684
86,0.8600099999999999,48916381.24253206,93052.53525011706
87,0.87001,43959430.81919179,92571.4358808746
88,0.88001,38990473.09206103,92031.32907183107
89,0.89001,34718763.58432329,91508.8406491856
90,0.90001,29933673.33515441,90841.0965179706
91,0.91001,26026309.306706697,90211.26622487907
92,0.92001,22157298.686897796,89486.58573049678
93,0.93001,18403368.8608403,88650.72167604766
94,0.94001,15034646.261090476,87740.3672112866
95,0.95001,12097188.01379537,86761.53545037076
96,0.96001,9030884.004737716,85445.27265038453
97,0.97001,6499284.730289767,83964.0491813845
98,0.98001,4100995.2059359723,81890.69172702529
99,0.99001,1981472.1581627019,78615.42219714889
