rate,slope,intercept,std_err
3,0.0002253287408793,-2.1000073873630853,1.0849377550886965e-06
5,0.0002232483528491,-2.061002399926174,1.044532732237465e-06
10,0.00021614475271925973,-1.8810916786185672,1.2804594316375716e-06
