conversion,OFW,KAS,Starink
0.03001,130714.79361671394,148265.2216885517,146661.79696071523
0.040010000000000004,131200.5298811315,148791.42879485898,147183.22414728437
0.050010000000000006,131636.84517143093,149262.46609673073,147650.04553340792
0.06001,131881.9527075111,149530.31601465834,147915.37296032126
0.07001,132239.23556732078,149914.65665361157,148296.32680569423
0.08001,132442.08507155644,150135.677219853,148515.29074491034
0.09000999999999999,132776.53341235052,150494.20773135993,148870.7102659694
0.10001,132945.10104214988,150677.69372273659,149052.49585881014
0.11001,133186.15382604612,150936.91836446177,149309.43946714635
0.12000999999999999,133430.32184290257,151198.94035901313,149569.1772696451
0.13001000000000001,133603.59243238292,151386.14924904582,149754.70481015756
0.14001000000000002,133772.1760900874,151568.16725958633,149935.09299511288
0.15001,134026.62614078185,151840.14343391606,150204.74020293984
0.16001,134203.83043845693,152030.608618792,150393.53319334373
0.17001000000000002,134381.2165672195,152221.2649893092,150582.51585603692
0.18001,134516.21025484035,152367.12388773714,150727.06454340392
0.19001,134743.45423339913,152609.74997463424,150967.62354145874
0.20001000000000002,134924.72848602958,152803.86856015964,151160.06586552112
0.21001,135106.26934265543,152998.26757671533,151352.7863964145
0.22001,135230.01277208974,153131.842462928,151485.16637089313
0.23001000000000002,135407.34744400223,153321.63322496536,151673.32249643916
0.24001,135599.24336781047,153526.50704626832,151876.45131481675
0.25001,135785.35062350592,153725.27186333438,152073.52037999785
0.26001,135971.78192285553,153924.3775624645,152270.92762230142
0.27001000000000003,136122.2972138886,154085.68637795546,152430.83848174382
0.28001000000000004,136241.25686880646,154213.78696769974,152557.80513693587
0.29001,136434.643449717,154419.93953306007,152762.21403581512
0.30001,136626.30531450443,154624.2550503073,152964.8013650096
0.31001,136818.33381119333,154828.95625620126,153167.77132215112
0.32001,137010.7299457024,155034.0442089734,153371.12495707299
0.33001,137163.60883939324,155197.54544055823,153533.2225028746
0.34001000000000003,137306.4027880312,155350.41472909745,153684.77338219652
0.35001000000000004,137476.23449384066,155531.6289818188,153864.4481845703
0.36001,137674.47420435556,155742.6860135427,154073.73060269884
0.37001,137873.11491712305,155954.16488323765,154283.43151152832
0.38001,138072.15779083534,156166.0668098357,154493.5521203183
0.39001,138251.28919065982,156357.0144148199,154682.88500731133
