conversion,OFW,KAS,Starink
1e-05,65298.734387118326,79077.195977671,78037.5782555298
0.01001,87190.66943620855,102607.63145156435,101361.41821763635
0.02001,89434.36034192557,105018.50499681284,103751.15345250831
0.03001,90775.85608159471,106459.80382798199,105179.82112973859
0.040010000000000004,91672.14975196816,107424.43209792874,106135.93142418074
0.050010000000000006,92383.56097831261,108189.9224109953,106894.66841321679
0.06001,92981.44678656633,108832.9753400557,107532.0591341587
0.07001,93474.2537838944,109363.54007566132,108057.93161890972
0.08001,93878.2866404716,109799.49378571866,108489.99239694558
0.09000999999999999,94305.52457348956,110258.51530761634,108944.99123944822
0.10001,94586.98700796749,110563.26087575553,109246.97505359194
0.11001,94920.57383244016,110922.16460565389,109602.71405585014
0.12000999999999999,95157.92383666988,111179.36447408734,109857.57473231238
0.13001000000000001,95446.6624896821,111489.9621070872,110165.43569481104
0.14001000000000002,95646.53226381331,111706.76929313046,110380.26249907394
0.15001,95897.79965996138,111977.31810748909,110648.41745325469
0.16001,96079.50996546999,112174.16979293813,110843.48093310262
0.17001000000000002,96267.75389313951,112377.95356419154,111045.41915222934
0.18001,96451.08922329465,112576.05120821102,111241.73709761776
0.19001,96615.67593698499,112754.22264403543,111418.29502153005
0.20001000000000002,96793.16923746429,112946.0684032916,111608.41490939712
0.21001,96921.8040290298,113086.04774336572,111747.09855870344
0.22001,97074.17282872756,113250.86031388442,111910.42370432736
0.23001000000000002,97232.45140190759,113421.93131677364,112079.95597132396
0.24001,97334.66953238584,113533.80830734917,112190.77268747827
0.25001,97464.33427953524,113674.34323021307,112330.02845980848
0.26001,97604.5913652508,113826.00656798377,112480.32491062897
0.27001000000000003,97728.51065747128,113960.42019132254,112613.51102394458
0.28001000000000004,97811.6092462012,114051.74890651299,112703.95978902046
0.29001,97927.08243749803,114177.02132280682,112828.08739966733
0.30001,98050.65594286623,114310.77463103148,112960.63020621652
0.31001,98153.34479825503,114422.48290786654,113071.30589351457
0.32001,98233.58748477041,114510.50642128942,113158.48762479862
0.33001,98323.26479391569,114608.40796708086,113255.47086401358
0.34001000000000003,98431.76673450449,114726.01950240218,113372.01137549039
0.35001000000000004,98532.8826198827,114835.84199319925,113480.82541082948
0.36001,98606.06316964237,114916.17686943078,113560.38981431753
0.37001,98679.0962068348,114996.35668387782,113639.80038185148
0.38001,98764.31748808805,115089.29777913388,113731.87336097956
0.39001,98864.67843337198,115198.14527412773,113839.7273131339
0.40001000000000003,98937.7765585651,115278.21377813863,113919.03458789429
0.41001000000000004,99004.00404708732,115351.02919084863,113991.1473348372
0.42001,99070.10098798836,115423.70738078207,114063.12394357703
0.43001,99147.54396176107,115508.29849746796,114146.9198486906
0.44001,99236.31844425196,115604.7808609839,114242.51379630838
0.45001,99296.14513378215,115670.70283721291,114307.79415769293
0.46001000000000003,99355.86120386247,115736.50854074031,114372.9591652471
0.47001000000000004,99415.61362659032,115802.3532699757,114438.16285772194
0.48001,99483.17479243182,115876.43262774749,114511.53503760227
0.49001,99561.22723686126,115961.49692066376,114595.8070297264
0.50001,99615.39754060957,116021.34937733803,114655.07076463658
0.51001,99669.06262674015,116080.66889672255,114713.80584939179
0.52001,99724.40878632349,116141.76487985921,114774.30298253294
0.53001,99783.30543377776,116206.61205348297,114838.52089682255
0.54001,99847.02037370001,116276.50416897399,114907.74466224221
0.55001,99901.24422283989,116336.34960672133,114967.00394776773
0.56001,99949.36247281112,116389.74989997996,115019.87011590916
0.57001,99999.24063776419,116445.00957575174,115074.58059400694
0.5800099999999999,100051.65336756488,116502.94674094018,115131.94687004917
0.5900099999999999,100104.04247084749,116560.85908185945,115189.28851761764
0.6000099999999999,100157.64880096217,116620.0279376912,115247.87766044462
0.6100099999999999,100200.7561593286,116668.11137969601,115295.4709758853
0.62001,100244.82481282204,116717.21038746454,115344.07162707277
0.63001,100291.10956921612,116768.65019291319,115394.99412288617
0.64001,100337.37406939038,116820.06871349276,115445.89550177852
0.65001,100383.32860838178,116871.16261325953,115496.47477834325
0.66001,100425.07393307504,116917.82523342827,115542.65807062996
0.67001,100464.05691919982,116961.57203760714,115585.94907863383
0.68001,100504.65820464185,117007.02804750107,115630.93545917863
0.69001,100545.24367724863,117052.46744035099,115675.90535384459
0.70001,100585.81331644199,117097.89019458466,115720.85874122738
0.7100099999999999,100622.29725754014,117139.03496936367,115761.56730078021
0.7200099999999999,100657.42473245421,117178.78972624957,115800.89540668746
0.7300099999999999,100693.25978017073,117219.29127832405,115840.96428446517
0.74001,100728.93220186348,117259.62114680116,115880.86286506313
0.75001,100764.5937308491,117299.93956785178,115920.75008862253
0.76001,100800.24436130514,117340.24653538628,115960.6259491018
0.77001,100820.57749157572,117364.53045185434,115984.60231609666
0.78001,100856.6748363833,117405.47099460919,116025.10023009877
0.79001,100890.24148114331,117443.7391751078,116062.94739050613
0.80001,100923.80174759902,117482.00065232998,116100.78790057111
0.81001,100957.35563533299,117520.25542584811,116138.62175987006
0.82001,100965.88510258005,117532.30858311153,116150.45702867438
0.83001,100990.58775549129,117561.54564927609,116179.33309132555
0.8400099999999999,101025.09631934784,117601.13100116482,116218.4740220596
0.8500099999999999,101059.60250187405,117640.71385052605,116257.6124700238
0.8600099999999999,101094.10630364198,117680.29419796412,116296.74843581636
0.87001,101065.77434612912,117654.08311877146,116270.60275645388
0.88001,101093.84501108136,117687.43611085664,116303.53934969111
0.89001,101141.29584062455,117741.24343379273,116356.76530299062
0.90001,101188.7484627034,117795.05264338297,116409.99312793498
0.91001,101128.74081431162,117736.3471019669,116351.57800729598
0.92001,101149.80652973519,117763.26474208481,116378.09326505222
0.93001,101237.11025915755,117860.0965964304,116473.9586629747
0.94001,101174.7691497692,117800.24524240804,116414.35487949805
0.95001,101177.49339268483,117809.45316937762,116423.2380600858
0.9600099999999999,101222.97655927233,117864.96541589547,116478.00560800971
0.9700099999999999,101176.74021619066,117825.31327747811,116438.31148281407
0.9800099999999999,101132.726251412,117791.78836377805,116404.54558520472
0.99001,101063.41576999771,117738.8526659726,116351.23719735623
