temperature,rate_3,rate_10,rate_5,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
42.13598,99.99517,99.9945,100.03759,0.000757398,2.53697E-07,6.00098E-13,2.69825E-05,7.1156E-187,1.59235E-35,3.06065E-22,2.72362E-05,0.000366189,8.29838E-08,4.1984E-19,4.36492E-05,1.0557E-194,2.70818E-37,9.71153E-27,4.37322E-05,0.002860994,5.18128E-08,1.48139E-16,5.20425E-06,4.9087E-195,5.71649E-52,2.98095E-33,5.25607E-06
43.0909,99.99208,99.98998,100.04591,-0.000370486,2.7471E-07,6.81582E-13,2.8012E-05,2.784E-186,2.02171E-35,3.50799E-22,2.82867E-05,-0.000156828,9.01687E-08,5.08192E-19,4.51634E-05,4.1303E-194,3.4384E-37,1.13869E-26,4.52535E-05,0.001107999,5.61044E-08,1.72097E-16,5.41549E-06,1.7437E-194,7.85902E-52,3.60826E-33,5.4716E-06
44.04581,99.99,99.98411,100.03696,-0.001498373,2.97464E-07,7.74128E-13,2.90808E-05,1.0892E-185,2.56683E-35,4.02071E-22,2.93783E-05,-0.000745972,9.79756E-08,6.15134E-19,4.67301E-05,1.6159E-193,4.3655E-37,1.33514E-26,4.6828E-05,-0.001179763,6.07514E-08,1.9993E-16,5.63531E-06,6.1941E-194,1.08045E-51,4.36757E-33,5.69606E-06
45.00073,99.99101,99.9861,100.03739,-0.001214457,3.22103E-07,8.79242E-13,3.01904E-05,4.2615E-185,3.25894E-35,4.60838E-22,3.05126E-05,-0.001674107,1.06458E-07,7.44583E-19,4.83511E-05,6.3223E-193,5.5426E-37,1.56547E-26,4.84576E-05,-0.001410393,6.57833E-08,2.32264E-16,5.86404E-06,2.2004E-193,1.4854E-51,5.28668E-33,5.92983E-06
45.95564,99.99343,99.98957,100.05198,-0.000959088,3.48782E-07,9.98627E-13,3.13424E-05,1.6673E-184,4.13765E-35,5.28193E-22,3.16912E-05,-0.002663677,1.15676E-07,9.01271E-19,5.00284E-05,2.4736E-192,7.03706E-37,1.83554E-26,5.0144E-05,-0.00097913,7.1232E-08,2.69827E-16,6.10206E-06,7.8163E-193,2.04212E-51,6.3992E-33,6.17329E-06
46.91056,99.99298,99.99584,100.04293,-0.001728869,3.77671E-07,1.13422E-12,3.25383E-05,6.5232E-184,5.25331E-35,6.05394E-22,3.2916E-05,-0.002250627,1.25691E-07,1.09094E-18,5.17638E-05,9.6777E-192,8.9345E-37,2.1522E-26,5.18895E-05,-0.002069254,7.7132E-08,3.13466E-16,6.34974E-06,2.7766E-192,2.80751E-51,7.74584E-33,6.42688E-06
47.86547,99.99827,100.00278,100.04641,-0.002269358,4.08952E-07,1.28823E-12,3.37798E-05,2.5522E-183,6.66977E-35,6.93877E-22,3.41888E-05,-0.001373935,1.36573E-07,1.32051E-18,5.35594E-05,3.7863E-191,1.13435E-36,2.52349E-26,5.3696E-05,-0.002485914,8.35207E-08,3.64162E-16,6.60748E-06,9.8632E-192,3.85974E-51,9.37586E-33,6.691E-06
48.82039,100,99.99414,100.04958,-0.001222038,4.42825E-07,1.46315E-12,3.50687E-05,9.9852E-183,8.46818E-35,7.95295E-22,3.55115E-05,-0.001373326,1.48398E-07,1.5984E-18,5.54174E-05,1.4814E-190,1.44022E-36,2.95884E-26,5.55657E-05,-0.001330555,9.04386E-08,4.23057E-16,6.87567E-06,3.5037E-191,5.30637E-51,1.13489E-32,6.96611E-06
49.7753,99.99862,99.99226,100.05814,0.000222859,4.79503E-07,1.66182E-12,3.64068E-05,3.9066E-182,1.07515E-34,9.11533E-22,3.68863E-05,8.62E-05,1.61247E-07,1.93476E-18,5.73397E-05,5.7958E-190,1.82854E-36,3.46929E-26,5.75009E-05,8.45E-05,9.79294E-08,4.91476E-16,7.15475E-06,1.2446E-190,7.29515E-51,1.37372E-32,7.25268E-06
50.73022,100.00072,99.99707,100.04879,0.000649758,5.1922E-07,1.88747E-12,3.77959E-05,1.5285E-181,1.36505E-34,1.04476E-21,3.83151E-05,0.000899499,1.75207E-07,2.34191E-18,5.93287E-05,2.2676E-189,2.32159E-36,4.0678E-26,5.9504E-05,0.001799093,1.06041E-07,5.70962E-16,7.44516E-06,4.4213E-190,1.00294E-50,1.6628E-32,7.5512E-06
51.68513,100.00034,99.99875,100.04439,0.000250118,5.62225E-07,2.14375E-12,3.9238E-05,5.98E-181,1.73311E-34,1.19746E-21,3.98002E-05,0.001065205,1.90377E-07,2.83474E-18,6.13868E-05,8.8719E-189,2.94756E-36,4.76956E-26,6.15771E-05,0.003031044,1.14824E-07,6.63302E-16,7.74736E-06,1.5706E-189,1.37883E-50,2.01272E-32,7.86218E-06
52.64005,99.99656,99.9918,100.04598,-0.000615019,6.08794E-07,2.43484E-12,4.07351E-05,2.3397E-180,2.20041E-34,1.37249E-21,4.13439E-05,0.002252135,2.0686E-07,3.43128E-18,6.35162E-05,3.4711E-188,3.74233E-36,5.59239E-26,6.3723E-05,0.00268728,1.24335E-07,7.70577E-16,8.06182E-06,5.5791E-189,1.89561E-50,2.43627E-32,8.18616E-06
53.59496,99.99347,99.99124,100.05239,-0.001151345,6.59219E-07,2.76545E-12,4.22894E-05,9.1538E-180,2.79372E-34,1.57309E-21,4.29486E-05,0.002380677,2.2477E-07,4.15335E-18,6.57194E-05,1.358E-187,4.75138E-36,6.55717E-26,6.59442E-05,0.002392201,1.34633E-07,8.95199E-16,8.38905E-06,1.9819E-188,2.60608E-50,2.94896E-32,8.52368E-06
54.54988,99.99778,99.98497,100.03798,-0.001409161,7.13821E-07,3.14095E-12,4.39029E-05,3.5814E-179,3.547E-34,1.80301E-21,4.46168E-05,0.001088347,2.44231E-07,5.02738E-18,6.79991E-05,5.3133E-187,6.03252E-36,7.68839E-26,6.82434E-05,0.00235356,1.45784E-07,1.03998E-15,8.72956E-06,7.0402E-188,3.58283E-50,3.56954E-32,8.87534E-06
