conversion,Friedman
1e-05,63502.804874037254
0.01001,86283.06064455523
0.02001,88618.16812115216
0.03001,90014.39898276549
0.040010000000000004,90946.43625964144
0.050010000000000006,91686.29801827957
0.06001,92308.23535917405
0.07001,92820.6024331549
0.08001,93240.18942580473
0.09000999999999999,93684.86012315852
0.10001,93976.63506069501
0.11001,94323.58320476368
0.12000999999999999,94569.52157722137
0.13001000000000001,94869.85235517501
0.14001000000000002,95076.84326573233
0.15001,95338.06880967469
0.16001,95526.38182904238
0.17001000000000002,95721.53886127827
0.18001,95911.79319025361
0.19001,96082.4253065446
0.20001000000000002,96266.58685507308
0.21001,96399.58288612605
0.22001,96557.61456678963
0.23001000000000002,96721.84265382345
0.24001,96827.20436843035
0.25001,96961.54787800006
0.26001,97107.04189037393
0.27001000000000003,97235.37972182831
0.28001000000000004,97320.84493724906
0.29001,97440.42542496858
0.30001,97568.54776232726
0.31001,97674.73663771315
0.32001,97757.34784032294
0.33001,97849.90786125837
0.34001000000000003,97962.31815584695
0.35001000000000004,98066.96777757512
0.36001,98142.27924698014
0.37001,98217.43547244668
0.38001,98305.44410663594
0.39001,98409.38993079696
0.40001000000000003,98484.70452034658
0.41001000000000004,98552.80379087944
0.42001,98620.7656686545
0.43001,98700.67512292485
0.44001,98792.52007453771
0.45001,98853.96560250186
0.46001000000000003,98915.2947093246
0.47001000000000004,98976.6616677717
0.48001,99046.23350858365
0.49001,99126.86811943525
0.50001,99182.42263041298
0.51001,99237.44637663473
0.52001,99294.23462488901
0.53001,99354.74994775982
0.54001,99420.34606521156
0.55001,99475.98858028071
0.56001,99525.21903210598
0.57001,99576.29693851616
0.5800099999999999,99630.03564354719
0.5900099999999999,99683.74947806742
0.6000099999999999,99738.7558390727
0.6100099999999999,99782.73752957286
0.62001,99827.72836090083
0.63001,99875.04580376646
0.64001,99922.34192475174
0.65001,99969.31123739666
0.66001,100011.85404967847
0.67001,100051.49579969376
0.68001,100092.83662317447
0.69001,100134.16080252285
0.70001,100175.46831605317
0.7100099999999999,100212.46758771656
0.7200099999999999,100248.02136468787
0.7300099999999999,100284.31829394729
0.74001,100320.44444114003
0.75001,100356.55912335389
0.76001,100392.66233444639
0.77001,100412.6060557795
0.78001,100449.09739450828
0.79001,100482.93146969013
0.80001,100516.75883154666
0.81001,100550.5794796311
0.82001,100558.01240031568
0.83001,100582.3746535272
0.8400099999999999,100617.03649134848
0.8500099999999999,100651.69582269425
0.8600099999999999,100686.35264816483
0.87001,100654.750358806
0.88001,100682.36937205838
0.89001,100730.34311960927
0.90001,100778.31875245454
0.91001,100712.97945400025
0.92001,100732.76233287976
0.93001,100822.11169073569
0.94001,100753.66309713168
0.95001,100753.3579889681
0.9600099999999999,100797.37430258402
0.9700099999999999,100744.23942240955
0.9800099999999999,100691.54784283912
0.99001,100608.64375207025
