conversion,Friedman
1e-05,66565.26254433389
0.01001,66931.58406788284
0.02001,66856.55632863715
0.03001,66825.94397915326
0.040010000000000004,66903.36573692354
0.050010000000000006,66981.62456242493
0.06001,66942.78718066694
0.07001,66979.3696878577
0.08001,67015.85631184993
0.09000999999999999,67052.24701921326
0.10001,67063.47951768311
0.11001,67093.56374139666
0.12000999999999999,67123.61248333973
0.13001000000000001,67153.62572447048
0.14001000000000002,67183.60344589673
0.15001,67214.44842375889
0.16001,67246.37746727925
0.17001000000000002,67279.09879626057
0.18001,67311.81429374471
0.19001,67344.52394479394
0.20001000000000002,67377.2277344845
0.21001,67413.5600891061
0.22001,67450.70199527824
0.23001000000000002,67487.83638760966
0.24001,67524.97298472344
0.25001,67562.11688700352
0.26001,67599.26808833539
0.27001000000000003,67638.91222938092
0.28001000000000004,67680.90836053053
0.29001,67722.79527555384
0.30001,67764.46493471945
0.31001,67806.14973760923
0.32001,67847.84968498093
0.33001,67892.45302631523
0.34001000000000003,67938.83478966955
0.35001000000000004,67985.18246075232
0.36001,68031.08405515601
0.37001,68077.00693800964
0.38001,68122.951115781
0.39001,68174.91586829536
0.40001000000000003,68225.51061124404
0.41001000000000004,68276.08137458582
0.42001,68326.08020491654
0.43001,68376.10602916594
0.44001,68429.59162482333
0.45001,68488.28710003241
0.46001000000000003,68543.11066032638
0.47001000000000004,68597.73191197879
0.48001,68651.84503910603
0.49001,68706.18941789122
0.50001,68776.31155963424
0.51001,68835.91477654906
0.52001,68895.12317188586
0.53001,68953.63146578622
0.54001,69013.1197360464
0.55001,69090.3991927169
0.56001,69158.67210057992
0.57001,69222.41363113589
0.5800099999999999,69285.52278410048
0.5900099999999999,69357.42155381861
0.6000099999999999,69442.51219882243
0.6100099999999999,69516.17367885367
0.62001,69584.63386711915
0.63001,69654.15682207886
0.64001,69747.70955435508
0.65001,69840.38430613096
0.66001,69913.62049462198
0.67001,69988.31023699451
0.68001,70091.12693650858
0.69001,70194.08932892584
0.70001,70277.9976157377
0.7100099999999999,70368.9093964099
0.7200099999999999,70481.81911828456
0.7300099999999999,70594.90529984995
0.74001,70682.2587754364
0.75001,70806.03217502763
0.76001,70929.8689849056
0.77001,71043.13337921085
0.78001,71175.15403127983
0.79001,71310.55372325826
0.80001,71448.68607781647
0.81001,71598.21760391409
0.82001,71745.80988291313
0.83001,71922.8135767102
0.8400099999999999,72084.46479609166
0.8500099999999999,72275.48708688832
0.8600099999999999,72468.50155661676
0.87001,72678.9084173165
0.88001,72904.86343768431
0.89001,73161.62193513937
0.90001,73408.73700066152
0.91001,73739.00105041204
0.92001,74062.74306321246
0.93001,74441.94605507427
0.94001,74884.86011683429
0.95001,75399.05682049396
0.9600099999999999,76031.4454451842
0.9700099999999999,76864.54739909
0.9800099999999999,78047.10736089328
0.99001,80100.79046439375
