error_min,error_max,true
,,
10000.0,286000.0,132000.0
10000.0,295000.0,136000.0
10000.0,296000.0,137000.0
10000.0,298000.0,138000.0
10000.0,299000.0,138000.0
10000.0,299000.0,139000.0
10000.0,300000.0,139000.0
10000.0,300000.0,139000.0
10000.0,300000.0,140000.0
10000.0,300000.0,140000.0
10000.0,300000.0,140000.0
10000.0,300000.0,140000.0
10000.0,300000.0,140000.0
10000.0,300000.0,141000.0
10000.0,300000.0,141000.0
10000.0,300000.0,141000.0
10000.0,300000.0,141000.0
10000.0,300000.0,141000.0
10000.0,300000.0,142000.0
10000.0,300000.0,142000.0
10000.0,300000.0,142000.0
10000.0,300000.0,142000.0
10000.0,300000.0,142000.0
10000.0,300000.0,143000.0
10000.0,300000.0,143000.0
10000.0,300000.0,143000.0
10000.0,300000.0,143000.0
10000.0,300000.0,143000.0
10000.0,300000.0,143000.0
10000.0,300000.0,144000.0
10000.0,300000.0,144000.0
10000.0,300000.0,144000.0
10000.0,300000.0,144000.0
10000.0,300000.0,144000.0
10000.0,300000.0,145000.0
10000.0,300000.0,145000.0
10000.0,300000.0,145000.0
10000.0,300000.0,145000.0
10000.0,300000.0,145000.0
10000.0,300000.0,146000.0
10000.0,300000.0,146000.0
10000.0,300000.0,146000.0
10000.0,300000.0,146000.0
10000.0,300000.0,146000.0
10000.0,300000.0,147000.0
10000.0,300000.0,147000.0
10000.0,300000.0,147000.0
10000.0,300000.0,147000.0
10000.0,300000.0,147000.0
10000.0,300000.0,148000.0
10000.0,300000.0,148000.0
10000.0,300000.0,148000.0
10000.0,300000.0,148000.0
10000.0,300000.0,149000.0
10000.0,300000.0,149000.0
10000.0,300000.0,149000.0
10000.0,300000.0,149000.0
10000.0,300000.0,150000.0
10000.0,300000.0,150000.0
10000.0,300000.0,150000.0
10000.0,300000.0,151000.0
10000.0,300000.0,151000.0
10000.0,300000.0,151000.0
10000.0,300000.0,151000.0
10000.0,300000.0,152000.0
10000.0,300000.0,152000.0
10000.0,300000.0,152000.0
10000.0,300000.0,153000.0
10000.0,300000.0,153000.0
10000.0,300000.0,154000.0
10000.0,300000.0,154000.0
10000.0,300000.0,154000.0
10000.0,300000.0,155000.0
10000.0,300000.0,155000.0
10000.0,300000.0,156000.0
10000.0,300000.0,156000.0
10000.0,300000.0,157000.0
10000.0,300000.0,157000.0
10000.0,300000.0,158000.0
10000.0,300000.0,158000.0
10000.0,300000.0,159000.0
10000.0,300000.0,159000.0
10000.0,300000.0,160000.0
10000.0,300000.0,161000.0
10000.0,300000.0,162000.0
10000.0,300000.0,162000.0
10000.0,300000.0,163000.0
10000.0,300000.0,164000.0
10000.0,300000.0,165000.0
10000.0,300000.0,166000.0
10000.0,300000.0,168000.0
10000.0,300000.0,169000.0
10000.0,300000.0,171000.0
10000.0,300000.0,173000.0
10000.0,300000.0,175000.0
10000.0,300000.0,178000.0
10000.0,300000.0,182000.0
10000.0,300000.0,187000.0
10000.0,300000.0,197000.0
