Model,Equation,R2_score,Ea,A
D5,((1 - a)**(-1/3) - 1)**2,0.9983327418971792,400833.29802976304,34689685.485097565
F3/2,(1 - a)**(-1/2) - 1,0.9978673903829908,210150.9185042933,8384007.543596425
G6,(-np.log(1 - a))**4,0.9828233894905198,716778.2619327256,119391088.21153024
G5,(-np.log(1 - a))**3,0.9826425672936818,535362.0661706552,64784723.14696543
G4,(-np.log(1 - a))**2,0.9822735493269671,353945.87040858465,26685883.868747752
A2/3,(-np.log(1 - a))**(3/2),0.9818944197146457,263237.77252754977,13826420.40418761
A3/4,(-np.log(1 - a))**(4/3),0.9817009546855673,233001.73990053788,10456848.893179262
F1/A1,-np.log(1 - a),0.9811044167045312,172529.67464651447,5092749.342968336
A3/2,(-np.log(1 - a))**(2/3),0.97983436888417,112057.60939249118,1560809.6824152083
A2,(-np.log(1 - a))**(1/2),0.9784522647250932,81821.57676547946,480286.816944735
A5/2,(-np.log(1 - a))**(2/5),0.9769454370025892,63679.9571892724,49792.603397019266
A3,(-np.log(1 - a))**(1/3),0.9752994411247619,51585.544138467696,-147800.88165005684
A4,(-np.log(1 - a))**(1/4),0.9715214220248668,36467.527824961864,-298511.74075206456
F2,(1 - a)**(-1) - 1,0.968836279280289,257804.16281021092,14157409.675327245
F3/4,1 - (1 - a)**(1/4),0.9619388401294421,160400.60999700523,3864162.251346775
D3,(1 - (1 - a)**(1/3))**2,0.9588274768555737,323474.8918974006,20582527.255317688
R3,1 - (1 - a)**(1/3),0.9561139153409177,157294.18539092236,3698520.8418775597
G8,(1 - (1 - a)**(1/3))**(1/2),0.9499407109261787,74203.83213768336,195730.0680187967
R2,1 - (1 - a)**(1/2),0.9458777435831754,152132.1139050474,3416507.7247485784
D4,1 - (2*a/3) - (1 - a)**(2/3),0.9452223287255636,309297.98433955805,18370657.113206625
D2,a + (1 - a)*np.log(1 - a),0.9392226583358539,303378.9679692106,18046715.055656742
G7,(1 - (1 - a)**(1/2))**(1/2),0.9381931420913802,71622.7963947458,147282.68597880128
F1/3,1 - (1 - a)**(2/3),0.9373496151892706,148015.40837068667,3192045.9913366027
D1,a**2,0.9288051556308249,292419.6283390342,16681585.255172417
P3/2,a**(3/2),0.9272322912100418,217093.09097538664,8399729.766826166
D7,1 + (2*a/3) - (1 + a)**(2/3),0.9244654262560709,286735.7515974765,15079943.593388308
F0/R1/P1,a,0.9239465154105595,141766.55361173936,2858539.7028011326
D6,((1 + a)**(1/3) - 1)**2,0.9223060215909923,284042.0549351133,14705494.98474238
D8,((1 + a)**(-1/3) - 1)**2,0.9155988004989544,276244.46720367274,13645930.887789782
P2,a**(1/2),0.9128367526960864,66440.01624809181,51840.90262054905
P3,a**(1/3),0.8994841599639186,41331.170460209316,-285428.6047538906
G1,1 - (1 - a)**2,0.8980569991920839,130353.47483694488,2283053.528315518
F3,(1 - a)**(-2) - 1,0.88709426240223,362428.6932338949,31417151.807117525
P4,a**(1/4),0.8833019348341993,28776.747566268048,-353792.1980537426
G2,1 - (1 - a)**3,0.8812623726091571,123426.83473052942,1958470.6259935333
G3,1 - (1 - a)**4,0.8685738265905507,118443.9526562703,1737283.121334846
B1,np.log(a / (1 - a)),0.7662035001479379,107338.40199874548,1415157.5129882332
