T;DTG;Synthesis;Sublimation;Destruction;Undefined;Cumulative
30.677;0;-4.96E-13;0;-1.85E-89;-2.43E-194;-4.96E-13
31.63192;0;-6.24E-13;0;-7.06E-89;-2.80E-193;-6.24E-13
32.58683;0;-7.85E-13;0;-2.68E-88;-3.20E-192;-7.85E-13
33.54175;0;-9.86E-13;0;-1.02E-87;-3.63E-191;-9.86E-13
34.49666;0;-1.24E-12;0;-3.83E-87;-4.10E-190;-1.24E-12
35.45158;0;-1.55E-12;0;-1.44E-86;-4.59E-189;-1.55E-12
36.40649;0;-1.94E-12;0;-5.38E-86;-5.11E-188;-1.94E-12
37.36141;0;-2.43E-12;0;-2.00E-85;-5.64E-187;-2.43E-12
38.31632;0;-3.04E-12;-2.5E-323;-7.42E-85;-6.19E-186;-3.04E-12
39.27124;0;-3.79E-12;-1.301E-320;-2.74E-84;-6.75E-185;-3.79E-12
40.22615;0;-4.73E-12;-7.015263E-318;-1.00E-83;-7.31E-184;-4.73E-12
41.18107;0;-5.89E-12;-3.68196847E-315;-3.67E-83;-7.86E-183;-5.89E-12
42.13598;0;-7.33E-12;-1.880755209874E-312;-1.34E-82;-8.40E-182;-7.33E-12
43.0909;0;-9.11E-12;-9.35098625970934E-310;-4.84E-82;-8.91E-181;-9.11E-12
44.04581;0;-1.13E-11;-4.52E-307;-1.75E-81;-9.39E-180;-1.13E-11
45.00073;0;-1.40E-11;-2.13E-304;-6.27E-81;-9.83E-179;-1.40E-11
45.95564;0;-1.74E-11;-9.77E-302;-2.24E-80;-1.02E-177;-1.74E-11
46.91056;0;-2.16E-11;-4.36E-299;-7.97E-80;-1.06E-176;-2.16E-11
47.86547;0;-2.67E-11;-1.89E-296;-2.82E-79;-1.08E-175;-2.67E-11
48.82039;0;-3.30E-11;-8.00E-294;-9.96E-79;-1.10E-174;-3.30E-11
49.7753;0;-4.07E-11;-3.29E-291;-3.50E-78;-1.12E-173;-4.07E-11
50.73022;0;-5.02E-11;-1.32E-288;-1.22E-77;-1.12E-172;-5.02E-11
51.68513;0;-6.18E-11;-5.13E-286;-4.25E-77;-1.12E-171;-6.18E-11
52.64005;0;-7.61E-11;-1.95E-283;-1.47E-76;-1.11E-170;-7.61E-11
53.59496;0;-9.35E-11;-7.19E-281;-5.09E-76;-1.09E-169;-9.35E-11
54.54988;0;-1.15E-10;-2.58E-278;-1.75E-75;-1.07E-168;-1.15E-10
55.50479;0;-1.41E-10;-9.03E-276;-5.97E-75;-1.04E-167;-1.41E-10
56.45971;0;-1.73E-10;-3.07E-273;-2.03E-74;-1.00E-166;-1.73E-10
57.41462;0;-2.12E-10;-1.02E-270;-6.88E-74;-9.62E-166;-2.12E-10
58.36954;0;-2.59E-10;-3.28E-268;-2.32E-73;-9.16E-165;-2.59E-10
59.32445;0;-3.16E-10;-1.03E-265;-7.80E-73;-8.67E-164;-3.16E-10
