T;DTG;Synthesis;Sublimation;Destruction;Undefined;Cumulative
30.677;0;-1.78E-11;-1.77E-99;-2.38E-93;-7.01E-179;-1.78E-11
31.63192;0;-2.14E-11;-1.12E-98;-9.11E-93;-6.01E-178;-2.14E-11
32.58683;0;-2.58E-11;-7.04E-98;-3.47E-92;-5.11E-177;-2.58E-11
33.54175;0;-3.10E-11;-4.38E-97;-1.31E-91;-4.33E-176;-3.10E-11
34.49666;0;-3.73E-11;-2.71E-96;-4.96E-91;-3.64E-175;-3.73E-11
35.45158;0;-4.47E-11;-1.66E-95;-1.86E-90;-3.05E-174;-4.47E-11
36.40649;0;-5.37E-11;-1.01E-94;-6.97E-90;-2.54E-173;-5.37E-11
37.36141;0;-6.43E-11;-6.13E-94;-2.60E-89;-2.10E-172;-6.43E-11
38.31632;0;-7.70E-11;-3.67E-93;-9.64E-89;-1.73E-171;-7.70E-11
39.27124;0;-9.22E-11;-2.19E-92;-3.56E-88;-1.41E-170;-9.22E-11
40.22615;0;-1.10E-10;-1.29E-91;-1.31E-87;-1.15E-169;-1.10E-10
41.18107;0;-1.32E-10;-7.58E-91;-4.80E-87;-9.29E-169;-1.32E-10
42.13598;0;-1.57E-10;-4.41E-90;-1.75E-86;-7.47E-168;-1.57E-10
43.0909;0;-1.88E-10;-2.55E-89;-6.35E-86;-5.97E-167;-1.88E-10
44.04581;0;-2.24E-10;-1.46E-88;-2.30E-85;-4.75E-166;-2.24E-10
45.00073;0;-2.66E-10;-8.29E-88;-8.27E-85;-3.76E-165;-2.66E-10
45.95564;0;-3.17E-10;-4.68E-87;-2.97E-84;-2.95E-164;-3.17E-10
46.91056;0;-3.77E-10;-2.62E-86;-1.06E-83;-2.31E-163;-3.77E-10
47.86547;0;-4.48E-10;-1.46E-85;-3.76E-83;-1.79E-162;-4.48E-10
48.82039;0;-5.32E-10;-8.04E-85;-1.33E-82;-1.39E-161;-5.32E-10
49.7753;0;-6.31E-10;-4.40E-84;-4.70E-82;-1.07E-160;-6.31E-10
50.73022;0;-7.48E-10;-2.39E-83;-1.65E-81;-8.14E-160;-7.48E-10
51.68513;0;-8.87E-10;-1.29E-82;-5.76E-81;-6.19E-159;-8.87E-10
52.64005;0;-1.05E-09;-6.90E-82;-2.00E-80;-4.67E-158;-1.05E-09
53.59496;0;-1.24E-09;-3.67E-81;-6.94E-80;-3.51E-157;-1.24E-09
54.54988;0;-1.47E-09;-1.93E-80;-2.40E-79;-2.62E-156;-1.47E-09
55.50479;0;-1.73E-09;-1.01E-79;-8.23E-79;-1.95E-155;-1.73E-09
56.45971;0;-2.05E-09;-5.25E-79;-2.81E-78;-1.44E-154;-2.05E-09
57.41462;0;-2.41E-09;-2.70E-78;-9.58E-78;-1.06E-153;-2.41E-09
58.36954;0;-2.84E-09;-1.38E-77;-3.25E-77;-7.71E-153;-2.84E-09
59.32445;0;-3.35E-09;-7.01E-77;-1.10E-76;-5.60E-152;-3.35E-09
60.27937;0;-3.94E-09;-3.53E-76;-3.69E-76;-4.04E-151;-3.94E-09
61.23428;0;-4.63E-09;-1.76E-75;-1.24E-75;-2.90E-150;-4.63E-09
62.1892;0;-5.44E-09;-8.75E-75;-4.12E-75;-2.07E-149;-5.44E-09
63.14411;0;-6.38E-09;-4.31E-74;-1.37E-74;-1.47E-148;-6.38E-09
64.09903;0;-7.48E-09;-2.10E-73;-4.52E-74;-1.04E-147;-7.48E-09
65.05394;0;-8.77E-09;-1.02E-72;-1.49E-73;-7.28E-147;-8.77E-09
66.00886;0;-1.03E-08;-4.91E-72;-4.88E-73;-5.08E-146;-1.03E-08
66.96377;0;-1.20E-08;-2.34E-71;-1.59E-72;-3.52E-145;-1.20E-08
67.91869;0;-1.40E-08;-1.11E-70;-5.17E-72;-2.43E-144;-1.40E-08
68.8736;0;-1.64E-08;-5.22E-70;-1.67E-71;-1.67E-143;-1.64E-08
69.82852;0;-1.92E-08;-2.44E-69;-5.39E-71;-1.14E-142;-1.92E-08
70.78343;0;-2.24E-08;-1.13E-68;-1.73E-70;-7.71E-142;-2.24E-08
71.73835;0;-2.61E-08;-5.18E-68;-5.52E-70;-5.20E-141;-2.61E-08
72.69326;0;-3.03E-08;-2.36E-67;-1.76E-69;-3.48E-140;-3.03E-08
73.64818;0;-3.53E-08;-1.07E-66;-5.56E-69;-2.32E-139;-3.53E-08
