error_min,error_max,true
,,
93000.0,101000.0,97000.0
101000.0,104000.0,102000.0
104000.0,105000.0,104000.0
103000.0,108000.0,105000.0
103000.0,110000.0,106000.0
103000.0,111000.0,107000.0
103000.0,113000.0,108000.0
103000.0,114000.0,108000.0
103000.0,115000.0,109000.0
103000.0,116000.0,109000.0
102000.0,117000.0,110000.0
102000.0,118000.0,110000.0
102000.0,119000.0,110000.0
102000.0,119000.0,111000.0
102000.0,120000.0,111000.0
102000.0,120000.0,111000.0
102000.0,121000.0,112000.0
102000.0,122000.0,112000.0
102000.0,122000.0,112000.0
102000.0,122000.0,112000.0
102000.0,123000.0,112000.0
102000.0,123000.0,113000.0
102000.0,124000.0,113000.0
102000.0,124000.0,113000.0
102000.0,124000.0,113000.0
102000.0,125000.0,113000.0
102000.0,125000.0,114000.0
102000.0,125000.0,114000.0
102000.0,125000.0,114000.0
102000.0,126000.0,114000.0
102000.0,126000.0,114000.0
102000.0,126000.0,114000.0
102000.0,127000.0,114000.0
102000.0,127000.0,115000.0
102000.0,127000.0,115000.0
103000.0,127000.0,115000.0
103000.0,127000.0,115000.0
103000.0,127000.0,115000.0
103000.0,128000.0,115000.0
103000.0,128000.0,115000.0
103000.0,128000.0,115000.0
103000.0,128000.0,115000.0
103000.0,128000.0,116000.0
103000.0,128000.0,116000.0
103000.0,129000.0,116000.0
103000.0,129000.0,116000.0
103000.0,129000.0,116000.0
103000.0,129000.0,116000.0
103000.0,129000.0,116000.0
103000.0,129000.0,116000.0
103000.0,130000.0,116000.0
103000.0,130000.0,117000.0
104000.0,130000.0,117000.0
104000.0,130000.0,117000.0
104000.0,130000.0,117000.0
104000.0,130000.0,117000.0
104000.0,131000.0,117000.0
104000.0,131000.0,117000.0
104000.0,131000.0,117000.0
104000.0,131000.0,118000.0
104000.0,131000.0,118000.0
104000.0,131000.0,118000.0
104000.0,132000.0,118000.0
104000.0,132000.0,118000.0
104000.0,132000.0,118000.0
104000.0,132000.0,118000.0
104000.0,133000.0,118000.0
104000.0,133000.0,119000.0
104000.0,133000.0,119000.0
104000.0,133000.0,119000.0
104000.0,134000.0,119000.0
105000.0,134000.0,119000.0
104000.0,134000.0,119000.0
104000.0,135000.0,120000.0
105000.0,135000.0,120000.0
105000.0,135000.0,120000.0
105000.0,136000.0,120000.0
105000.0,136000.0,120000.0
104000.0,137000.0,121000.0
105000.0,137000.0,121000.0
105000.0,138000.0,121000.0
104000.0,139000.0,121000.0
104000.0,139000.0,122000.0
104000.0,140000.0,122000.0
104000.0,140000.0,122000.0
104000.0,141000.0,123000.0
104000.0,142000.0,123000.0
104000.0,143000.0,123000.0
104000.0,144000.0,124000.0
104000.0,145000.0,124000.0
103000.0,147000.0,125000.0
103000.0,148000.0,126000.0
103000.0,150000.0,126000.0
103000.0,152000.0,127000.0
102000.0,154000.0,128000.0
101000.0,157000.0,129000.0
100000.0,161000.0,131000.0
98000.0,167000.0,133000.0
95000.0,178000.0,136000.0
