,conversion,A,Ea
0,1e-05,548.9561710043519,46257.48989530881
1,0.01001,5629358.117185342,87127.20486522748
2,0.02001,14879062.64394307,91428.4085307152
3,0.03001,25095638.722762246,93741.6806701658
4,0.04001,35295284.87548811,95250.94949589222
5,0.05001,45023448.126204774,96328.2158577306
6,0.06001,54119014.948414445,97142.47895778858
7,0.07001,62491473.53389772,97779.03276128054
8,0.08001,70199451.69515172,98293.73997025388
9,0.0900099999999999,76891667.07806669,98696.69369454308
10,0.10001,82910682.53048322,99030.2119301288
11,0.11001,88171554.3677347,99302.45794572771
12,0.1200099999999999,91547211.89355074,99468.71796140433
13,0.13001,96109156.0186168,99683.9188280626
14,0.14001,97741053.65400599,99758.42781920783
15,0.15001,100536320.04779747,99883.20943497238
16,0.16001,102410289.78543569,99964.93631152905
17,0.17001,102596526.21973157,99972.9765374544
18,0.18001,102980508.23140065,99989.50789706018
19,0.19001,102900681.75402835,99986.07625405044
20,0.20001,102336560.5127829,99961.74922008657
21,0.21001,101371488.04332559,99919.8190356332
22,0.22001,100080079.26236147,99863.081454194
23,0.23001,98531837.77581641,99794.08703232782
24,0.24001,96785501.52506569,99714.9517003906
25,0.25001,94284093.3293678,99599.07674384573
26,0.26001,91594943.62733454,99471.02465910994
27,0.27001,88866893.8499864,99337.21983038864
28,0.28001,86134787.36868729,99199.0343306432
29,0.29001,83580356.00538121,99065.81163212495
30,0.30001,80417516.54487795,98895.0994267512
31,0.31001,77391303.68672466,98725.35589722852
32,0.32001,74481555.80764471,98555.7659429094
33,0.33001,71193932.4285036,98355.99095582208
34,0.34001,68018851.30112931,98154.09723380912
35,0.35001,65181399.56468518,97965.53230114894
36,0.36001,62018375.70732424,97745.40320623858
37,0.37001,58871147.86035397,97514.9358340132
38,0.38001,56137365.59394064,97304.51558352853
39,0.39001,53083482.98743643,97056.9833318457
40,0.40001,50279834.10085145,96816.85936335695
41,0.41001,47468448.767843746,96562.23332151052
42,0.42001,44825982.09577468,96308.76451647907
43,0.43001,42298782.54599841,96051.96656749428
44,0.44001,39687298.47152212,95769.95561025909
45,0.45001,37415330.18860515,95509.0817224381
46,0.46001,35029652.21963176,95217.51875796812
47,0.47001,32842348.221146736,94932.19318425436
48,0.48001,30734800.801272124,94638.69376429595
49,0.49001,28729460.847076133,94340.10842523248
50,0.50001,26805405.453596953,94033.34930524226
51,0.51001,25005515.01248395,93725.75991771305
52,0.52001,23272902.864749182,93407.9944761288
53,0.53001,21650273.741504356,93088.171567006
54,0.54001,20113078.414687607,92762.25853257388
55,0.55001,18656927.283072863,92429.68574472136
56,0.56001,17293712.70877633,92093.9190151516
57,0.57001,16011034.441921305,91752.88456997224
58,0.5800099999999999,14800015.896860816,91404.83598960076
59,0.5900099999999999,13670413.361201964,91053.49285228728
60,0.6000099999999999,12608713.210500771,90695.72674560628
61,0.6100099999999999,11618710.545374952,90333.86488357208
62,0.62001,10690689.284509344,89965.48788098365
63,0.63001,9830977.919300634,89594.49457758921
64,0.64001,9022060.42995231,89214.51401647303
65,0.65001,8272936.131035527,88830.91541880456
66,0.66001,7580252.068751185,88443.95462064793
67,0.67001,6928315.514698934,88045.98938648457
68,0.68001,6331497.127426343,87647.35925418958
69,0.69001,5774912.779314684,87240.172481447
70,0.70001,5259758.983432445,86826.68241328232
71,0.7100099999999999,4783946.988940044,86407.07959705357
72,0.7200099999999999,4348405.373902218,85984.65579476189
73,0.7300099999999999,3937154.312213637,85544.99879543518
74,0.74001,3568411.5250299266,85109.82607503491
75,0.75001,3224746.778091898,84661.69408474445
76,0.76001,2905649.0668491106,84200.58928701885
77,0.77001,2615886.8562280214,83735.69652101272
78,0.78001,2353182.669017445,83267.34836174147
79,0.79001,2107305.27617959,82778.9789255815
80,0.80001,1880090.0042439175,82274.09593120751
81,0.81001,1678263.5209309715,81771.5598930506
82,0.82001,1488791.227948032,81241.43174287604
83,0.83001,1324560.7600522474,80724.18771284111
84,0.8400099999999999,1165464.3390205477,80157.92169002422
85,0.8500099999999999,1023305.0405742079,79582.27123581295
86,0.8600099999999999,895318.283605403,78990.99212585721
87,0.87001,778372.3953402801,78371.5655677394
88,0.88001,671287.3015214946,77716.58781802705
89,0.89001,578350.1200131051,77057.14082192206
90,0.90001,493951.52066488634,76359.08640548505
91,0.91001,414532.22629140224,75583.39201911162
92,0.92001,344101.84530111996,74759.34519860818
93,0.93001,282559.0801177051,73887.34163663475
94,0.94001,226930.5694740519,72917.12521665583
95,0.95001,176535.42748525302,71805.83505548707
96,0.96001,133472.1655387858,70568.39716625061
97,0.97001,94622.65165278305,69046.11463587866
98,0.98001,60591.317832549525,67073.56225716807
99,0.99001,30588.69183688419,64048.78226584128
