rate,slope,intercept,std_err
3,0.000222383220185,-5.138394632300317,3.2519933419722382e-06
5,0.0002158640926399,-4.6384641507569135,3.073407145531411e-06
10,0.00021031426211855553,-3.545814494485697,2.7331746045041584e-06
