rate,slope,intercept,std_err
3,0.0002149429057226,-3.1386270662298053,1.7619772101848829e-06
5,0.0002087197881861,-3.462593360845073,1.9290086051677467e-06
10,0.0002030081119502452,-3.584653338024136,2.4512712687747418e-06
