conversion,OFW,KAS,Starink
1e-05,64074.477416716494,77383.25296727785,76373.19132766088
0.01001,98611.37668275485,114404.28708019789,113073.09754742104
0.02001,103502.15018768066,119620.30739059606,118244.90632427613
0.03001,106530.31763947193,122847.944785648,121445.26067509019
0.040010000000000004,108732.82979245172,125195.19626925558,123772.68442078549
0.050010000000000006,110550.80066027844,127131.43100776216,125692.61057463937
0.06001,112009.47300645521,128685.47359284248,127233.54491392891
0.07001,113292.49568504065,130052.02721220594,128588.58565688904
0.08001,114397.61389476637,131229.39780287363,129756.02528120071
0.09000999999999999,115379.03457721896,132274.98683040723,130792.79477400811
0.10001,116295.7340846238,133251.10436303765,131760.6990861083
0.11001,117083.18251951372,134090.43249662008,132592.93206069106
0.12000999999999999,117889.3969408973,134948.6195593234,133443.90932561818
0.13001000000000001,118557.82107718078,135661.16267178574,134150.42586889068
0.14001000000000002,119209.19583566766,136355.05567427463,134838.46865879808
0.15001,119835.11249920876,137021.9670815263,135499.75191689676
0.16001,120386.66350604262,137609.7751931919,136082.59423194377
0.17001000000000002,120928.66780301313,138187.5846093188,136655.51544255624
0.18001,121426.0962655633,138717.75945351168,137181.20952998626
0.19001,121944.97389243379,139270.4950760982,137729.2854905234
0.20001000000000002,122339.67877524965,139692.17525505266,138147.3630235249
0.21001,122829.8664418517,140214.08041382962,138664.87894558485
0.22001,123212.36432453975,140622.46078229765,139069.78039859352
0.23001000000000002,123594.78621791201,141030.62017156728,139474.46822297052
0.24001,124010.53524276348,141473.59647653243,139913.70629016528
0.25001,124347.03434952967,141833.01427876615,140270.05646135294
0.26001,124689.5766697193,142198.77591582222,140632.70066016976
0.27001000000000003,125040.2645905647,142572.78043490977,141003.53526932962
0.28001000000000004,125355.16324862465,142909.04596131013,141336.93392099233
0.29001,125671.0718918748,143246.373941353,141671.38659613952
0.30001,125956.65589662071,143551.56556950233,141973.96728854347
0.31001,126248.38295196104,143863.0895463439,142282.83523721114
0.32001,126540.95095841083,144175.4981618255,142592.58080524064
0.33001,126783.17190914946,144434.84296263123,142849.68761712624
0.34001000000000003,127041.09143591445,144710.51700567594,143123.00144153976
0.35001000000000004,127309.51747191975,144997.21711724144,143407.25488866115
0.36001,127559.07097844052,145264.02461323765,143671.7751344055
0.37001,127756.92899505438,145476.34570663515,143882.2454865887
0.38001,127992.73048106385,145728.48218911912,144132.21924622732
0.39001,128237.50518621785,145990.03572661235,144391.53622597622
0.40001000000000003,128439.64545024876,146206.65177839907,144606.27578155708
0.41001000000000004,128621.95451642037,146402.36721429703,144800.2821148575
0.42001,128826.56644723607,146621.48644647477,145017.5088340435
0.43001,129047.7921339116,146858.04000433505,145252.03323130633
0.44001,129221.59805320443,147044.61316583978,145436.9776639733
0.45001,129387.69672274405,147223.06414444442,145613.86493726188
0.46001000000000003,129557.75981415916,147405.67566497836,145794.88013031663
0.47001000000000004,129756.00107306393,147617.85657112353,146005.23296967536
0.48001,129915.12151256319,147788.80507617572,146174.68371664424
0.49001,130064.78769588619,147949.78945007804,146334.25013721987
0.50001,130214.57266178665,148110.8987795122,146493.9405217658
0.51001,130376.6749539631,148284.93380906183,146666.45529639118
0.52001,130530.27303700456,148449.9429118212,146830.0189332795
0.53001,130663.62171728657,148593.60913490533,146972.4106858853
0.54001,130797.03368707214,148737.34193860943,147114.86849069153
0.55001,130930.50870529514,148881.141069602,147257.39209636592
0.56001,131076.49455778787,149038.06639504086,147412.93911729258
0.57001,131193.81918574145,149164.747589083,147538.48571116643
0.5800099999999999,131311.16047671187,149291.4463162603,147664.04969887904
0.5900099999999999,131428.5181469715,149418.1622784015,147789.63078461293
0.6000099999999999,131545.89191189976,149544.8951763929,147915.22867161696
0.6100099999999999,131663.74562602214,149672.08843709214,148041.28503526913
0.62001,131765.40282745735,149782.183370423,148150.38113748585
0.63001,131867.03991587614,149892.2571519734,148259.45625551068
0.64001,131968.65661821017,150002.30949480843,148368.51010467313
0.65001,132070.79818556271,150112.91658029912,148478.11419120594
0.66001,132166.9288331385,150217.16247779995,148581.4090714154
0.67001,132253.19521335172,150310.98782219196,148674.36782131167
0.68001,132339.41648078314,150404.7657177014,148767.27949851626
0.69001,132425.59241795092,150498.49593586125,148860.14387636335
0.70001,132512.82938317518,150593.34735266923,148954.1203561573
0.7100099999999999,132592.8109188365,150680.54618444588,149040.50577433823
0.7200099999999999,132663.97183049883,150758.43671374186,149117.6579164876
0.7300099999999999,132735.07810191714,150836.26977216682,149194.75304346075
0.74001,132806.12960328764,150914.04522343332,149271.79102004203
0.75001,132878.07645776295,150992.76670276542,149349.76735317195
0.76001,132946.35173859078,151067.62702914278,149423.91312414297
0.77001,133003.0224658267,151130.28673113065,149485.95480877731
0.78001,133059.64934238372,151192.9003106607,149547.95073666875
0.79001,133116.2323292109,151255.46772679992,149609.90086720343
0.80001,133172.3420867607,151317.53552311283,149671.35541388794
0.81001,133228.76767734677,151379.9464922192,149733.14997658055
0.82001,133273.35011338163,151430.01070978335,149782.69132357417
0.83001,133317.9190781017,151480.0607581748,149832.21861374378
0.8400099999999999,133362.31256834388,151529.92554595848,149881.56213987732
0.8500099999999999,133401.9508708142,151574.76855256187,149925.9245070467
0.8600099999999999,133433.509860418,151611.1537033032,149961.89449414457
0.87001,133474.6763449783,151657.97014507864,150008.20011892112
0.88001,133515.83364826997,151704.77692999135,150054.4961634039
0.89001,133551.01738273707,151745.27525126978,150094.5347744893
0.90001,133576.39808312475,151775.4212140349,150124.30475874114
0.91001,133559.29782500505,151761.38035912102,150110.21864804797
0.92001,133624.6428523246,151834.46111511198,150182.54726362464
0.93001,133681.2492474668,151898.31370438306,150245.72234577505
0.94001,133664.4990006138,151884.95801646222,150232.30338665584
0.95001,133615.2810833802,151838.9246051585,150186.40738982245
0.9600099999999999,133785.0422630967,152023.73465041872,150369.50381233444
0.9700099999999999,133475.61038374927,151704.99465948396,150053.0243631479
0.9800099999999999,133877.05414020494,152137.52520991862,150481.71690450583
0.99001,133864.00056688947,152139.24695382937,150482.81172572484
