conversion,OFW,KAS,Starink
0.03001,127926.21901696142,143418.04561862673,141929.02687511468
0.040010000000000004,124158.41984141916,139498.45090150123,138038.78886147635
0.050010000000000006,121197.1472588998,136417.95363293157,134981.36055979042
0.06001,118784.18529053983,133908.07827433757,132490.2714884817
0.07001,116842.72076805029,131890.0784637203,130487.31846735236
0.08001,115120.90177207366,130100.15208980767,128710.7475722064
0.09000999999999999,113607.467756177,128527.03736766645,127149.36321045604
0.10001,112226.56105005025,127091.53162493497,125724.56750885294
0.11001,110996.06887207531,125812.7789381635,124455.33964164057
0.12000999999999999,109920.32014597322,124695.60503867148,123346.45625879696
0.13001000000000001,108960.73431577963,123699.71209262818,122357.92788584431
0.14001000000000002,108046.46215372827,122750.43634476926,121415.68851032472
0.15001,107226.6008813659,121899.80212222323,120571.33472462531
0.16001,106476.29682043234,121121.76205779283,119799.02196992552
0.17001000000000002,105736.33028631419,120353.93455629708,119036.8670163623
0.18001,105068.40291126537,119661.58122344954,118349.59957243802
0.19001,104432.78444223008,119002.50983982481,117695.3779916278
0.20001000000000002,103868.64180680978,118418.42092252754,117115.55211592939
0.21001,103266.93780999524,117794.37293361602,116496.1019437658
0.22001,102772.16578436707,117282.5128992349,115987.9614280474
0.23001000000000002,102256.63856870554,116748.50705613419,115457.86321910708
0.24001,101780.14981457984,116255.3275723986,114968.27695803574
0.25001,101342.83815584185,115803.1201001448,114519.34714854861
0.26001,100876.6686272189,115320.31766082367,114040.07457363507
0.27001000000000003,100502.62178355524,114934.20877686782,113656.73685560009
0.28001000000000004,100076.25096489833,114492.88815335857,113218.63221014576
0.29001,99717.47146950137,114122.41853440326,112850.82638141238
0.30001,99354.69245902954,113747.73849534451,112478.84366488764
0.31001,99003.00895088204,113384.37326071472,112118.10014577307
0.32001,98655.15227918478,113025.02993795167,111761.34677414862
0.33001,98361.16995570436,112722.1910025944,111460.65614506596
0.34001000000000003,98021.81018768996,112371.46597269675,111112.46538341933
0.35001000000000004,97738.59823875948,112079.67527010567,110822.74650117882
0.36001,97454.8819999087,111787.34040617337,110532.48831793884
0.37001,97161.81320569913,111484.94399109861,110232.25727296631
0.38001,96895.87532827837,111211.02608998424,109960.28123035603
0.39001,96632.90556349215,110940.21349684367,109691.38653083485
0.40001000000000003,96381.88696340943,110681.77821031153,109434.77865607094
0.41001000000000004,96124.38563913963,110416.49213351155,109171.37559113676
0.42001,95897.76179451832,110183.60549671875,108940.11814797939
0.43001,95667.27338491808,109946.59171407673,108704.76875947505
0.44001,95427.84882105513,109700.08341361105,108460.00392406422
0.45001,95221.27162990438,109488.04668412713,108249.44040371863
0.46001000000000003,95007.18856490507,109268.12232425234,108031.05151398155
0.47001000000000004,94795.94896285725,109051.05804139303,107815.50521041082
0.48001,94595.8671043463,108845.67126441094,107611.54613252504
0.49001,94391.76718494127,108636.06259178973,107403.39846355219
0.50001,94212.37729292928,108452.36893640141,107220.96330896017
0.51001,94018.67051433687,108253.52766088532,107023.50417628312
0.52001,93827.90774622011,108057.77719493906,106829.111572522
0.53001,93658.039363654,107883.94319956082,106656.46405555637
0.54001,93484.83958445146,107706.58732505185,106480.32329540035
0.55001,93304.92663557747,107522.09952293766,106297.10997504514
0.56001,93141.85379044624,107355.2783699606,106131.42504232512
0.57001,92977.2891925706,107186.89024297544,105964.18547865041
0.5800099999999999,92816.00694649617,107021.92031216748,105800.33836506885
0.5900099999999999,92659.26263938172,106861.64034447992,105641.14732397412
0.6000099999999999,92499.84145767591,106698.54780761841,105479.16589667897
0.6100099999999999,92346.41313852216,106541.74438648728,105323.42428164351
0.62001,92202.97048529594,106395.40301481873,105178.0633851658
0.63001,92050.22284323565,106239.23380485883,105022.95419633706
0.64001,91899.9117175604,106085.61914042398,104870.37962289866
0.65001,91759.78613799356,105942.69244648807,104728.40927511473
0.66001,91620.17077166156,105800.30151693705,104586.9704785031
0.67001,91473.9163802044,105650.88556425848,104438.56403072173
0.68001,91334.68824170962,105508.8416945785,104297.47193254599
0.69001,91196.17510174545,105367.54993146277,104157.12597468795
0.70001,91058.66988875432,105227.31755272856,104017.83103128782
0.7100099999999999,90921.51710650645,105087.4300370226,103878.87924145185
0.7200099999999999,90784.18508623009,104947.3487912251,103739.73546429022
0.7300099999999999,90647.54318288558,104807.99345419455,103601.311838455
0.74001,90508.09616525334,104665.69756457114,103459.97058395049
0.75001,90372.94483995122,104527.91811463436,103323.11002868449
0.76001,90238.80581499127,104391.204495552,103187.30680994509
0.77001,90094.59539196144,104243.9284139856,103041.02366222214
