Model,Equation,R2_score,Ea,A
E1,a,0.9978804527517743,-563945.5493901573,7.098164539689738e-49
E2,a / 2,0.9978804527517741,-563945.5493901575,1.4196329079378902e-48
F3,(1 - a)**3,0.9931641373081646,1157902.8659293898,6.21439381942436e+97
P4,4*a**(3/4),0.9758135207956679,-512651.4797504144,2.0946077463322086e-45
B1,1 / (a - (1 - a)),0.9644593758929513,-511280.629704892,9.693751769913004e-45
P3,3*a**(2/3),0.9598381245035559,-495553.4565371669,6.358875470551503e-44
F2,(1 - a)**2,0.9565505675636755,652345.4870091977,3.761289092030483e+54
G3,1 / (4*(1 - a)**3),0.9367811779559644,-1875441.4075917632,1.222042805456023e-161
G2,1 / (3*(1 - a)**2),0.9162986219079493,-1369884.0286715704,1.5142923884905282e-118
P2,2*a**(1/2),0.912068368838788,-461357.4101106717,4.944806885174294e-41
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.8745187535868154,-92772.455630769,1.3619910165208028e-09
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.8673187864677514,-172625.97687069396,3.139911608791842e-15
G1,1 / (2*(1 - a)),0.8649477182365934,-864326.6497513781,1.667940437366933e-75
F3/2,2*(1 - a)**(3/2),0.848216916046959,399566.797549102,4.626746340274789e+32
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.7602056260092371,740608.3562223538,2.008439600894955e+60
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.7075225214886328,-492040.0618303935,3.248040615657028e-41
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.6912997312082207,-66154.6152174607,2.749340832664659e-07
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.6680606672416338,-811454.1467900932,2.986571783717277e-67
F0/R1/P1,"np.full_like(a, 1)",0.6379818052627279,-358769.2708311866,1.3778838174260677e-32
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.4652840556992124,306495.15056885575,4.112060836006294e+24
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.4393453941420447,253259.46974223907,1.5946882847577987e+20
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.3870058534882408,-44860.342886814055,1.830215842154699e-05
F1/3,(3/2)*(1 - a)**(1/3),0.37245445917853237,-190250.14452445568,2.3396022284539106e-18
F1/A1,(1 - a),0.34670686037408294,146788.10808900578,227653670573.75784
P3/2,(2/3)/a**(1/2),0.2931714602301963,-256181.13155170088,2.8796329033857467e-24
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.19022891890778637,235050.97730208328,1.215616869842954e+17
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.19022891890778637,235050.97730208328,5.4702759142932954e+17
R2,2*(1 - a)**(1/2),0.16853363906105104,-105990.58137109033,2.8003584978589514e-11
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.1481620724991468,-206942.0323999838,8.804887070442753e-22
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.11128853934242304,-180656.38596493588,2.1127405296651146e-19
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.10423803149349607,40316.746435772555,288.88233641961585
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.1001127573070374,-171894.5038199473,1.3128656579254458e-18
D1,1 / (2*a),0.07871912555188731,-153592.99227221543,5.349449998542182e-16
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.06613277774843429,132010.3952746019,1622958288.5667639
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.026488432961900333,-12918.93439084408,0.00945259490178897
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.01684249099413208,66531.8509954309,477.28307339313164
R3,3*(1 - a)**(2/3),0.009324592043822069,-21731.018217724988,0.00029794267764959566
F3/4,4*(1 - a)**(3/4),0.008654735471479824,20398.76335895773,0.8926868788662707
D2,1 / (-np.log(1 - a)),0.005557759297717459,-39355.185871486574,1.998019993829936e-06
