model_name,coeffs
Sestak-Berggen,[ 7.92968543  7.55318064 -0.57988998 -7.15588003]
Perez-Maqueda,[6.20588229 0.31950788 2.47197119]
Cai-Liu,[ 20.           0.61643038  -0.32065228 -20.        ]
