model_name,coeffs
Sestak-Berggen,[17.55304246  9.64465271 -2.1077108  -8.38062498]
Perez-Maqueda,[4.79169198 0.82346413 0.71355909]
Cai-Liu,[ 0.16005273  0.38125125 17.31120677 -0.23678323]
