model_name,coeffs
Sestak-Berggen,[ 3.70362535  0.54784819  0.59247067 -0.12976515]
Perez-Maqueda,[3.63870959 0.40993972 0.63776684]
Cai-Liu,[ 2.34219994  0.43127607 18.31085385 -0.13104392]
