model_name,coeffs
Sestak-Berggen,[2.03083189e+00 2.00890541e-03 8.72467005e-01 8.17372461e-01]
Perez-Maqueda,[2.30872399 0.8885306  0.59335169]
Cai-Liu,[ 0.6290358   0.49363637 15.3917254  -0.11712624]
