model_name,coeffs
Sestak-Berggen,[ 2.58341485 -0.02193754  0.87399861  0.86047528]
Perez-Maqueda,[2.9600561  0.91218011 0.58073961]
Cai-Liu,[ 0.41911591  0.36028841 18.21391221 -0.18851421]
