model_name,coeffs
Sestak-Berggen,[ 3.7410312  -0.60238052  1.14426741  1.18316393]
Perez-Maqueda,[4.35056922 0.65271784 0.72305142]
Cai-Liu,[ 2.36739225  0.5486432  15.38898518 -0.09683924]
