model_name,coeffs
Sestak-Berggen,[ 6.12171098  3.83816615 -0.44663559 -3.12056527]
Perez-Maqueda,[4.14393056 0.55343531 0.65789793]
Cai-Liu,[ 2.56919157  0.64798145 18.19426418 -0.17162356]
