model_name,coeffs
Sestak-Berggen,[16.86053682 10.01382109 -2.26715689 -8.87201825]
Perez-Maqueda,[4.08437892 0.66389874 0.69600449]
Cai-Liu,[ 0.1920587   0.33437865 17.50334028 -0.22985848]
