model_name,coeffs
Sestak-Berggen,[ 7.95416047  1.84120483  0.76824644 -1.78687412]
Perez-Maqueda,[ 6.67505864 -0.0193415   1.43525985]
Cai-Liu,[ 5.21162545  0.08576847 18.23346393 -0.12957598]
