model_name,coeffs
Sestak-Berggen,[ 3.50256648  1.53213525  0.33288803 -0.5470261 ]
Perez-Maqueda,[3.15327725 0.9236604  0.51039694]
Cai-Liu,[ 0.94579931  0.80186612 18.19020265 -0.18471823]
