model_name,coeffs
Sestak-Berggen,[ 4.18614236  2.2152171   0.08541885 -1.68320607]
Perez-Maqueda,[3.41403076 0.44360447 0.68704916]
Cai-Liu,[ 15.83746403  13.2465083   19.69346778 -17.3619373 ]
