model_name,coeffs
Sestak-Berggen,[2.35429474 0.15234121 0.83139033 0.6702159 ]
Perez-Maqueda,[2.60861531 0.87715873 0.60126806]
Cai-Liu,[ 1.46006209  0.67322218  9.53813465 -0.03840209]
