model_name,coeffs
Sestak-Berggen,[11.87048978  2.937012    0.77603861 -2.76980449]
Perez-Maqueda,[9.34009933 0.06820178 1.83390799]
Cai-Liu,[ 5.81289869  0.09886685 18.18389099 -0.13670058]
