model_name,coeffs
Sestak-Berggen,[ 3.1714172   0.75438679  0.59265456 -0.30376077]
Perez-Maqueda,[3.06440886 0.43579109 0.70274356]
Cai-Liu,[ 1.58160139  0.40656279 18.25321461 -0.16052206]
