model_name,coeffs
Sestak-Berggen,[ 8.30841716  3.20057995  0.89384596 -2.72175566]
Perez-Maqueda,[7.33575101 0.43599379 2.02344523]
Cai-Liu,[5.89187314 0.39841726 7.41130548 0.04854944]
