model_name,coeffs
Sestak-Berggen,[ 8.88586655  5.02953947 -0.03265488 -4.66676924]
Perez-Maqueda,[7.42875928 0.30415072 1.93912408]
Cai-Liu,[ 20.           0.56947906  -0.24880658 -20.        ]
