model_name,coeffs
Sestak-Berggen,[ 8.93746805  7.8909729  -1.69755204 -7.10392991]
Perez-Maqueda,[3.22474166 0.44379399 0.73630532]
Cai-Liu,[ 0.30495853  0.31006887 17.19784545 -0.25506211]
