Model,Equation,R2_score,Ea,A
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9895231835528917,126645.37913771394,294257594594.31934
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9889349799674625,111755.11909483057,9914316405.310703
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.9877431967565264,-186050.08176283748,1.1146444690626409e-18
F1/A1,(1 - a),0.9864481241257003,81974.59900906384,10683148.660533523
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9827334624480502,-96708.52150553693,2.818849751611949e-10
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9777920864985529,52194.07892329708,10232.53517773097
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9773002439605759,195568.12597253858,1.1185774520097473e+18
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9649834408713573,150134.67274305582,1422489676920.117
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9649834408713573,150134.67274305582,6401203546140.529
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9632989503114732,37303.818880413644,290.8922337087064
F3/2,2*(1 - a)**(3/2),0.9589268389502977,104691.32562380338,4736720344.872333
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9417933151477731,28369.662854683593,32.66139151504534
F3/4,4*(1 - a)**(3/4),0.9361298195092449,70616.2357016941,89688.14592557852
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9354300031956818,140469.37037312624,710125085493.9049
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9121105580716912,22413.55883753023,7.350696374069043
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.9087809518631004,134990.1883332332,15411449147.964844
R3,3*(1 - a)**(2/3),0.9015845663031964,66830.11459923742,38580.9014980669
F2,(1 - a)**2,0.8897932715437784,127408.05223854288,8400714185851.863
B1,1 / (a - (1 - a)),0.8563583478419763,-248936.4019598164,7.180070328973404e-26
D2,1 / (-np.log(1 - a)),0.8524524781903541,125882.70603688518,4580961415.149156
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.8244929312987253,14968.428816088523,1.0733307113271142
R2,2*(1 - a)**(1/2),0.7997716354157199,59257.872394324266,6023.664951352257
F3,(1 - a)**3,0.776785387545884,172841.50546802214,6.605917513166228e+18
D1,1 / (2*a),0.7686227670737293,113446.30805347918,218042243.57879695
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.7501905354499872,109873.3123869478,8117033.480901509
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.7407812365006409,108148.32917677387,4786732.478188958
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.710235790386823,102973.37954626654,981667.951692788
F1/3,(3/2)*(1 - a)**(1/3),0.6561299137390989,51685.63018941105,835.981604881588
P3/2,(2/3)/a**(1/2),0.628379811606322,74993.72691653192,57728.16456209606
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.5110783962455453,-7366.961248236569,0.06336580670801165
E2,a / 2,0.44969320143922265,-40364.016494309915,3.385977113161679e-06
E1,a,0.44969320143922265,-40364.016494309915,1.6929885565808362e-06
F0/R1/P1,"np.full_like(a, 1)",0.32057876643364436,36541.14577958466,13.58570983110784
G3,1 / (4*(1 - a)**3),0.20339380263052856,-99759.21390885278,1.1176131778647987e-16
P4,4*a**(3/4),0.16988176480450531,-21137.725925836272,2.2526883302371548e-05
G2,1 / (3*(1 - a)**2),0.11700468959007346,-54325.76067937362,6.591279295964059e-11
P3,3*a**(2/3),0.0879632643455072,-14728.96240301171,0.00011298189945912733
G1,1 / (2*(1 - a)),0.007675278819832655,-8892.307449894462,3.4553766399773295e-05
P2,2*a**(1/2),0.0015290468646825084,-1911.4353573626095,0.0023979392859856574
