Model,Equation,R2_score,Ea,A
E2,a / 2,0.9964087546807363,-918480.4269041996,1.8305623312998518e-72
E1,a,0.9964087546807363,-918480.4269041996,9.152811656499243e-73
F3,(1 - a)**3,0.9959130159522206,1925955.5305968127,1.0376450559275955e+152
P4,4*a**(3/4),0.9675811858595277,-828589.5679330155,1.405418031803255e-66
B1,1 / (a - (1 - a)),0.9655027459699679,-851019.9478928853,1.0134736210599301e-67
F2,(1 - a)**2,0.965131181613768,1097664.6900580542,2.411563518050369e+86
P3,3*a**(2/3),0.9489921830162353,-798625.9482759538,3.431741660091448e-64
G3,1 / (4*(1 - a)**3),0.9276056459077865,-3043789.512635736,6.540457339511894e-242
G2,1 / (3*(1 - a)**2),0.9049719876781949,-2215498.672096977,2.1106659137483438e-176
P2,2*a**(1/2),0.8953572996357111,-738698.7089618306,1.726420180592583e-59
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.8901211474295261,-278900.2644099573,6.975275237899035e-22
F3/2,2*(1 - a)**(3/2),0.8678627134908914,683519.2697886754,1.8382037666365496e+53
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.8670456511463941,-141831.7359276439,3.1043856777836104e-12
G1,1 / (2*(1 - a)),0.8484794183545002,-1387207.831558219,6.054500973394391e-111
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.7875289579207325,1267014.2631790456,7.764957203127097e+97
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.7382253065273174,-827174.3783392109,6.510815253370336e-64
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.7010449035241572,-1375448.4922684652,5.402028522840002e-106
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.6264765330910486,-96142.22643353937,1.3617033651755883e-08
F0/R1/P1,"np.full_like(a, 1)",0.6005950683621367,-558916.9910194617,1.3025622079050806e-45
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.512560712022448,543510.9064839233,1.0657331292938372e+42
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.48857095468003436,452131.8874957142,8.753056624873089e+34
F1/A1,(1 - a),0.4025287600255914,269373.8495192966,5.604651193941858e+20
F1/3,(3/2)*(1 - a)**(1/3),0.31943929948880634,-282820.04417320894,6.555773188525111e-24
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.2805156120882144,-59590.61883825577,1.0641387037269532e-05
P3/2,(2/3)/a**(1/2),0.24839503254966985,-379135.2730770923,7.370750431451986e-32
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.23740803917801653,438723.4226403496,8.120849544439578e+32
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.23740803917801642,438723.42264034954,1.80463323209767e+32
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.1641137248459634,86615.81154287855,3189957.65727925
R2,2*(1 - a)**(1/2),0.1203153303107508,-144771.5707500825,4.272120911713198e-13
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.11351200617751589,-291920.98138585157,1.076662493271478e-26
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.10035370367962428,269644.4097028114,6.224765840232758e+19
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.079329044996328,-246299.38612302503,5.885619270455778e-23
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.06928891146094408,-231092.18770225893,1.0368032707429773e-21
D1,1 / (2*a),0.05061849669359699,-199353.555134723,3.707425366407503e-18
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.03701994663001393,162626.47579403498,23904091652.11475
F3/4,4*(1 - a)**(3/4),0.02913274725233326,62301.13938460695,5470.802908222944
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.0013125773659391612,-4763.207445330425,0.22105990333550668
R3,3*(1 - a)**(2/3),0.0003296618445005556,-6723.0973269562055,0.024746320274698995
D2,1 / (-np.log(1 - a)),0.00015233079231388098,-10642.87709020774,0.00209322401904752
