rate,slope,intercept,std_err
3,0.0002049597385114,-2.4232052605898744,1.419261484279482e-06
5,0.0001974013046285,-1.8676124589888443,1.5684116913055668e-06
10,0.00018960752836836997,-1.5460260718732997,1.7174710743488191e-06
