rate,slope,intercept,std_err
3,0.0001945190247198,-3.77984515430898,1.0051163306430097e-06
5,0.000188213332889,-3.0112031445556866,8.477852731812623e-07
10,0.0001783987377341218,-2.153720449937918,8.242190880492609e-07
