rate,slope,intercept,std_err
3,0.0001862614881488,-3.3527326759586344,7.361447317409392e-07
5,0.000181229378757,-2.640423958774619,7.764930686031569e-07
10,0.00017645865014650558,-2.141649192518827,6.485849449634821e-07
