conversion,OFW,KAS,Starink
1e-05,67161.78978568078,80959.06394540503,79907.60863270846
0.01001,73197.31678478705,87441.56114247964,86333.37478877437
0.02001,73650.4351309892,87935.30507140695,86822.52299490351
0.03001,73804.13031881295,88108.30176554616,86993.69791541675
0.040010000000000004,73899.4013238886,88217.52475906357,87101.69700040726
0.050010000000000006,73950.47182889265,88279.25072426908,87162.6156248592
0.06001,73944.37243266219,88280.0123100976,87163.08631910711
0.07001,73885.82011135809,88225.10645639189,87108.3507027996
0.08001,73845.6037116425,88189.36954872281,87072.63667753956
0.09000999999999999,73743.70122017188,88088.2973295426,86972.12339653356
0.10001,73634.29042561933,87979.20498480504,86863.65845885222
0.11001,73525.7635003434,87871.03897407577,86756.11264207045
0.12000999999999999,73402.08099359598,87746.7596358328,86632.58811370056
0.13001000000000001,73258.3316069171,87601.27530717586,86488.03064375788
0.14001000000000002,73116.73924455857,87458.05012831558,86345.71479225611
0.15001,72976.25110001855,87315.98348947847,86204.54840891657
0.16001,72820.01870686056,87157.24764095369,86046.84932787724
0.17001000000000002,72662.84732282038,86997.51412719773,85888.16089033148
0.18001,72506.55877182036,86838.70887372809,85730.39336497731
0.19001,72350.42726408648,86680.06374210856,85572.78489255639
0.20001000000000002,72188.37817125625,86515.14952857682,85408.95883023823
0.21001,72026.77914111418,86350.71175400371,85245.60530764062
0.22001,71866.05040980034,86187.18959404787,85083.16013048649
0.23001000000000002,71705.25576728197,86023.59947125198,84920.64747528682
0.24001,71543.56231026465,85859.05683662246,84757.19014402122
0.25001,71382.68458411015,85695.37289781807,84594.58467183003
0.26001,71222.34004779544,85532.25237759108,84432.53804732014
0.27001000000000003,71063.33644737682,85370.5450240673,84271.89327461335
0.28001000000000004,70905.048467136,85209.60468525934,84112.00886641465
0.29001,70747.64765015009,85049.59747662989,83953.05018916978
0.30001,70590.51036576771,84889.87126035184,83794.37012512822
0.31001,70435.46960775317,84732.35907592814,83637.88618450897
0.32001,70282.67127293911,84577.2225612502,83483.75839877511
0.33001,70130.05767448348,84422.28502245757,83329.82782589426
