Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9815689473951957,-9.178928787271813,0.9992903136497817,268913.8514461471
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.981537905792401,-9.09168199165306,0.99917160892641,224969.77025624056
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9814741032909337,-9.034033304078594,0.9888325440544846,204362.8825823298
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.981436841032401,-9.326361907089197,0.9956925954532461,358207.5645938126
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.981348140458765,-8.96256010183732,0.9619867553183022,167127.30390002587
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9806851302016908,-8.752119922261842,0.7378412177179376,60446.67292215953
F3/4,4*(1 - a)**(3/4),0.9803996750702547,-12.837928439004815,0.9317782671313783,492204.87714325567
F1/A1,(1 - a),0.9803996750702547,-9.628446329253611,0.9317782671290041,492204.8771388175
G1,1 / (2*(1 - a)),0.9803996750702547,9.628446329253611,0.93177826712766,492204.87713505083
G3,1 / (4*(1 - a)**3),0.9803996750702545,3.209482109751204,0.9317782671288408,492204.8771391607
F1/3,(3/2)*(1 - a)**(1/3),0.9803996750702545,-28.88533898776083,0.9317782671281984,492204.8771335952
R2,2*(1 - a)**(1/2),0.9803996750702543,-19.25689265850722,0.9317782671324447,492204.8771468866
F2,(1 - a)**2,0.9803996750702543,-4.814223164626805,0.9317782671288496,492204.87713840813
G2,1 / (3*(1 - a)**2),0.980399675070254,4.814223164626803,0.9317782671300028,492204.87714082334
F3/2,2*(1 - a)**(3/2),0.980399675070254,-6.418964219502406,0.9317782671293063,492204.87713918206
R3,3*(1 - a)**(2/3),0.980399675070254,-14.442669493880409,0.9317782671256508,492204.8771353253
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9781588984101112,-9.939230567820323,0.9753891026052663,877435.6737216951
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9765143189548825,-10.097419489980853,0.9741685849058809,1006073.6946849414
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.976437289044168,-6.576269917704038,0.9731633741004311,1121806.6792409653
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.960039434407005,-20.57713254053505,0.9548699112959811,2176615.8616584297
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9600394344070043,-20.57713254053504,0.9548699112959811,2176615.86165843
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9521805196859728,-34.82597846856261,0.9394498171636759,3251151.2883399185
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9434188983773014,-7.856369987236921,0.9667237147616801,395243.22278090124
P3/2,(2/3)/a**(1/2),0.9414768207749292,72.03363403298302,0.9556557121154723,-1759644.8859101296
P4,4*a**(3/4),0.941476820774929,-48.02242268865533,0.9556557121159609,-1759644.8859010565
E1,a,0.941476820774929,-36.01681701649151,0.9556557121156839,-1759644.885903868
P2,2*a**(1/2),0.941476820774929,-72.033634032983,0.9556557121155361,-1759644.8859105946
D1,1 / (2*a),0.9414768207749288,36.0168170164915,0.9556557121154718,-1759644.8859101331
P3,3*a**(2/3),0.9414768207749286,-54.02522552473723,0.955655712115935,-1759644.8858995335
E2,a / 2,0.9414768207749286,-36.0168170164915,0.9556557121157727,-1759644.885901376
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.8797180467614003,33.80681425210014,0.9556656078152925,-1759573.4714928367
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.8427973347578495,32.472834535003095,0.9556707924061109,-1759536.483862529
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.8195390797605213,-64.4567162102931,0.8197513688006275,5636520.363722648
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.7177038463804628,27.87206637039162,0.9556959840700778,-1759626.7990377932
D2,1 / (-np.log(1 - a)),0.6756668100770923,66.06111163543365,0.8169941137053104,-4313777.653706357
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.5386926811924921,-5.363706229740791,0.9801415421245119,609036.8436103936
F3,(1 - a)**3,0.5200399723164911,-3.005171187964996,0.962869449865318,-2244622.951904861
B1,1 / (a - (1 - a)),0.0006715442771077022,-0.03174866567298992,0.8958196653440929,598394.9163032307
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
