Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9927493876652609,-10.284238281394385,0.9989340308557386,69777.25829247966
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9926981717688178,-10.755754761578148,0.9999967976363918,114048.88189255282
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9925873482759605,-10.01873905710774,0.9942880180300067,45696.11540807902
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9924123837841168,-9.848516826842959,0.9991300908309474,29893.975795463888
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.9921279839348467,-9.6429859384155,0.9260751097135054,11148.636982932381
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9909219746346931,-9.070988667703567,0.9986409879561566,-43596.43582864538
R3,3*(1 - a)**(2/3),0.9909185671853085,-17.732652720008808,0.9478097221346955,146665.8239158481
F1/A1,(1 - a),0.9909185671853085,-11.82176848000587,0.9478097221323689,146665.82391407195
F2,(1 - a)**2,0.9909185671853085,-5.910884240002934,0.9478097221320189,146665.8239140104
F1/3,(3/2)*(1 - a)**(1/3),0.9909185671853082,-35.46530544001761,0.9478097221445223,146665.82391819765
F3/4,4*(1 - a)**(3/4),0.9909185671853082,-15.762357973341166,0.9478097221438248,146665.82391898133
G3,1 / (4*(1 - a)**3),0.9909185671853082,3.940589493335289,0.9478097221334757,146665.8239147497
F3/2,2*(1 - a)**(3/2),0.9909185671853082,-7.88117898667058,0.9478097221332128,146665.8239143802
R2,2*(1 - a)**(1/2),0.990918567185308,-23.64353696001173,0.9478097221419317,146665.82391768246
G2,1 / (3*(1 - a)**2),0.990918567185308,5.910884240002933,0.9478097221290943,146665.8239123701
G1,1 / (2*(1 - a)),0.9909185671853078,11.821768480005863,0.9478097221297302,146665.82391263545
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9856188215833033,-13.080815056991733,0.9582540458544693,282422.6890078851
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.980926195712553,-13.794125461291308,0.9497468951606882,337346.36121677083
P4,4*a**(3/4),0.9789837323379814,-34.302283555338526,0.9456486698707981,-412609.60695422214
P3/2,(2/3)/a**(1/2),0.978983732337981,51.45342533300777,0.9456486698743346,-412609.60695768823
D1,1 / (2*a),0.9789837323379805,25.726712666503882,0.9456486698697396,-412609.60695323214
E1,a,0.9789837323379805,-25.72671266650388,0.9456486698681487,-412609.6069504884
P2,2*a**(1/2),0.9789837323379796,-51.453425333007736,0.9456486698741685,-412609.60695886577
E2,a / 2,0.9789837323379796,-25.726712666503865,0.9456486698701881,-412609.606952798
P3,3*a**(2/3),0.9789837323379794,-38.590068999755786,0.9456486698746053,-412609.6069596922
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9769826222340455,-9.270597745475397,0.942255926185507,389037.47737869516
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.9638376277122955,25.67895147606499,0.945650227397115,-412603.02503149945
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9502499713012034,-7.2074806261202715,0.9462117174950402,140932.8266606392
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.9486253969125213,25.45293124910239,0.9456510000663831,-412599.63265028317
D2,1 / (-np.log(1 - a)),0.895740235594111,35.238624215616966,0.9607587986131476,-671109.7461433769
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.8751577002585131,23.992233750752685,0.9456545577893449,-412605.0452216488
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.8381559199870132,-38.86909514712455,0.7836504059376939,974568.9260902421
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.8381559199870113,-38.869095147124476,0.7836504059376934,974568.9260902414
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.5829167374138651,-4.850489407141264,0.984215914264642,175467.21528425478
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.3995362979737934,62.65320191016243,0.4166046959807865,-1603937.473390414
F3,(1 - a)**3,0.3959149814225737,-3.018305061277867,0.9891637648026915,-460994.8651287854
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.36071745482107537,-62.53090537637354,0.37130665202324953,1423259.4221745161
B1,1 / (a - (1 - a)),0.0006656330206566355,-0.017247028051628366,0.9315395065092199,182741.5574061972
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
