Model,Equation,R2_score_13,Ea_13,R2_score_14,Ea_14
A3/2,(3/2)*(1 - a)*(-np.log(1 - a))**(1/3),0.9827937837382315,-9.651266932306727,0.9940858650690345,364803.10062697297
A2,2*(1 - a)*(-np.log(1 - a))**(1/2),0.9826992515525279,-9.400868500217317,0.9988644416933453,253291.72000862216
A5/2,(5/2)*(1 - a)*(-np.log(1 - a))**(3/5),0.9825572719118462,-9.25594546231353,0.9991526222765613,204328.91534895485
A3,3*(1 - a)*(-np.log(1 - a))**(2/3),0.9824307339748622,-9.16146742528594,0.9610129982526349,176360.45523417662
F3/4,4*(1 - a)**(3/4),0.9823353334707173,-13.583269415159018,0.9274000458731098,580115.1107098706
G3,1 / (4*(1 - a)**3),0.9823353334707169,3.3958173537897536,0.9274000458703963,580115.110697283
F3/2,2*(1 - a)**(3/2),0.9823353334707169,-6.791634707579507,0.927400045870055,580115.1106977572
G2,1 / (3*(1 - a)**2),0.9823353334707167,5.09372603068463,0.9274000458710373,580115.1107015689
R2,2*(1 - a)**(1/2),0.9823353334707167,-20.37490412273852,0.9274000458710123,580115.1107014384
F1/A1,(1 - a),0.9823353334707167,-10.187452061369262,0.9274000458703041,580115.1106985748
F2,(1 - a)**2,0.9823353334707167,-5.093726030684631,0.9274000458701623,580115.1106988669
G1,1 / (2*(1 - a)),0.9823353334707167,10.187452061369262,0.9274000458694396,580115.1106951743
F1/3,(3/2)*(1 - a)**(1/3),0.9823353334707164,-30.562356184107774,0.9274000458678622,580115.1106948904
R3,3*(1 - a)**(2/3),0.9823353334707164,-15.281178092053887,0.9274000458652587,580115.1106838721
A4,4*(1 - a)*(-np.log(1 - a))**(3/4),0.982239486282901,-9.045710350488177,0.9717281600269031,133388.7782827119
G4,(1/2)*(1 - a)*(-np.log(1 - a)),0.9814719339899202,-8.713380861278564,0.6992518558908892,30175.56934227165
A3/4,(3/4)*(1 - a)*(-np.log(1 - a))**(-1/3),0.9807497014791257,-10.774927116054869,0.9744192751005508,1095186.636422433
A2/3,(2/3)*(1 - a)*(-np.log(1 - a))**(-1/2),0.9794096305676183,-11.089430441199406,0.9727853885535535,1272120.3224943683
D5,((3/2)*(1 - a)**(4/3)) / ((1 - a)**(-1/3) - 1),0.9787594690540878,-7.30326888962827,0.9704960903389515,1433279.538957153
D3,((3/2)*(1 - a)**(2/3)) / (1 - (1 - a)**(1/3)),0.9575258604901125,-25.472467930136396,0.9408224314397425,3069458.8329220144
G8,(1/3)*(1 - a)**(2/3) / (1 - (1 - a)**(1/3)),0.9575258604901122,-25.472467930136382,0.9408224314397421,3069458.832922013
G5,(1/3)*(1 - a)*(-np.log(1 - a))**2,0.9425787460264061,-7.47622593648434,0.9668952561606149,484245.6081727048
D1,1 / (2*a),0.9375936451763709,29.77696087547258,0.9558732294515373,-1670920.5960532792
P2,2*a**(1/2),0.9375936451763704,-59.55392175094514,0.9558732294516966,-1670920.5960501616
E2,a / 2,0.9375936451763704,-29.776960875472575,0.9558732294516873,-1670920.5960509644
E1,a,0.9375936451763704,-29.77696087547257,0.9558732294516684,-1670920.5960507926
P3,3*a**(2/3),0.9375936451763702,-44.665441313208866,0.9558732294515382,-1670920.5960532755
P3/2,(2/3)/a**(1/2),0.93759364517637,59.553921750945136,0.9558732294516036,-1670920.596050746
P4,4*a**(3/4),0.9375936451763693,-39.70261450063008,0.9558732294517572,-1670920.5960498594
G7,(1/4)*(1 - a)**(1/2) / (1 - (1 - a)**(1/2)),0.9202493233276774,-47.79835172012658,0.8774425832720187,4956444.742260553
D7,(3/2) / (1 - (1 + a)**(-1/3)),0.8842826419155883,28.194250952502067,0.9558823847185411,-1670857.4286471365
D2,1 / (-np.log(1 - a)),0.8568211645287084,52.84578236903999,0.8871213968268338,-3714935.01132094
D6,((3/2)*(1 + a)**(2/3)) / ((1 + a)**(1/3) - 1),0.853388721126834,27.271293697414162,0.9558872808794077,-1670824.2995195717
D8,((3/2)*(1 + a)**(4/3)) / (1 - (1 + a)**(-1/3)),0.7486189588391072,24.08803658098543,0.9558704909012791,-1670936.6280377898
F3,(1 - a)**3,0.5251464939722343,-3.1364263791503117,0.9628427015709767,-2131735.4914211403
G6,(1/4)*(1 - a)*(-np.log(1 - a))**3,0.5204517196255107,-4.950744291425853,0.9767555022694464,732235.4103976843
D4,(3/2) / ((1 - a)**(-1/3) - 1),0.5149648002242978,-94.51293316188021,0.47156561105946015,8888742.556166053
B1,1 / (a - (1 - a)),0.0007173052077312897,-0.032487919580998115,0.8875091555891222,707443.5556329452
F0/R1/P1,"np.full_like(a, 1)",0.0,0.0,0.0,0.0
